

This is a high resolution (resolving power=4000) Kurucz Vega model wavelength-extended to 303.2 microns.

Column 2 is the line blanketted emergent spectrum.

Column 3 is the unblanketted atmosphere's spectrum

A total error of 1.46% (global bias) can be assigned to the 2nd Column.


M. Cohen
26/05/1996
KURUCZ VEGA MODEL                       
TEFF  9400.K   log(GRAV)  3.900 TITLE SDSC GRID  [-0.5] i.e. metal poor
VTURB 0.0 KM/S      RESOLVING POWER 4000  Absolutely calibrated by M. Cohen (provided 01/06/96)

  Wavelength   F-lambda      F-lambda 
                (model)     (continuum)
   (microns)   W/cm2/um      W/cm2/um
   1.000000  6.298506E-13  6.526418E-13
   1.000100  6.295030E-13  6.524128E-13
   1.000200  6.306085E-13  6.521838E-13
   1.000300  6.308026E-13  6.519797E-13
   1.000400  6.301102E-13  6.517507E-13
   1.000500  6.289752E-13  6.515221E-13
   1.000600  6.277666E-13  6.512934E-13
   1.000700  6.266077E-13  6.510648E-13
   1.000800  6.254739E-13  6.508608E-13
   1.000900  6.242175E-13  6.506324E-13
   1.001000  6.228387E-13  6.504040E-13
   1.001100  6.213868E-13  6.501759E-13
   1.001200  6.198616E-13  6.499477E-13
   1.001300  6.182879E-13  6.497441E-13
   1.001400  6.166410E-13  6.495161E-13
   1.001500  6.148965E-13  6.492881E-13
   1.001600  6.130545E-13  6.490602E-13
   1.001700  6.111149E-13  6.488324E-13
   1.001800  6.090781E-13  6.486048E-13
   1.001900  6.069436E-13  6.484015E-13
   1.002000  6.046630E-13  6.481740E-13
   1.002100  6.022604E-13  6.479465E-13
   1.002200  5.997362E-13  6.477190E-13
   1.002310  5.971275E-13  6.474787E-13
   1.002410  5.944582E-13  6.472761E-13
   1.002510  5.915939E-13  6.470489E-13
   1.002610  5.885346E-13  6.468218E-13
   1.002710  5.852558E-13  6.465947E-13
   1.002810  5.818070E-13  6.463678E-13
   1.002910  5.782124E-13  6.461654E-13
   1.003010  5.744479E-13  6.459385E-13
   1.003110  5.704646E-13  6.457119E-13
   1.003210  5.662133E-13  6.454852E-13
   1.003310  5.617191E-13  6.452587E-13
   1.003410  5.569330E-13  6.450565E-13
   1.003510  5.518797E-13  6.448302E-13
   1.003610  5.465348E-13  6.446038E-13
   1.003710  5.408251E-13  6.443775E-13
   1.003810  5.347265E-13  6.441512E-13
   1.003920  5.282776E-13  6.439124E-13
   1.004020  5.214263E-13  6.437108E-13
   1.004120  5.141623E-13  6.434849E-13
   1.004220  5.064126E-13  6.432590E-13
   1.004320  4.980796E-13  6.430332E-13
   1.004420  4.890905E-13  6.428074E-13
   1.004520  4.794213E-13  6.426062E-13
   1.004620  4.689260E-13  6.423808E-13
   1.004720  4.575072E-13  6.421552E-13
   1.004820  4.446776E-13  6.419298E-13
   1.004920  4.283397E-13  6.417044E-13
   1.005030  4.110000E-13  6.414907E-13
   1.005130  3.967242E-13  6.412655E-13
   1.005230  3.889402E-13  6.410406E-13
   1.005330  4.002964E-13  6.408155E-13
   1.005430  4.170346E-13  6.405905E-13
   1.005530  4.328645E-13  6.403899E-13
   1.005630  4.472506E-13  6.401651E-13
   1.005730  4.595849E-13  6.399404E-13
   1.005830  4.704529E-13  6.397157E-13
   1.005940  4.803333E-13  6.394785E-13
   1.006040  4.894885E-13  6.392783E-13
   1.006140  4.979587E-13  6.390539E-13
   1.006240  5.058171E-13  6.388295E-13
   1.006340  5.131128E-13  6.386052E-13
   1.006440  5.198947E-13  6.383810E-13
   1.006540  5.261147E-13  6.381570E-13
   1.006640  5.319674E-13  6.379572E-13
   1.006750  5.375640E-13  6.377206E-13
   1.006850  5.429014E-13  6.374966E-13
   1.006950  5.478238E-13  6.372728E-13
   1.007050  5.524283E-13  6.370491E-13
   1.007150  5.567394E-13  6.368497E-13
   1.007250  5.607818E-13  6.366262E-13
   1.007350  5.645555E-13  6.364027E-13
   1.007460  5.680735E-13  6.361666E-13
   1.007560  5.713829E-13  6.359433E-13
   1.007660  5.744726E-13  6.357442E-13
   1.007760  5.773427E-13  6.355210E-13
   1.007860  5.800178E-13  6.352980E-13
   1.007960  5.825458E-13  6.350746E-13
   1.008060  5.849521E-13  6.348518E-13
   1.008170  5.872971E-13  6.346406E-13
   1.008270  5.895072E-13  6.344177E-13
   1.008370  5.913531E-13  6.341950E-13
   1.008470  5.931257E-13  6.339724E-13
   1.008570  5.948974E-13  6.337498E-13
   1.008670  5.966199E-13  6.335515E-13
   1.008780  5.982088E-13  6.333164E-13
   1.008880  5.997122E-13  6.330941E-13
   1.008980  6.010938E-13  6.328717E-13
   1.009080  6.023055E-13  6.326494E-13
   1.009180  6.026460E-13  6.324516E-13
   1.009290  6.017890E-13  6.322170E-13
   1.009390  5.972442E-13  6.319949E-13
   1.009490  5.931607E-13  6.317731E-13
   1.009590  5.991591E-13  6.315512E-13
   1.009690  6.049857E-13  6.313294E-13
   1.009800  6.078503E-13  6.311195E-13
   1.009900  6.095176E-13  6.308979E-13
   1.010000  6.102181E-13  6.306763E-13
   1.010100  6.108942E-13  6.304548E-13
   1.010200  6.115700E-13  6.302334E-13
   1.010310  6.122092E-13  6.300237E-13
   1.010410  6.127157E-13  6.298026E-13
   1.010510  6.129081E-13  6.295814E-13
   1.010610  6.124249E-13  6.293603E-13
   1.010710  6.120625E-13  6.291393E-13
   1.010820  6.123392E-13  6.289300E-13
   1.010920  6.125317E-13  6.287093E-13
   1.011020  6.122175E-13  6.284883E-13
   1.011120  6.120724E-13  6.282677E-13
   1.011220  6.125537E-13  6.280470E-13
