WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f330w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.236767E-18
PIVWV    r 3362.7
BANDW    r 173.7541
TPEAK    r 0.107135
EQUVW    r 58.30246
RECTW    r 544.1962
EMFLX    r 1.240104E-15
        2500.   1.294880E-6
     2500.358   1.295004E-6
     2500.717   1.295128E-6
     2501.076   1.295252E-6
     2501.434   1.295376E-6
     2501.795   1.295501E-6
     2502.154   1.295624E-6
     2502.512   1.295748E-6
     2502.872   1.295871E-6
     2503.231   1.295994E-6
      2503.59   1.296115E-6
      2503.95   1.296237E-6
     2504.309   1.296360E-6
     2504.667   1.296483E-6
     2505.028   1.296605E-6
     2505.388   1.296728E-6
     2505.747   1.296851E-6
     2506.107   1.296973E-6
     2506.467   1.297093E-6
     2506.826   1.297214E-6
     2507.186   1.297336E-6
     2507.546   1.297459E-6
     2507.905   1.297582E-6
     2508.266   1.297703E-6
     2508.626   1.297821E-6
     2508.986   1.297939E-6
     2509.345   1.298062E-6
     2509.706   1.298185E-6
     2510.066   1.298314E-6
     2510.426   1.298478E-6
     2510.787   1.298642E-6
     2511.146   1.298805E-6
     2511.508   1.298968E-6
     2511.869   1.299130E-6
     2512.229   1.299293E-6
     2512.589   1.299456E-6
      2512.95   1.299620E-6
     2513.311   1.299781E-6
     2513.671   1.299943E-6
     2514.032   1.300104E-6
     2514.392   1.300268E-6
     2514.754   1.300433E-6
     2515.116   1.300596E-6
     2515.476   1.300757E-6
     2515.837   1.300917E-6
     2516.198   1.301080E-6
     2516.559   1.301243E-6
      2516.92   1.301407E-6
     2517.282   1.301567E-6
     2517.643   1.301725E-6
     2518.005   1.301884E-6
     2518.367   1.302048E-6
     2518.728   1.302210E-6
     2519.089   1.302372E-6
     2519.451   1.302534E-6
     2519.812   1.302694E-6
     2520.173   1.302843E-6
     2520.536   1.302978E-6
     2520.897   1.303112E-6
     2521.259   1.303249E-6
     2521.621   1.303387E-6
     2521.983   1.303524E-6
     2522.345   1.303660E-6
     2522.706   1.303795E-6
     2523.069   1.303931E-6
     2523.431   1.304065E-6
     2523.794   1.304201E-6
     2524.155   1.304335E-6
     2524.518   1.304467E-6
      2524.88   1.304598E-6
     2525.243   1.304734E-6
     2525.605   1.304869E-6
     2525.967   1.305005E-6
      2526.33   1.305140E-6
     2526.692   1.305274E-6
     2527.054   1.305407E-6
     2527.418   1.305540E-6
     2527.781   1.305672E-6
     2528.144   1.305806E-6
     2528.507   1.305941E-6
      2528.87   1.306075E-6
     2529.232   1.306209E-6
     2529.596   1.306343E-6
     2529.958   1.306475E-6
     2530.321   1.306628E-6
     2530.685   1.306784E-6
     2531.049   1.306941E-6
     2531.412   1.307098E-6
     2531.776   1.307255E-6
     2532.138   1.307410E-6
     2532.501   1.307564E-6
     2532.865   1.307718E-6
     2533.229   1.307871E-6
     2533.592   1.308024E-6
     2533.956   1.308178E-6
      2534.32   1.308333E-6
     2534.684   1.308489E-6
     2535.047   1.308644E-6
     2535.411   1.308798E-6
     2535.775   1.308950E-6
     2536.139   1.309104E-6
     2536.503   1.309259E-6
     2536.866   1.309414E-6
     2537.231   1.309569E-6
     2537.596   1.309722E-6
      2537.96   1.309875E-6
     2538.323   1.310030E-6
     2538.689   1.310185E-6
     2539.052   1.310338E-6
     2539.416   1.310490E-6
     2539.781   1.310642E-6
     2540.146   1.310789E-6
      2540.51   1.310932E-6
     2540.875   1.311075E-6
      2541.24   1.311216E-6
     2541.604   1.311356E-6
      2541.97   1.311496E-6
     2542.334   1.311635E-6
     2542.699   1.311774E-6
     2543.064   1.311915E-6
     2543.429   1.312058E-6
     2543.793   1.312201E-6
     2544.161   1.312343E-6
     2544.525   1.312482E-6
      2544.89   1.312620E-6
     2545.256   1.312761E-6
     2545.621   1.312902E-6
     2545.985   1.313043E-6
     2546.352   1.313183E-6
     2546.716   1.313322E-6
     2547.081   1.313461E-6
     2547.448   1.313601E-6
     2547.814   1.313740E-6
     2548.179   1.313879E-6
     2548.546   1.314020E-6
     2548.911   1.314160E-6
     2549.276   1.314298E-6
     2549.643   1.314435E-6
     2550.008   1.314571E-6
     2550.374   1.314717E-6
      2550.74   1.314863E-6
     2551.107   1.315008E-6
     2551.473   1.315150E-6
     2551.839   1.315292E-6
     2552.206   1.315435E-6
     2552.571   1.315579E-6
     2552.937   1.315722E-6
     2553.304   1.315867E-6
      2553.67   1.316011E-6
     2554.038   1.316156E-6
     2554.405   1.316299E-6
     2554.771   1.316442E-6
     2555.137   1.316584E-6
     2555.505   1.316727E-6
     2555.871   1.316869E-6
     2556.237   1.317012E-6
     2556.605   1.317156E-6
     2556.971   1.317299E-6
     2557.337   1.317441E-6
     2557.707   1.317583E-6
     2558.073   1.317725E-6
      2558.44   1.317866E-6
     2558.808   1.318008E-6
     2559.175   1.318149E-6
     2559.541   1.318292E-6
     2559.909   1.318435E-6
     2560.276   1.318567E-6
     2560.643   1.318695E-6
     2561.013   1.318824E-6
      2561.38   1.318951E-6
     2561.747   1.319078E-6
     2562.115   1.319206E-6
     2562.482   1.319335E-6
      2562.85   1.319464E-6
     2563.218   1.319594E-6
     2563.585   1.319723E-6
     2563.953   1.319852E-6
     2564.322   1.319978E-6
      2564.69   1.320104E-6
     2565.058   1.320231E-6
     2565.427   1.320361E-6
     2565.795   1.320490E-6
     2566.162   1.320619E-6
     2566.531   1.320746E-6
     2566.899   1.320872E-6
     2567.267   1.320997E-6
     2567.636   1.321122E-6
     2568.006   1.321247E-6
     2568.374   1.321376E-6
     2568.742   1.321505E-6
     2569.111   1.321633E-6
     2569.479   1.321758E-6
     2569.847   1.321883E-6
     2570.217   1.322015E-6
     2570.585   1.322152E-6
     2570.955   1.322288E-6
     2571.325   1.322422E-6
     2571.693   1.322555E-6
     2572.062   1.322688E-6
     2572.432   1.322824E-6
     2572.801   1.322959E-6
     2573.169   1.323093E-6
     2573.539   1.323226E-6
     2573.908   1.323357E-6
     2574.278   1.323492E-6
     2574.649   1.323627E-6
     2575.018   1.323762E-6
     2575.386   1.323898E-6
     2575.757   1.324035E-6
     2576.126   1.324169E-6
     2576.495   1.324300E-6
     2576.866   1.324431E-6
     2577.235   1.324563E-6
     2577.606   1.324695E-6
     2577.977   1.324828E-6
     2578.346   1.324963E-6
     2578.715   1.325098E-6
     2579.086   1.325232E-6
     2579.456   1.325364E-6
     2579.825   1.325495E-6
     2580.197   1.325625E-6
     2580.566   1.325753E-6
     2580.937   1.325882E-6
     2581.307   1.326011E-6
     2581.679   1.326141E-6
     2582.049   1.326269E-6
     2582.419   1.326397E-6
      2582.79   1.326525E-6
      2583.16   1.326653E-6
     2583.532   1.326782E-6
     2583.902   1.326910E-6
     2584.274   1.327039E-6
     2584.644   1.327167E-6
