WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f502n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 8.039258E-18
PIVWV    r 5022.9
BANDW    r 36.46442
TPEAK    r 0.1919561
EQUVW    r 10.87409
RECTW    r 56.64887
EMFLX    r 4.827480E-16
        3000.   1.245378E-6
     3000.376   1.245567E-6
     3000.752   1.245757E-6
     3001.127   1.245945E-6
     3001.505   1.246134E-6
      3001.88   1.246322E-6
     3002.258   1.246510E-6
     3002.634   1.246698E-6
      3003.01   1.246886E-6
     3003.385   1.247074E-6
     3003.761   1.247262E-6
     3004.137   1.247451E-6
     3004.513   1.247641E-6
     3004.889   1.247830E-6
     3005.267   1.248020E-6
     3005.645   1.248209E-6
     3006.021   1.248397E-6
     3006.398   1.248587E-6
     3006.774   1.248777E-6
      3007.15   1.248966E-6
     3007.527   1.249154E-6
     3007.903   1.249343E-6
      3008.28   1.249530E-6
     3008.658   1.249718E-6
     3009.036   1.249906E-6
     3009.413   1.250098E-6
      3009.79   1.250289E-6
     3010.166   1.250474E-6
     3010.543   1.250651E-6
      3010.92   1.250828E-6
     3011.297   1.251005E-6
     3011.674   1.251181E-6
     3012.052   1.251359E-6
     3012.431   1.251538E-6
     3012.808   1.251716E-6
     3013.185   1.251894E-6
     3013.562   1.252069E-6
      3013.94   1.252244E-6
     3014.317   1.252422E-6
     3014.694   1.252601E-6
     3015.072   1.252779E-6
     3015.451   1.252957E-6
      3015.83   1.253134E-6
     3016.207   1.253311E-6
     3016.585   1.253486E-6
     3016.962   1.253662E-6
      3017.34   1.253840E-6
     3017.718   1.254019E-6
     3018.096   1.254199E-6
     3018.473   1.254379E-6
     3018.853   1.254560E-6
     3019.232   1.254740E-6
      3019.61   1.254917E-6
     3019.988   1.255094E-6
     3020.366   1.255290E-6
     3020.744   1.255486E-6
     3021.123   1.255682E-6
     3021.501   1.255876E-6
     3021.879   1.256071E-6
     3022.259   1.256268E-6
     3022.639   1.256467E-6
     3023.017   1.256665E-6
     3023.396   1.256861E-6
     3023.774   1.257057E-6
     3024.153   1.257253E-6
     3024.531   1.257448E-6
      3024.91   1.257643E-6
     3025.288   1.257841E-6
     3025.669   1.258039E-6
     3026.049   1.258238E-6
     3026.428   1.258436E-6
     3026.807   1.258635E-6
     3027.186   1.258831E-6
     3027.564   1.259026E-6
     3027.944   1.259222E-6
     3028.323   1.259420E-6
     3028.702   1.259618E-6
     3029.082   1.259817E-6
     3029.463   1.260015E-6
     3029.843   1.260212E-6
     3030.222   1.260403E-6
     3030.601   1.260590E-6
      3030.98   1.260777E-6
      3031.36   1.260968E-6
     3031.739   1.261158E-6
     3032.119   1.261348E-6
       3032.5   1.261538E-6
     3032.881   1.261728E-6
     3033.261   1.261915E-6
      3033.64   1.262103E-6
      3034.02   1.262291E-6
       3034.4   1.262483E-6
      3034.78   1.262676E-6
      3035.16   1.262867E-6
      3035.54   1.263056E-6
     3035.921   1.263246E-6
     3036.303   1.263435E-6
     3036.683   1.263623E-6
     3037.063   1.263811E-6
     3037.443   1.264002E-6
     3037.823   1.264193E-6
     3038.204   1.264382E-6
     3038.584   1.264570E-6
     3038.964   1.264758E-6
     3039.346   1.264947E-6
     3039.729   1.265136E-6
     3040.109   1.265318E-6
      3040.49   1.265486E-6
      3040.87   1.265654E-6
     3041.251   1.265821E-6
     3041.632   1.265988E-6
     3042.012   1.266154E-6
     3042.393   1.266319E-6
     3042.776   1.266485E-6
     3043.158   1.266652E-6
     3043.539   1.266820E-6
      3043.92   1.266988E-6
     3044.301   1.267155E-6
     3044.682   1.267322E-6
     3045.063   1.267489E-6
     3045.445   1.267656E-6
     3045.826   1.267822E-6
     3046.208   1.267989E-6
     3046.592   1.268157E-6
     3046.973   1.268324E-6
     3047.354   1.268492E-6
     3047.736   1.268661E-6
     3048.117   1.268829E-6
     3048.499   1.268996E-6
      3048.88   1.269163E-6
     3049.262   1.269329E-6
     3049.646   1.269495E-6
     3050.029   1.269664E-6
     3050.411   1.269868E-6
     3050.792   1.270073E-6
     3051.174   1.270277E-6
     3051.556   1.270481E-6
     3051.938   1.270685E-6
      3052.32   1.270888E-6
     3052.702   1.271091E-6
     3053.086   1.271296E-6
      3053.47   1.271500E-6
     3053.852   1.271704E-6
     3054.235   1.271908E-6
     3054.617   1.272111E-6
     3054.999   1.272315E-6
     3055.382   1.272518E-6
     3055.764   1.272723E-6
     3056.146   1.272926E-6
     3056.531   1.273129E-6
     3056.915   1.273332E-6
     3057.298   1.273536E-6
      3057.68   1.273740E-6
     3058.063   1.273943E-6
     3058.446   1.274146E-6
     3058.829   1.274349E-6
     3059.212   1.274552E-6
     3059.595   1.274756E-6
     3059.979   1.274961E-6
     3060.364   1.275145E-6
     3060.747   1.275327E-6
      3061.13   1.275509E-6
     3061.513   1.275691E-6
     3061.897   1.275873E-6
      3062.28   1.276055E-6
     3062.663   1.276238E-6
     3063.047   1.276420E-6
     3063.432   1.276603E-6
     3063.817   1.276786E-6
       3064.2   1.276968E-6
     3064.584   1.277150E-6
     3064.968   1.277333E-6
     3065.351   1.277515E-6
     3065.735   1.277697E-6
     3066.119   1.277880E-6
     3066.502   1.278062E-6
     3066.888   1.278245E-6
     3067.273   1.278429E-6
     3067.657   1.278611E-6
     3068.042   1.278794E-6
     3068.426   1.278976E-6
      3068.81   1.279159E-6
     3069.194   1.279341E-6
     3069.578   1.279522E-6
     3069.962   1.279703E-6
     3070.348   1.279874E-6
     3070.734   1.280044E-6
     3071.119   1.280213E-6
     3071.503   1.280383E-6
     3071.887   1.280552E-6
     3072.272   1.280721E-6
     3072.656   1.280891E-6
     3073.041   1.281060E-6
     3073.426   1.281228E-6
     3073.812   1.281397E-6
     3074.199   1.281566E-6
     3074.583   1.281735E-6
     3074.968   1.281905E-6
     3075.353   1.282074E-6
     3075.738   1.282244E-6
     3076.123   1.282414E-6
     3076.508   1.282583E-6
     3076.893   1.282753E-6
      3077.28   1.282924E-6
     3077.667   1.283096E-6
     3078.052   1.283267E-6
     3078.438   1.283434E-6
     3078.823   1.283600E-6
     3079.208   1.283769E-6
     3079.594   1.283938E-6
     3079.979   1.284108E-6
     3080.365   1.284217E-6
     3080.752   1.284322E-6
     3081.139   1.284428E-6
     3081.525   1.284535E-6
     3081.911   1.284641E-6
     3082.297   1.284746E-6
     3082.682   1.284849E-6
     3083.068   1.284952E-6
     3083.454   1.285056E-6
      3083.84   1.285159E-6
     3084.228   1.285264E-6
     3084.616   1.285369E-6
     3085.002   1.285474E-6
     3085.388   1.285579E-6
     3085.774   1.285684E-6
      3086.16   1.285789E-6
     3086.547   1.285894E-6
     3086.933   1.285999E-6
      3087.32   1.286104E-6
     3087.708   1.286209E-6
     3088.096   1.286315E-6
     3088.482   1.286418E-6
