WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f550m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.985469E-19
PIVWV    r 5579.85
BANDW    r 165.2026
TPEAK    r 0.246869
EQUVW    r 131.4178
RECTW    r 532.3381
EMFLX    r 3.231981E-16
        2500.   1.294880E-6
     2500.358   1.294236E-6
     2500.717   1.293588E-6
     2501.076   1.292942E-6
     2501.434   1.292297E-6
     2501.795   1.291647E-6
     2502.154   1.291002E-6
     2502.512   1.290357E-6
     2502.872   1.289710E-6
     2503.231   1.289064E-6
      2503.59   1.288418E-6
      2503.95   1.287769E-6
     2504.309   1.287124E-6
     2504.667   1.286479E-6
     2505.028   1.285832E-6
     2505.388   1.285185E-6
     2505.747   1.284541E-6
     2506.107   1.283893E-6
     2506.467   1.283248E-6
     2506.826   1.282602E-6
     2507.186   1.281955E-6
     2507.546   1.281312E-6
     2507.905   1.280669E-6
     2508.266   1.280021E-6
     2508.626   1.279372E-6
     2508.986   1.278725E-6
     2509.345   1.278082E-6
     2509.706   1.277438E-6
     2510.066   1.276803E-6
     2510.426   1.276201E-6
     2510.787   1.275598E-6
     2511.146   1.274996E-6
     2511.508   1.274391E-6
     2511.869   1.273786E-6
     2512.229   1.273184E-6
     2512.589   1.272583E-6
      2512.95   1.271979E-6
     2513.311   1.271377E-6
     2513.671   1.270774E-6
     2514.032   1.270170E-6
     2514.392   1.269570E-6
     2514.754   1.268968E-6
     2515.116   1.268365E-6
     2515.476   1.267763E-6
     2515.837   1.267160E-6
     2516.198   1.266557E-6
     2516.559   1.265958E-6
      2516.92   1.265358E-6
     2517.282   1.264753E-6
     2517.643   1.264149E-6
     2518.005   1.263543E-6
     2518.367   1.262941E-6
     2518.728   1.262342E-6
     2519.089   1.261742E-6
     2519.451   1.261139E-6
     2519.812   1.260538E-6
     2520.173   1.259926E-6
     2520.536   1.259297E-6
     2520.897   1.258671E-6
     2521.259   1.258046E-6
     2521.621   1.257423E-6
     2521.983   1.256798E-6
     2522.345   1.256174E-6
     2522.706   1.255549E-6
     2523.069   1.254923E-6
     2523.431   1.254299E-6
     2523.794   1.253673E-6
     2524.155   1.253047E-6
     2524.518   1.252418E-6
      2524.88   1.251791E-6
     2525.243   1.251166E-6
     2525.605   1.250544E-6
     2525.967   1.249921E-6
      2526.33   1.249295E-6
     2526.692   1.248672E-6
     2527.054   1.248048E-6
     2527.418   1.247420E-6
     2527.781   1.246793E-6
     2528.144   1.246169E-6
     2528.507   1.245545E-6
      2528.87   1.244923E-6
     2529.232   1.244300E-6
     2529.596   1.243675E-6
     2529.958   1.243052E-6
     2530.321   1.242448E-6
     2530.685   1.241844E-6
     2531.049   1.241241E-6
     2531.412   1.240641E-6
     2531.776   1.240039E-6
     2532.138   1.239438E-6
     2532.501   1.238835E-6
     2532.865   1.238231E-6
     2533.229   1.237628E-6
     2533.592   1.237026E-6
     2533.956   1.236421E-6
      2534.32   1.235819E-6
     2534.684   1.235219E-6
     2535.047   1.234619E-6
     2535.411   1.234014E-6
     2535.775   1.233412E-6
     2536.139   1.232809E-6
     2536.503   1.232209E-6
     2536.866   1.231610E-6
     2537.231   1.231007E-6
     2537.596   1.230404E-6
      2537.96   1.229803E-6
     2538.323   1.229204E-6
     2538.689   1.228602E-6
     2539.052   1.228002E-6
     2539.416   1.227401E-6
     2539.781   1.226796E-6
     2540.146   1.226191E-6
      2540.51   1.225582E-6
     2540.875   1.224970E-6
      2541.24   1.224357E-6
     2541.604   1.223744E-6
      2541.97   1.223130E-6
     2542.334   1.222518E-6
     2542.699   1.221906E-6
     2543.064   1.221292E-6
     2543.429   1.220685E-6
     2543.793   1.220077E-6
     2544.161   1.219463E-6
     2544.525   1.218851E-6
      2544.89   1.218239E-6
     2545.256   1.217627E-6
     2545.621   1.217018E-6
     2545.985   1.216409E-6
     2546.352   1.215797E-6
     2546.716   1.215187E-6
     2547.081   1.214577E-6
     2547.448   1.213964E-6
     2547.814   1.213352E-6
     2548.179   1.212742E-6
     2548.546   1.212131E-6
     2548.911   1.211523E-6
     2549.276   1.210912E-6
     2549.643   1.210299E-6
     2550.008   1.209687E-6
     2550.374   1.209085E-6
      2550.74   1.208480E-6
     2551.107   1.207874E-6
     2551.473   1.207268E-6
     2551.839   1.206663E-6
     2552.206   1.206056E-6
     2552.571   1.205452E-6
     2552.937   1.204848E-6
     2553.304   1.204242E-6
      2553.67   1.203640E-6
     2554.038   1.203035E-6
     2554.405   1.202429E-6
     2554.771   1.201825E-6
     2555.137   1.201221E-6
     2555.505   1.200615E-6
     2555.871   1.200011E-6
     2556.237   1.199409E-6
     2556.605   1.198804E-6
     2556.971   1.198202E-6
     2557.337   1.197598E-6
     2557.707   1.196990E-6
     2558.073   1.196387E-6
      2558.44   1.195783E-6
     2558.808   1.195177E-6
     2559.175   1.194574E-6
     2559.541   1.193972E-6
     2559.909   1.193368E-6
     2560.276   1.192757E-6
     2560.643   1.192143E-6
     2561.013   1.191524E-6
      2561.38   1.190909E-6
     2561.747   1.190293E-6
     2562.115   1.189676E-6
     2562.482   1.189064E-6
      2562.85   1.188451E-6
     2563.218   1.187836E-6
     2563.585   1.187224E-6
     2563.953   1.186611E-6
     2564.322   1.185994E-6
      2564.69   1.185377E-6
     2565.058   1.184763E-6
     2565.427   1.184150E-6
     2565.795   1.183539E-6
     2566.162   1.182927E-6
     2566.531   1.182311E-6
     2566.899   1.181698E-6
     2567.267   1.181084E-6
     2567.636   1.180467E-6
     2568.006   1.179850E-6
     2568.374   1.179240E-6
     2568.742   1.178629E-6
     2569.111   1.178015E-6
     2569.479   1.177402E-6
     2569.847   1.176789E-6
     2570.217   1.176180E-6
     2570.585   1.175577E-6
     2570.955   1.174972E-6
     2571.325   1.174364E-6
     2571.693   1.173758E-6
     2572.062   1.173153E-6
     2572.432   1.172548E-6
     2572.801   1.171946E-6
     2573.169   1.171341E-6
     2573.539   1.170734E-6
     2573.908   1.170128E-6
     2574.278   1.169523E-6
     2574.649   1.168918E-6
     2575.018   1.168316E-6
     2575.386   1.167715E-6
     2575.757   1.167111E-6
     2576.126   1.166509E-6
     2576.495   1.165904E-6
     2576.866   1.165297E-6
     2577.235   1.164692E-6
     2577.606   1.164086E-6
     2577.977   1.163480E-6
     2578.346   1.162879E-6
     2578.715   1.162279E-6
     2579.086   1.161675E-6
     2579.456   1.161072E-6
     2579.825   1.160468E-6
     2580.197   1.159861E-6
     2580.566   1.159255E-6
     2580.937   1.158647E-6
     2581.307   1.158042E-6
     2581.679   1.157435E-6
     2582.049   1.156831E-6
     2582.419   1.156225E-6
      2582.79   1.155617E-6
      2583.16   1.155012E-6
     2583.532   1.154405E-6
     2583.902   1.153801E-6
     2584.274   1.153195E-6
     2584.644   1.152590E-6
