WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,hrc,f850lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.286984E-19
PIVWV    r 9145.235
BANDW    r 538.9528
TPEAK    r 0.138128
EQUVW    r 209.575
RECTW    r 1517.252
EMFLX    r 3.622200E-16
        4000.   7.960099E-8
     4000.405   7.957208E-8
     4000.809   7.954320E-8
     4001.215   7.951405E-8
      4001.62   7.948499E-8
     4002.026   7.945579E-8
      4002.43   7.942676E-8
     4002.834   7.939771E-8
     4003.239   7.936869E-8
     4003.646   7.933951E-8
      4004.05   7.931045E-8
     4004.454   7.928129E-8
     4004.859   7.925208E-8
     4005.263   7.922290E-8
      4005.67   7.919357E-8
     4006.077   7.916422E-8
     4006.482   7.913507E-8
     4006.886   7.910594E-8
     4007.291   7.907677E-8
     4007.696   7.904757E-8
     4008.103   7.901815E-8
     4008.508   7.898878E-8
     4008.913   7.895938E-8
      4009.32   7.892994E-8
     4009.725   7.890064E-8
      4010.13   7.887139E-8
     4010.538   7.884208E-8
     4010.943   7.881292E-8
     4011.348   7.878374E-8
     4011.753   7.875452E-8
     4012.158   7.872529E-8
     4012.566   7.869593E-8
     4012.973   7.866650E-8
     4013.379   7.863716E-8
     4013.784   7.860777E-8
      4014.19   7.857839E-8
     4014.595   7.854900E-8
     4015.003   7.851939E-8
     4015.408   7.849003E-8
     4015.814   7.846064E-8
      4016.22   7.843119E-8
     4016.628   7.840153E-8
     4017.033   7.837203E-8
     4017.441   7.834247E-8
     4017.847   7.831305E-8
     4018.253   7.828357E-8
     4018.659   7.825405E-8
     4019.065   7.822453E-8
     4019.473   7.819486E-8
     4019.879   7.816535E-8
     4020.287   7.813666E-8
     4020.694   7.810849E-8
       4021.1   7.808033E-8
     4021.506   7.805227E-8
     4021.914   7.802404E-8
     4022.321   7.799588E-8
     4022.727   7.796768E-8
     4023.133   7.793947E-8
      4023.54   7.791123E-8
     4023.948   7.788282E-8
     4024.357   7.785439E-8
     4024.764   7.782609E-8
      4025.17   7.779781E-8
     4025.577   7.776955E-8
     4025.983   7.774128E-8
     4026.392   7.771281E-8
     4026.799   7.768448E-8
     4027.206   7.765611E-8
     4027.615   7.762751E-8
     4028.022   7.759909E-8
     4028.429   7.757073E-8
     4028.838   7.754223E-8
     4029.245   7.751381E-8
     4029.652   7.748535E-8
     4030.059   7.745665E-8
     4030.466   7.742667E-8
     4030.875   7.739649E-8
     4031.285   7.736635E-8
     4031.692   7.733638E-8
     4032.099   7.730637E-8
     4032.507   7.727638E-8
     4032.914   7.724635E-8
     4033.323   7.721608E-8
     4033.731   7.718592E-8
     4034.138   7.715578E-8
     4034.546   7.712568E-8
     4034.956   7.709536E-8
     4035.363   7.706529E-8
     4035.773   7.703504E-8
     4036.181   7.700491E-8
     4036.589   7.697479E-8
     4036.996   7.694462E-8
     4037.404   7.691429E-8
     4037.814   7.688381E-8
     4038.222   7.685348E-8
     4038.632   7.682301E-8
      4039.04   7.679268E-8
     4039.448   7.676235E-8
     4039.856   7.673202E-8
     4040.267   7.670141E-8
     4040.675   7.667094E-8
     4041.083   7.664045E-8
     4041.491   7.660994E-8
     4041.899   7.657942E-8
      4042.31   7.654865E-8
      4042.72   7.651786E-8
     4043.129   7.648726E-8
     4043.537   7.645671E-8
     4043.946   7.642616E-8
     4044.354   7.639547E-8
     4044.765   7.636457E-8
     4045.174   7.633387E-8
     4045.582   7.630315E-8
     4045.991   7.627243E-8
     4046.402   7.624146E-8
     4046.811   7.621066E-8
     4047.222   7.617967E-8
     4047.631   7.614886E-8
     4048.039   7.611805E-8
     4048.448   7.608715E-8
     4048.857   7.605622E-8
     4049.266   7.602541E-8
      4049.68   7.599434E-8
     4050.089   7.596365E-8
     4050.498   7.593333E-8
     4050.907   7.590297E-8
     4051.316   7.587256E-8
     4051.728   7.584195E-8
     4052.137   7.581151E-8
     4052.546   7.578109E-8
     4052.956   7.575065E-8
     4053.365   7.572018E-8
     4053.777   7.568953E-8
     4054.189   7.565893E-8
     4054.598   7.562854E-8
     4055.008   7.559812E-8
     4055.417   7.556757E-8
     4055.827   7.553698E-8
     4056.237   7.550640E-8
     4056.649   7.547560E-8
     4057.059   7.544495E-8
     4057.471   7.541421E-8
     4057.881   7.538358E-8
     4058.291   7.535294E-8
     4058.703   7.532213E-8
     4059.113   7.529145E-8
     4059.523   7.526067E-8
     4059.933   7.522988E-8
     4060.343   7.519873E-8
     4060.753   7.516745E-8
     4061.168   7.513585E-8
     4061.578   7.510468E-8
     4061.988   7.507349E-8
     4062.399   7.504219E-8
     4062.809   7.501090E-8
     4063.222   7.497935E-8
     4063.632   7.494795E-8
     4064.042   7.491654E-8
     4064.453   7.488521E-8
     4064.866   7.485369E-8
     4065.277   7.482225E-8
     4065.689   7.479058E-8
       4066.1   7.475907E-8
     4066.511   7.472767E-8
     4066.922   7.469624E-8
     4067.333   7.466476E-8
     4067.743   7.463329E-8
     4068.156   7.460156E-8
      4068.57   7.456976E-8
     4068.981   7.453808E-8
     4069.392   7.450660E-8
     4069.803   7.447508E-8
     4070.216   7.444342E-8
     4070.627   7.441196E-8
     4071.039   7.438047E-8
      4071.45   7.434910E-8
     4071.861   7.431770E-8
     4072.275   7.428612E-8
     4072.688   7.425449E-8
       4073.1   7.422305E-8
     4073.511   7.419158E-8
     4073.923   7.416006E-8
     4074.334   7.412850E-8
     4074.746   7.409691E-8
     4075.159   7.406514E-8
     4075.571   7.403363E-8
     4075.985   7.400194E-8
     4076.397   7.397023E-8
     4076.809   7.393854E-8
      4077.22   7.390686E-8
     4077.635   7.387501E-8
     4078.047   7.384329E-8
     4078.458   7.381158E-8
      4078.87   7.377984E-8
     4079.282   7.374809E-8
     4079.699   7.371597E-8
     4080.111   7.368403E-8
     4080.523   7.365166E-8
     4080.936   7.361930E-8
     4081.348   7.358690E-8
      4081.76   7.355450E-8
     4082.175   7.352190E-8
     4082.587   7.348945E-8
        4083.   7.345696E-8
     4083.414   7.342430E-8
     4083.827   7.339180E-8
     4084.241   7.335913E-8
     4084.654   7.332664E-8
     4085.067   7.329415E-8
     4085.479   7.326162E-8
     4085.892   7.322908E-8
     4086.305   7.319647E-8
      4086.72   7.316364E-8
     4087.135   7.313080E-8
     4087.548   7.309811E-8
     4087.961   7.306539E-8
     4088.374   7.303274E-8
     4088.787   7.300005E-8
     4089.202   7.296716E-8
     4089.615   7.293444E-8
     4090.028   7.290169E-8
     4090.441   7.286881E-8
     4090.857   7.283572E-8
     4091.272   7.280269E-8
     4091.685   7.276988E-8
     4092.099   7.273704E-8
     4092.512   7.270411E-8
     4092.926   7.267116E-8
     4093.339   7.263819E-8
     4093.755   7.260505E-8
     4094.168   7.257204E-8
     4094.584   7.253883E-8
     4094.998   7.250578E-8
