WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,sbc,f122m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.809785E-16
PIVWV    r 1273.737
BANDW    r 90.86664
TPEAK    r 0.0095276
EQUVW    r 1.223294
RECTW    r 128.3948
EMFLX    r 7.300118E-14
        1162.   0.001976742
      1162.08   0.001989593
     1162.161   0.002002518
     1162.241   0.002015515
     1162.321   0.002028546
     1162.402    0.00204165
     1162.482   0.002054808
     1162.563   0.002068019
     1162.643   0.002081265
     1162.723   0.002094585
     1162.804   0.002107959
     1162.884   0.002121285
     1162.964   0.002134767
     1163.045   0.002148304
     1163.126   0.002161999
     1163.206   0.002175645
     1163.286   0.002189347
     1163.366   0.002202999
     1163.447   0.002216832
     1163.527   0.002230698
     1163.608   0.002244621
     1163.688    0.00225862
     1163.769   0.002272654
     1163.849   0.002286744
      1163.93   0.002300911
      1164.01   0.002315134
     1164.091   0.002329392
     1164.171   0.002343729
     1164.252   0.002358122
     1164.332    0.00237255
     1164.413   0.002387056
     1164.493   0.002401509
     1164.574    0.00241624
     1164.655   0.002430919
     1164.735   0.002445654
     1164.816   0.002460447
     1164.896   0.002475298
     1164.976   0.002490094
     1165.057    0.00250506
     1165.137   0.002520085
     1165.218   0.002535167
     1165.299   0.002550446
      1165.38   0.002565646
      1165.46   0.002580789
     1165.541   0.002596129
     1165.621   0.002611505
     1165.702   0.002626963
     1165.782   0.002642458
     1165.863   0.002658035
     1165.944   0.002673672
     1166.024   0.002689343
     1166.105     0.0027051
     1166.186   0.002720916
     1166.266   0.002736792
     1166.347   0.002752729
     1166.428   0.002768726
     1166.508    0.00278476
     1166.588   0.002800755
     1166.669   0.002816933
      1166.75   0.002833321
     1166.831   0.002849622
     1166.912   0.002865984
     1166.993   0.002882407
     1167.073   0.002898917
     1167.153   0.002915339
     1167.234   0.002931947
     1167.315   0.002948642
     1167.396   0.002965374
     1167.477   0.002982321
     1167.558   0.002999177
     1167.638   0.003015994
     1167.719   0.003032976
     1167.799   0.003050046
      1167.88   0.003067179
     1167.961   0.003084376
     1168.042   0.003101635
     1168.123   0.003118932
     1168.203   0.003136319
     1168.284   0.003153769
     1168.365   0.003171283
     1168.446   0.003188887
     1168.527   0.003206529
     1168.608   0.003224236
     1168.688   0.003242006
     1168.769   0.003259707
     1168.849   0.003277607
     1168.931   0.003295734
     1169.012   0.003313764
     1169.093   0.003331886
     1169.173   0.003350046
     1169.254   0.003368162
     1169.335   0.003386452
     1169.416   0.003404837
     1169.496   0.003423259
     1169.577   0.003441776
     1169.659   0.003460498
     1169.739   0.003479006
      1169.82   0.003497722
     1169.901   0.003516476
     1169.982   0.003535324
     1170.063   0.003551814
     1170.144   0.003567646
     1170.225   0.003583544
     1170.306   0.003599461
     1170.387   0.003615421
     1170.468   0.003631423
     1170.548   0.003647469
      1170.63   0.003663582
      1170.71   0.003679714
     1170.791   0.003695888
     1170.872   0.003712009
     1170.953    0.00372827
     1171.034   0.003744598
     1171.115   0.003760946
     1171.196   0.003777486
     1171.277   0.003793945
     1171.358   0.003810299
     1171.439   0.003826846
      1171.52   0.003843437
     1171.601   0.003860072
     1171.682    0.00387675
     1171.763   0.003893472
     1171.845   0.003910366
     1171.925   0.003927051
     1172.006   0.003943905
     1172.087   0.003960805
     1172.168   0.003977749
     1172.249   0.003994738
     1172.331   0.004011797
     1172.412   0.004028874
     1172.493   0.004045997
     1172.573    0.00406306
     1172.655   0.004080402
     1172.736   0.004097684
     1172.817   0.004114986
     1172.898   0.004132359
     1172.979   0.004149777
      1173.06   0.004167083
     1173.141   0.004184592
     1173.222   0.004202146
     1173.303   0.004219719
     1173.385   0.004237496
     1173.466   0.004255188
     1173.547   0.004272791
     1173.628   0.004290573
     1173.709   0.004308401
      1173.79   0.004326275
     1173.872   0.004344196
     1173.953   0.004362188
     1174.034   0.004380201
     1174.115   0.004398259
     1174.197   0.004416391
     1174.278   0.004434543
     1174.359   0.004452741
      1174.44   0.004471012
     1174.521   0.004489304
     1174.603   0.004507668
     1174.683   0.004525914
     1174.765   0.004544373
     1174.846   0.004563018
     1174.928   0.004581571
     1175.009   0.004599671
      1175.09    0.00461401
     1175.171   0.004628271
     1175.252   0.004642672
     1175.333   0.004657105
     1175.415   0.004671568
     1175.496   0.004686065
     1175.578   0.004700702
     1175.659   0.004715153
      1175.74   0.004729745
     1175.821    0.00474439
     1175.903   0.004759046
     1175.984   0.004773735
     1176.065   0.004788476
     1176.147   0.004803229
     1176.228   0.004818035
     1176.309   0.004832853
     1176.391   0.004847724
     1176.472   0.004862605
     1176.554   0.004877542
     1176.635   0.004892511
     1176.716   0.004907512
     1176.797   0.004922411
     1176.879   0.004937477
      1176.96   0.004952577
     1177.042   0.004967822
     1177.123   0.004982986
     1177.205   0.004998184
     1177.286   0.005013415
     1177.367   0.005028564
     1177.448    0.00504386
      1177.53    0.00505919
     1177.611   0.005074575
     1177.693   0.005089971
     1177.775   0.005105538
     1177.856   0.005120885
     1177.937    0.00513638
     1178.019   0.005151933
       1178.1   0.005167494
     1178.182   0.005183113
     1178.263   0.005198765
     1178.345   0.005214428
     1178.426   0.005230147
     1178.508   0.005245901
     1178.589   0.005261687
     1178.671   0.005277485
     1178.752   0.005293338
     1178.834   0.005309227
     1178.915   0.005325149
     1178.996   0.005340985
     1179.078   0.005356975
     1179.159   0.005372999
     1179.242   0.005389202
     1179.323   0.005405294
     1179.405   0.005421421
     1179.486   0.005437461
     1179.567    0.00545368
     1179.649   0.005469908
     1179.731   0.005486196
     1179.812   0.005502495
     1179.894   0.005518852
     1179.975   0.005535219
     1180.057   0.005549752
     1180.139   0.005563491
      1180.22   0.005577251
     1180.302   0.005591014
     1180.384   0.005604821
     1180.465    0.00561865
     1180.547   0.005632503
     1180.628   0.005646274
      1180.71   0.005660276
     1180.792   0.005674197
     1180.874   0.005688142
     1180.955   0.005702108
     1181.037    0.00571612
     1181.118   0.005730028
       1181.2   0.005744064
     1181.281   0.005758124
     1181.363   0.005772227
     1181.445   0.005786438
     1181.527   0.005800587
     1181.608   0.005814635
      1181.69    0.00582883
     1181.772   0.005843028
     1181.854   0.005857272
     1181.935   0.005871538
     1182.017   0.005885806
     1182.099   0.005900119
     1182.181   0.005914455
     1182.262   0.005928815
     1182.344   0.005943199
     1182.426   0.005957605
     1182.508   0.005972036
     1182.589    0.00598649
     1182.671   0.006000968
     1182.753   0.006015468
     1182.834   0.006029884
     1182.917   0.006044563
     1182.999   0.006059134
      1183.08   0.006073752
     1183.162   0.006088371
     1183.244   0.006103036
     1183.325   0.006117594
     1183.407   0.006132284
     1183.489    0.00614702
     1183.571    0.00616178
     1183.653   0.006176674
     1183.735   0.006191461
     1183.817   0.006206183
     1183.898   0.006221038
      1183.98   0.006235896
