WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,sbc,f140lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.718165E-17
PIVWV    r 1527.006
BANDW    r 124.8822
TPEAK    r 0.04167033
EQUVW    r 10.54067
RECTW    r 252.9538
EMFLX    r 1.055689E-14
        1230.   7.424571E-5
     1230.195   7.520089E-5
     1230.389   7.615412E-5
     1230.585   7.711134E-5
     1230.779   7.806601E-5
     1230.975   7.902829E-5
      1231.17   7.998375E-5
     1231.365   8.094385E-5
     1231.561   8.190376E-5
     1231.755   8.286107E-5
     1231.951   8.382244E-5
     1232.146   8.478478E-5
     1232.341   8.574394E-5
     1232.536   8.670652E-5
     1232.732   8.767073E-5
     1232.928   8.863476E-5
     1233.123   8.959621E-5
     1233.318   9.056166E-5
     1233.514   9.152755E-5
     1233.709   9.249079E-5
     1233.905   9.345750E-5
       1234.1   9.442159E-5
     1234.296   9.538975E-5
     1234.492   9.635890E-5
     1234.687   9.732788E-5
     1234.883   9.829787E-5
     1235.079   9.926524E-5
     1235.275   1.002361E-4
     1235.471   1.012079E-4
     1235.666   1.021765E-4
     1235.862   1.031492E-4
     1236.057   1.041192E-4
     1236.254   1.050964E-4
      1236.45   1.060678E-4
     1236.646   1.070428E-4
     1236.842   1.080181E-4
     1237.038   1.089908E-4
     1237.234   1.099676E-4
      1237.43   1.109418E-4
     1237.626   1.119194E-4
     1237.822   1.128980E-4
     1238.019   1.138771E-4
     1238.215   1.148565E-4
     1238.411   1.158334E-4
     1238.607   1.168137E-4
     1238.804   1.177950E-4
        1239.   1.187736E-4
     1239.196   1.197558E-4
     1239.392   1.207359E-4
     1239.589   1.217195E-4
     1239.786   1.227035E-4
     1239.982   1.236879E-4
     1240.179   1.246609E-4
     1240.375   1.256292E-4
     1240.572   1.266020E-4
     1240.768   1.275714E-4
     1240.965   1.285440E-4
     1241.162   1.295174E-4
     1241.358   1.304880E-4
     1241.556   1.314654E-4
     1241.752   1.324364E-4
     1241.949   1.334112E-4
     1242.146   1.343869E-4
     1242.343   1.353591E-4
      1242.54   1.363345E-4
     1242.736   1.373078E-4
     1242.933   1.382842E-4
     1243.131   1.392615E-4
     1243.328   1.402389E-4
     1243.525   1.412166E-4
     1243.722   1.421909E-4
     1243.919   1.431696E-4
     1244.116   1.441448E-4
     1244.313   1.451240E-4
     1244.511   1.461039E-4
     1244.707   1.470804E-4
     1244.905   1.480607E-4
     1245.102   1.490412E-4
       1245.3   1.500220E-4
     1245.498   1.510035E-4
     1245.694   1.519816E-4
     1245.892   1.529635E-4
     1246.089   1.539427E-4
     1246.287   1.549257E-4
     1246.485   1.559089E-4
     1246.682   1.568886E-4
      1246.88   1.578758E-4
     1247.077   1.588566E-4
     1247.275   1.598411E-4
     1247.472   1.608229E-4
      1247.67   1.618079E-4
     1247.868   1.627937E-4
     1248.066   1.637767E-4
     1248.264   1.647629E-4
     1248.462   1.657494E-4
      1248.66   1.667366E-4
     1248.858   1.677240E-4
     1249.055   1.687086E-4
     1249.254   1.696965E-4
     1249.451   1.706815E-4
     1249.649   1.716704E-4
     1249.848   1.726600E-4
     1250.045   1.736391E-4
     1250.244   1.745976E-4
     1250.442   1.755560E-4
      1250.64   1.765142E-4
     1250.838   1.774693E-4
     1251.037   1.784278E-4
     1251.235   1.793862E-4
     1251.433   1.803414E-4
     1251.631   1.812995E-4
      1251.83   1.822580E-4
     1252.028   1.832133E-4
     1252.227   1.841716E-4
     1252.425   1.851302E-4
     1252.624   1.860887E-4
     1252.822   1.870435E-4
     1253.021   1.880016E-4
      1253.22   1.889603E-4
     1253.418   1.899152E-4
     1253.617   1.908741E-4
     1253.815   1.918287E-4
     1254.015   1.927909E-4
     1254.213   1.937458E-4
     1254.412   1.947041E-4
     1254.611   1.956628E-4
     1254.809   1.966179E-4
     1255.008   1.975763E-4
     1255.208   1.985345E-4
     1255.406   1.994897E-4
     1255.605   2.004483E-4
     1255.804   2.014032E-4
     1256.004   2.023649E-4
     1256.202   2.033200E-4
     1256.402   2.042786E-4
     1256.601   2.052369E-4
       1256.8   2.061922E-4
     1256.999   2.071502E-4
     1257.198   2.081058E-4
     1257.397   2.090641E-4
     1257.597   2.100223E-4
     1257.796   2.109809E-4
     1257.996   2.119393E-4
     1258.195   2.128941E-4
     1258.394   2.138522E-4
     1258.594   2.148108E-4
     1258.793   2.157657E-4
     1258.993   2.167245E-4
     1259.192   2.176790E-4
     1259.392   2.186376E-4
     1259.592   2.195959E-4
     1259.791   2.205542E-4
     1259.991   2.215128E-4
     1260.191   2.224518E-4
     1260.391   2.233932E-4
      1260.59   2.243309E-4
      1260.79   2.252722E-4
      1260.99   2.262133E-4
     1261.189   2.271507E-4
      1261.39   2.280946E-4
     1261.589   2.290320E-4
      1261.79   2.299724E-4
      1261.99   2.309126E-4
     1262.189   2.318490E-4
      1262.39   2.327891E-4
     1262.589   2.337255E-4
      1262.79   2.346651E-4
      1262.99   2.356048E-4
      1263.19   2.365438E-4
     1263.391   2.374830E-4
     1263.591   2.384190E-4
     1263.791   2.393576E-4
     1263.991   2.402930E-4
     1264.191   2.412316E-4
     1264.392   2.421699E-4
     1264.592   2.431050E-4
     1264.793   2.440432E-4
     1264.993   2.449811E-4
     1265.194   2.459187E-4
     1265.394   2.468532E-4
     1265.595   2.477907E-4
     1265.796   2.487280E-4
     1265.996   2.496616E-4
     1266.197   2.505988E-4
     1266.398   2.515358E-4
     1266.598   2.524689E-4
     1266.799   2.534087E-4
        1267.   2.543419E-4
     1267.201   2.552781E-4
     1267.401   2.562107E-4
     1267.602   2.571470E-4
     1267.803   2.580823E-4
     1268.004   2.590146E-4
     1268.205   2.599505E-4
     1268.406   2.608820E-4
     1268.608   2.618207E-4
     1268.808   2.627523E-4
     1269.009   2.636870E-4
     1269.211   2.646219E-4
     1269.411   2.655531E-4
     1269.613   2.664874E-4
     1269.814   2.674215E-4
     1270.015   2.683512E-4
     1270.217   2.692697E-4
     1270.418   2.701883E-4
      1270.62   2.711072E-4
     1270.821   2.720222E-4
     1271.022   2.729397E-4
     1271.224   2.738573E-4
     1271.425   2.747716E-4
     1271.627   2.756890E-4
     1271.828   2.766025E-4
      1272.03   2.775190E-4
     1272.231   2.784351E-4
     1272.433   2.793513E-4
     1272.635   2.802671E-4
     1272.836   2.811792E-4
     1273.038   2.820947E-4
      1273.24   2.830093E-4
     1273.442   2.839213E-4
     1273.644   2.848356E-4
     1273.845   2.857466E-4
     1274.048   2.866634E-4
     1274.249   2.875738E-4
     1274.452   2.884875E-4
     1274.654   2.894003E-4
     1274.855   2.903099E-4
     1275.057   2.912164E-4
      1275.26   2.921075E-4
     1275.462   2.929948E-4
     1275.664   2.938842E-4
     1275.866   2.947742E-4
     1276.069   2.956631E-4
