WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f550m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.860100E-19
PIVWV    r 5581.206
BANDW    r 163.2712
TPEAK    r 0.3821064
EQUVW    r 203.7352
RECTW    r 533.1897
EMFLX    r 2.090060E-16
        2999.            0.
     2999.375  4.643575E-37
      2999.75  9.299966E-37
     3000.127  3.690359E-14
     3000.503  1.473823E-13
      3000.88  2.610701E-13
     3001.256  3.767960E-13
     3001.632  4.952257E-13
     3002.007  6.162930E-13
     3002.385  7.405739E-13
      3002.76  8.669490E-13
     3003.136  9.960616E-13
     3003.512  1.127834E-12
     3003.888  1.262279E-12
     3004.266  1.399947E-12
     3004.644  1.540507E-12
      3005.02  1.683041E-12
     3005.396  1.828366E-12
     3005.772  1.976399E-12
     3006.148  2.127146E-12
     3006.525  2.280613E-12
     3006.903  2.437523E-12
     3007.279  2.596567E-12
     3007.657  2.759098E-12
     3008.034  2.923652E-12
      3008.41  3.090969E-12
     3008.787  3.261163E-12
     3009.165  3.434808E-12
     3009.542  3.610560E-12
     3009.918  3.789101E-12
     3010.295  3.975010E-12
     3010.672  4.165588E-12
     3011.051  4.360275E-12
     3011.429  4.558492E-12
     3011.806  4.759214E-12
     3012.183  4.963341E-12
      3012.56  5.170898E-12
     3012.937  5.382031E-12
     3013.316  5.597465E-12
     3013.693  5.815552E-12
      3014.07  6.037137E-12
     3014.449  6.263420E-12
     3014.827  6.492076E-12
     3015.204  6.724441E-12
     3015.583  6.961455E-12
     3015.961  7.201006E-12
     3016.338  7.444155E-12
     3016.716  7.691090E-12
     3017.093  7.941517E-12
     3017.471  8.195790E-12
     3017.852  8.456095E-12
      3018.23  8.717780E-12
     3018.608  8.983360E-12
     3018.985  9.252507E-12
     3019.363  9.525592E-12
     3019.741  9.802459E-12
     3020.121  1.008319E-11
     3020.499  1.036392E-11
     3020.877  1.064830E-11
     3021.257  1.093745E-11
     3021.635  1.122916E-11
     3022.013  1.152474E-11
     3022.393  1.182520E-11
     3022.771  1.212802E-11
      3023.15  1.243478E-11
     3023.528  1.274529E-11
     3023.907  1.305957E-11
     3024.287  1.337928E-11
     3024.667  1.370261E-11
     3025.046  1.402850E-11
     3025.425  1.435815E-11
     3025.803  1.469163E-11
     3026.182  1.502904E-11
     3026.562  1.537218E-11
     3026.941  1.571768E-11
      3027.32  1.606704E-11
     3027.699  1.642033E-11
      3028.08  1.677914E-11
     3028.459  1.714023E-11
      3028.84  1.750718E-11
     3029.219  1.787655E-11
     3029.598  1.824996E-11
     3029.977  1.862739E-11
     3030.356  1.901484E-11
     3030.736  1.940694E-11
     3031.117  1.980491E-11
     3031.498  2.020756E-11
     3031.877  2.061301E-11
     3032.257  2.102256E-11
     3032.636  2.143674E-11
     3033.016  2.185531E-11
     3033.397  2.228016E-11
     3033.777  2.270754E-11
     3034.157  2.313934E-11
     3034.537  2.357587E-11
     3034.918  2.401887E-11
     3035.298  2.446449E-11
      3035.68  2.491669E-11
      3036.06  2.537139E-11
      3036.44  2.583086E-11
      3036.82  2.629491E-11
       3037.2  2.676356E-11
     3037.582  2.723898E-11
     3037.962  2.771689E-11
     3038.344  2.820212E-11
     3038.724  2.868959E-11
     3039.104  2.918198E-11
     3039.485  2.967923E-11
     3039.867  3.018317E-11
     3040.248  3.066990E-11
     3040.628  3.115042E-11
     3041.009  3.163484E-11
     3041.389  3.212315E-11
      3041.77  3.261569E-11
     3042.154  3.311626E-11
     3042.535  3.361657E-11
     3042.916  3.412082E-11
     3043.297  3.462912E-11
     3043.678  3.514141E-11
     3044.059  3.565799E-11
     3044.441  3.618058E-11
     3044.823  3.670516E-11
     3045.205  3.723606E-11
     3045.587  3.776887E-11
     3045.968  3.830538E-11
     3046.349  3.884637E-11
     3046.732  3.939389E-11
     3047.114  3.994298E-11
     3047.495  4.049601E-11
     3047.876  4.105350E-11
     3048.258  4.161479E-11
     3048.641  4.218313E-11
     3049.024  4.275560E-11
     3049.406  4.332950E-11
     3049.788  4.390790E-11
     3050.169  4.451715E-11
     3050.551  4.516598E-11
     3050.935  4.582338E-11
     3051.317  4.648352E-11
     3051.699  4.714978E-11
     3052.081  4.782176E-11
     3052.464  4.850216E-11
     3052.846  4.918570E-11
      3053.23  4.987800E-11
     3053.613  5.057337E-11
     3053.995  5.127456E-11
     3054.377  5.198130E-11
     3054.759  5.269436E-11
     3055.142  5.341378E-11
     3055.526  5.414190E-11
      3055.91  5.487602E-11
     3056.292  5.561330E-11
     3056.675  5.635658E-11
     3057.058  5.710584E-11
      3057.44  5.786147E-11
     3057.825  5.862604E-11
     3058.208  5.939393E-11
      3058.59  6.016796E-11
     3058.973  6.094811E-11
     3059.358  6.173839E-11
     3059.741  6.253079E-11
     3060.125  6.330780E-11
     3060.509  6.403363E-11
     3060.892  6.476405E-11
     3061.275  6.549893E-11
     3061.658  6.623885E-11
     3062.043  6.698673E-11
     3062.426  6.773599E-11
     3062.811  6.849330E-11
     3063.195  6.925188E-11
     3063.578  7.001563E-11
     3063.961  7.078355E-11
     3064.347  7.156011E-11
      3064.73  7.233793E-11
     3065.114  7.312093E-11
     3065.498  7.390805E-11
     3065.881  7.470043E-11
     3066.267  7.550115E-11
     3066.652  7.630672E-11
     3067.036  7.711347E-11
      3067.42  7.792552E-11
     3067.804  7.874181E-11
     3068.188  7.956348E-11
     3068.572  8.038999E-11
     3068.958  8.122504E-11
     3069.342  8.206146E-11
     3069.728  8.290645E-11
     3070.112  8.371699E-11
     3070.497  8.444483E-11
     3070.881  8.517529E-11
     3071.267  8.591179E-11
     3071.651  8.664816E-11
     3072.036  8.738710E-11
      3072.42  8.812841E-11
     3072.805  8.887230E-11
     3073.191  8.962265E-11
     3073.578  9.037529E-11
     3073.962  9.112763E-11
     3074.347  9.188251E-11
     3074.732  9.263997E-11
     3075.117  9.340041E-11
     3075.503  9.416639E-11
     3075.888  9.493203E-11
     3076.273  9.570015E-11
      3076.66  9.647471E-11
     3077.045  9.724792E-11
     3077.431  9.802441E-11
     3077.817  9.880637E-11
     3078.203  9.958841E-11
     3078.588  1.003725E-10
     3078.973  1.011591E-10
     3079.359  1.019485E-10
     3079.744  1.027404E-10
     3080.133  1.034948E-10
     3080.519  1.041543E-10
     3080.904  1.048141E-10
      3081.29  1.054746E-10
     3081.676  1.061354E-10
     3082.062  1.067964E-10
     3082.449  1.074605E-10
     3082.835  1.081219E-10
     3083.221  1.087837E-10
     3083.608  1.094485E-10
     3083.994  1.101105E-10
      3084.38  1.107727E-10
     3084.768  1.114379E-10
     3085.154  1.121006E-10
     3085.541  1.127633E-10
     3085.927  1.134261E-10
     3086.313  1.140886E-10
     3086.701  1.147541E-10
     3087.089  1.154200E-10
     3087.476  1.160834E-10
