WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f625w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.195395E-19
PIVWV    r 6310.452
BANDW    r 415.454
TPEAK    r 0.4433655
EQUVW    r 580.8473
RECTW    r 1310.087
EMFLX    r 1.762527E-16
        3000.  2.174872E-36
     3000.375  1.894890E-13
      3000.75  3.798407E-13
     3001.124  5.694451E-13
     3001.498  7.594135E-13
     3001.874  9.504941E-13
     3002.248  1.141075E-12
     3002.624  1.332648E-12
     3002.998  1.523716E-12
     3003.372  1.715011E-12
     3003.747  1.906547E-12
     3004.123  2.099204E-12
     3004.497  2.291234E-12
     3004.871  2.483630E-12
     3005.248  2.677145E-12
     3005.624  2.870775E-12
     3005.998  3.064019E-12
     3006.373  3.257371E-12
     3006.748  3.451089E-12
     3007.124  3.645805E-12
     3007.499  3.840128E-12
     3007.874  4.034566E-12
     3008.248  4.229248E-12
     3008.625  4.425192E-12
     3009.001  4.621249E-12
     3009.376  4.816773E-12
     3009.751  5.012536E-12
     3010.128  5.212040E-12
     3010.503  5.416422E-12
     3010.879  5.621606E-12
     3011.254  5.827592E-12
     3011.631  6.035322E-12
     3012.008  6.243860E-12
     3012.383  6.452259E-12
     3012.759  6.661594E-12
     3013.134  6.871722E-12
     3013.511  7.083604E-12
     3013.887  7.295327E-12
     3014.262  7.507985E-12
     3014.638  7.721303E-12
     3015.015  7.936535E-12
     3015.393  8.152570E-12
     3015.769  8.368427E-12
     3016.145  8.585214E-12
     3016.522  8.803637E-12
     3016.898  9.022008E-12
     3017.274  9.241189E-12
      3017.65  9.461170E-12
     3018.028  9.682950E-12
     3018.404  9.904648E-12
     3018.781  1.012801E-11
     3019.158  1.035130E-11
     3019.536  1.057641E-11
     3019.912  1.080144E-11
     3020.288  1.102394E-11
     3020.665  1.124627E-11
     3021.043  1.147025E-11
     3021.419  1.169386E-11
     3021.796  1.191810E-11
     3022.174  1.214415E-11
     3022.551  1.236968E-11
     3022.929  1.259702E-11
     3023.306  1.282398E-11
     3023.683  1.305173E-11
      3024.06  1.327997E-11
     3024.438  1.351003E-11
     3024.815  1.373955E-11
     3025.192  1.396981E-11
     3025.571  1.420185E-11
     3025.949  1.443439E-11
     3026.326  1.466664E-11
     3026.704  1.489969E-11
     3027.081  1.513337E-11
      3027.46  1.536871E-11
     3027.837  1.560379E-11
     3028.214  1.583929E-11
     3028.592  1.607553E-11
     3028.973  1.631456E-11
      3029.35  1.655217E-11
     3029.728  1.679042E-11
     3030.105  1.703098E-11
     3030.485  1.727730E-11
     3030.862  1.752328E-11
      3031.24  1.777009E-11
     3031.618  1.801769E-11
     3031.997  1.826720E-11
     3032.377  1.851762E-11
     3032.755  1.876769E-11
     3033.133  1.901851E-11
      3033.51  1.927005E-11
      3033.89  1.952367E-11
     3034.268  1.977671E-11
     3034.646  2.003066E-11
     3035.025  2.028538E-11
     3035.405  2.054210E-11
     3035.785  2.079976E-11
     3036.163  2.105681E-11
     3036.541  2.131473E-11
     3036.921  2.157459E-11
       3037.3  2.183403E-11
     3037.678  2.209440E-11
     3038.057  2.235555E-11
     3038.437  2.261859E-11
     3038.816  2.288138E-11
     3039.196  2.314602E-11
     3039.575  2.341030E-11
     3039.956  2.367636E-11
     3040.334  2.392140E-11
     3040.713  2.416404E-11
     3041.092  2.440700E-11
     3041.473  2.465138E-11
     3041.852  2.489515E-11
     3042.231  2.513917E-11
      3042.61  2.538349E-11
     3042.991  2.562922E-11
     3043.372  2.587538E-11
     3043.751  2.612075E-11
     3044.131  2.636660E-11
      3044.51  2.661277E-11
     3044.891  2.686038E-11
     3045.271  2.710713E-11
      3045.65  2.735432E-11
     3046.031  2.760279E-11
     3046.413  2.785185E-11
     3046.792  2.810011E-11
     3047.172  2.834879E-11
     3047.552  2.859758E-11
     3047.933  2.884797E-11
     3048.313  2.909749E-11
     3048.693  2.934766E-11
     3049.073  2.959797E-11
     3049.455  2.984964E-11
     3049.836  3.010179E-11
     3050.216  3.037657E-11
     3050.596  3.067017E-11
     3050.979  3.096620E-11
     3051.359  3.126164E-11
     3051.739  3.155818E-11
     3052.119  3.185546E-11
     3052.501  3.215521E-11
     3052.882  3.245473E-11
     3053.264  3.275621E-11
     3053.644  3.305720E-11
     3054.025  3.335931E-11
     3054.407  3.366378E-11
     3054.788  3.396779E-11
     3055.169  3.427291E-11
     3055.551  3.458012E-11
     3055.932  3.488705E-11
     3056.313  3.519488E-11
     3056.695  3.550501E-11
     3057.076  3.581462E-11
     3057.459  3.612666E-11
      3057.84  3.643800E-11
     3058.221  3.675051E-11
     3058.602  3.706395E-11
     3058.985  3.737970E-11
     3059.366  3.769510E-11
     3059.748  3.801140E-11
      3060.13  3.831365E-11
     3060.513  3.858531E-11
     3060.895  3.885625E-11
     3061.276  3.912726E-11
     3061.658  3.939874E-11
     3062.041  3.967178E-11
     3062.423  3.994396E-11
     3062.804  4.021647E-11
     3063.186  4.048948E-11
      3063.57  4.076383E-11
     3063.953  4.103872E-11
     3064.335  4.131268E-11
     3064.717  4.158696E-11
     3065.099  4.186173E-11
     3065.482  4.213785E-11
     3065.865  4.241322E-11
     3066.247  4.268894E-11
      3066.63  4.296623E-11
     3067.014  4.324384E-11
     3067.396  4.352073E-11
     3067.779  4.379791E-11
     3068.161  4.407544E-11
     3068.545  4.435457E-11
     3068.927  4.463277E-11
      3069.31  4.491133E-11
     3069.693  4.519018E-11
     3070.077  4.545736E-11
     3070.461  4.567162E-11
     3070.844  4.588454E-11
     3071.227  4.609732E-11
     3071.611  4.631058E-11
     3071.994  4.652266E-11
     3072.376  4.673422E-11
      3072.76  4.694555E-11
     3073.144  4.715736E-11
     3073.527  4.736807E-11
     3073.912  4.757935E-11
     3074.295  4.778930E-11
      3074.68  4.799980E-11
     3075.063  4.820915E-11
     3075.446  4.841798E-11
     3075.829  4.862659E-11
     3076.214  4.883574E-11
     3076.598  4.904370E-11
     3076.981  4.925118E-11
     3077.366  4.945944E-11
      3077.75  4.966643E-11
     3078.135  4.987398E-11
     3078.519  5.008025E-11
     3078.902  5.028614E-11
     3079.286  5.049169E-11
     3079.672  5.069775E-11
     3080.055  5.089295E-11
     3080.439  5.103055E-11
     3080.825  5.116787E-11
      3081.21  5.130417E-11
     3081.594  5.143900E-11
     3081.979  5.157287E-11
     3082.363  5.170578E-11
     3082.749  5.183838E-11
     3083.133  5.196934E-11
     3083.517  5.209937E-11
     3083.901  5.222845E-11
     3084.289  5.235773E-11
     3084.673  5.248500E-11
     3085.058  5.261123E-11
     3085.442  5.273653E-11
     3085.828  5.286142E-11
     3086.213  5.298476E-11
     3086.598  5.310719E-11
     3086.982  5.322867E-11
     3087.369  5.334984E-11
     3087.755  5.347014E-11
      3088.14  5.358888E-11
