WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f658n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.999179E-18
PIVWV    r 6584.016
BANDW    r 37.15238
TPEAK    r 0.4449753
EQUVW    r 33.35851
RECTW    r 74.96711
EMFLX    r 1.515987E-16
        2999.            0.
     2999.373  4.089171E-37
     2999.749  8.215772E-37
     3000.123  3.130528E-14
     3000.496  1.268707E-13
     3000.872  2.230730E-13
     3001.248  3.193492E-13
     3001.622  4.154486E-13
     3001.996  5.116217E-13
     3002.372  6.083731E-13
     3002.746  7.048842E-13
      3003.12  8.014659E-13
     3003.496  8.986837E-13
      3003.87  9.955962E-13
     3004.246  1.093091E-12
     3004.621  1.190344E-12
     3004.997  1.288114E-12
     3005.371  1.385638E-12
     3005.746  1.483362E-12
     3006.122  1.581604E-12
     3006.497  1.679533E-12
     3006.871  1.777661E-12
     3007.248  1.876373E-12
     3007.624  1.975157E-12
     3007.999  2.073757E-12
     3008.375  2.172883E-12
      3008.75  2.271760E-12
     3009.125  2.370771E-12
       3009.5  2.469913E-12
     3009.877  2.569644E-12
     3010.252  2.671687E-12
     3010.627  2.775452E-12
     3011.006  2.880519E-12
     3011.381  2.985129E-12
     3011.756  3.090159E-12
     3012.134  3.196160E-12
     3012.509  3.302035E-12
     3012.884  3.408400E-12
     3013.261  3.515667E-12
     3013.637  3.622868E-12
     3014.012  3.730489E-12
      3014.39  3.839093E-12
     3014.767  3.948050E-12
     3015.143  4.057006E-12
     3015.519  4.166380E-12
     3015.896  4.276676E-12
     3016.272  4.386958E-12
     3016.648  4.497656E-12
     3017.025  4.609210E-12
     3017.401  4.720759E-12
     3017.779  4.833238E-12
     3018.155  4.945695E-12
     3018.533  5.059011E-12
     3018.909  5.172304E-12
     3019.285  5.286020E-12
     3019.663  5.400674E-12
      3020.04  5.515085E-12
     3020.416  5.627938E-12
     3020.794  5.741720E-12
     3021.172  5.855846E-12
     3021.549  5.969796E-12
     3021.925  6.084088E-12
     3022.304  6.199317E-12
      3022.68  6.314366E-12
     3023.057  6.429759E-12
     3023.436  6.546024E-12
     3023.812  6.662104E-12
     3024.189  6.778525E-12
     3024.568  6.895895E-12
     3024.946  7.013608E-12
     3025.323  7.131092E-12
       3025.7  7.248911E-12
     3026.079  7.367698E-12
     3026.456  7.486268E-12
     3026.833  7.605258E-12
     3027.212  7.725120E-12
     3027.589  7.844769E-12
     3027.969  7.965380E-12
     3028.347  8.086217E-12
     3028.725  8.206922E-12
     3029.102  8.327980E-12
      3029.48  8.449413E-12
     3029.859  8.571820E-12
     3030.237  8.695680E-12
     3030.614  8.821055E-12
     3030.994  8.947407E-12
     3031.373  9.074218E-12
     3031.751  9.200867E-12
      3032.13  9.328585E-12
     3032.508  9.456136E-12
     3032.886  9.584092E-12
     3033.266  9.713024E-12
     3033.644  9.841773E-12
     3034.022  9.971014E-12
       3034.4  1.010055E-11
     3034.781  1.023176E-11
      3035.16  1.036222E-11
     3035.538  1.049320E-11
     3035.918  1.062510E-11
     3036.296  1.075686E-11
     3036.675  1.088901E-11
     3037.055  1.102217E-11
     3037.433  1.115514E-11
     3037.812  1.128851E-11
     3038.192  1.142302E-11
     3038.573  1.155798E-11
     3038.951  1.169273E-11
      3039.33  1.182781E-11
      3039.71  1.196388E-11
     3040.089  1.209705E-11
     3040.468  1.222138E-11
     3040.849  1.234646E-11
     3041.228  1.247117E-11
     3041.606  1.259606E-11
     3041.987  1.272177E-11
     3042.368  1.284762E-11
     3042.747  1.297309E-11
     3043.126  1.309876E-11
     3043.507  1.322522E-11
     3043.887  1.335137E-11
     3044.266  1.347770E-11
     3044.647  1.360471E-11
     3045.028  1.373198E-11
     3045.408  1.385889E-11
     3045.787  1.398591E-11
     3046.168  1.411379E-11
     3046.548  1.424130E-11
     3046.928  1.436900E-11
     3047.309  1.449742E-11
     3047.689  1.462551E-11
     3048.069  1.475380E-11
      3048.45  1.488289E-11
     3048.832  1.501216E-11
     3049.212  1.514101E-11
     3049.592  1.527001E-11
     3049.974  1.539987E-11
     3050.354  1.554906E-11
     3050.734  1.570021E-11
     3051.116  1.585254E-11
     3051.496  1.600476E-11
     3051.876  1.615738E-11
      3052.26  1.631198E-11
      3052.64  1.646571E-11
     3053.021  1.661992E-11
     3053.401  1.677464E-11
     3053.783  1.693046E-11
     3054.164  1.708618E-11
     3054.545  1.724242E-11
     3054.927  1.739985E-11
     3055.308  1.755717E-11
      3055.69  1.771559E-11
     3056.073  1.787459E-11
     3056.454  1.803337E-11
     3056.834  1.819265E-11
     3057.217  1.835319E-11
     3057.598  1.851338E-11
     3057.979  1.867416E-11
      3058.36  1.883547E-11
     3058.743  1.899800E-11
     3059.126  1.916101E-11
     3059.507  1.932386E-11
      3059.89  1.948794E-11
     3060.272  1.963451E-11
     3060.653  1.977435E-11
     3061.036  1.991501E-11
     3061.418  2.005526E-11
     3061.799  2.019562E-11
     3062.182  2.033689E-11
     3062.566  2.047837E-11
     3062.947  2.061940E-11
     3063.329  2.076072E-11
     3063.713  2.090285E-11
     3064.094  2.104454E-11
     3064.476  2.118641E-11
      3064.86  2.132910E-11
     3065.242  2.147134E-11
     3065.624  2.161384E-11
     3066.008  2.175716E-11
     3066.391  2.190070E-11
     3066.773  2.204378E-11
     3067.156  2.218715E-11
      3067.54  2.233125E-11
     3067.922  2.247499E-11
     3068.304  2.261893E-11
     3068.688  2.276371E-11
     3069.071  2.290811E-11
     3069.455  2.305318E-11
     3069.837  2.319788E-11
     3070.222  2.332386E-11
     3070.604  2.343490E-11
     3070.987  2.354584E-11
     3071.371  2.365710E-11
     3071.754  2.376776E-11
     3072.137  2.387823E-11
     3072.521  2.398896E-11
     3072.906  2.409959E-11
     3073.289  2.420954E-11
     3073.674  2.431990E-11
     3074.057  2.442959E-11
      3074.44  2.453909E-11
     3074.823  2.464850E-11
     3075.208  2.475815E-11
     3075.591  2.486722E-11
     3075.975  2.497612E-11
     3076.361  2.508579E-11
     3076.745  2.519440E-11
     3077.128  2.530278E-11
     3077.513  2.541159E-11
     3077.897  2.551976E-11
     3078.281  2.562774E-11
     3078.664  2.573557E-11
      3079.05  2.584376E-11
     3079.433  2.595123E-11
     3079.819  2.605895E-11
     3080.204  2.614839E-11
     3080.588  2.622099E-11
     3080.972  2.629305E-11
     3081.358  2.636502E-11
     3081.742  2.643619E-11
     3082.126  2.650688E-11
      3082.51  2.657708E-11
     3082.896  2.664715E-11
     3083.282  2.671672E-11
     3083.666  2.678544E-11
     3084.052  2.685408E-11
     3084.436  2.692191E-11
     3084.821  2.698924E-11
     3085.207  2.705643E-11
     3085.591  2.712283E-11
     3085.976  2.718873E-11
     3086.362  2.725442E-11
     3086.749  2.731968E-11
     3087.133  2.738415E-11
