WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t acs,wfc1,f850lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.507451E-19
PIVWV    r 9054.798
BANDW    r 539.4613
TPEAK    r 0.2482886
EQUVW    r 321.105
RECTW    r 1293.273
EMFLX    r 2.473441E-16
        4000.   1.435740E-7
     4000.405   1.435557E-7
     4000.809   1.435374E-7
     4001.215   1.435189E-7
      4001.62   1.435004E-7
     4002.026   1.434818E-7
      4002.43   1.434632E-7
     4002.834   1.434446E-7
     4003.239   1.434259E-7
     4003.646   1.434070E-7
      4004.05   1.433883E-7
     4004.454   1.433693E-7
     4004.859   1.433504E-7
     4005.263   1.433313E-7
      4005.67   1.433122E-7
     4006.077   1.432930E-7
     4006.482   1.432738E-7
     4006.886   1.432546E-7
     4007.291   1.432354E-7
     4007.696   1.432161E-7
     4008.103   1.431967E-7
     4008.508   1.431774E-7
     4008.913   1.431581E-7
      4009.32   1.431386E-7
     4009.725   1.431190E-7
      4010.13   1.430980E-7
     4010.538   1.430737E-7
     4010.943   1.430495E-7
     4011.348   1.430253E-7
     4011.753   1.430011E-7
     4012.158   1.429768E-7
     4012.566   1.429523E-7
     4012.973   1.429277E-7
     4013.379   1.429033E-7
     4013.784   1.428788E-7
      4014.19   1.428543E-7
     4014.595   1.428298E-7
     4015.003   1.428051E-7
     4015.408   1.427805E-7
     4015.814   1.427557E-7
      4016.22   1.427309E-7
     4016.628   1.427058E-7
     4017.033   1.426807E-7
     4017.441   1.426557E-7
     4017.847   1.426307E-7
     4018.253   1.426057E-7
     4018.659   1.425806E-7
     4019.065   1.425555E-7
     4019.473   1.425303E-7
     4019.879   1.425051E-7
     4020.287   1.424852E-7
     4020.694   1.424676E-7
       4021.1   1.424500E-7
     4021.506   1.424324E-7
     4021.914   1.424146E-7
     4022.321   1.423969E-7
     4022.727   1.423791E-7
     4023.133   1.423613E-7
      4023.54   1.423434E-7
     4023.948   1.423255E-7
     4024.357   1.423074E-7
     4024.764   1.422893E-7
      4025.17   1.422712E-7
     4025.577   1.422530E-7
     4025.983   1.422348E-7
     4026.392   1.422164E-7
     4026.799   1.421980E-7
     4027.206   1.421796E-7
     4027.615   1.421611E-7
     4028.022   1.421426E-7
     4028.429   1.421241E-7
     4028.838   1.421054E-7
     4029.245   1.420868E-7
     4029.652   1.420681E-7
     4030.059   1.420481E-7
     4030.466   1.420211E-7
     4030.875   1.419940E-7
     4031.285   1.419669E-7
     4031.692   1.419399E-7
     4032.099   1.419129E-7
     4032.507   1.418857E-7
     4032.914   1.418586E-7
     4033.323   1.418311E-7
     4033.731   1.418038E-7
     4034.138   1.417764E-7
     4034.546   1.417490E-7
     4034.956   1.417214E-7
     4035.363   1.416939E-7
     4035.773   1.416663E-7
     4036.181   1.416387E-7
     4036.589   1.416111E-7
     4036.996   1.415834E-7
     4037.404   1.415556E-7
     4037.814   1.415277E-7
     4038.222   1.414999E-7
     4038.632   1.414719E-7
      4039.04   1.414440E-7
     4039.448   1.414160E-7
     4039.856   1.413879E-7
     4040.267   1.413554E-7
     4040.675   1.413207E-7
     4041.083   1.412859E-7
     4041.491   1.412512E-7
     4041.899   1.412164E-7
      4042.31   1.411813E-7
      4042.72   1.411461E-7
     4043.129   1.411111E-7
     4043.537   1.410761E-7
     4043.946   1.410411E-7
     4044.354   1.410060E-7
     4044.765   1.409707E-7
     4045.174   1.409355E-7
     4045.582   1.409002E-7
     4045.991   1.408649E-7
     4046.402   1.408293E-7
     4046.811   1.407939E-7
     4047.222   1.407583E-7
     4047.631   1.407228E-7
     4048.039   1.406873E-7
     4048.448   1.406518E-7
     4048.857   1.406162E-7
     4049.266   1.405805E-7
      4049.68   1.405443E-7
     4050.089   1.405073E-7
     4050.498   1.404661E-7
     4050.907   1.404249E-7
     4051.316   1.403835E-7
     4051.728   1.403419E-7
     4052.137   1.403004E-7
     4052.546   1.402590E-7
     4052.956   1.402175E-7
     4053.365   1.401759E-7
     4053.777   1.401340E-7
     4054.189   1.400921E-7
     4054.598   1.400504E-7
     4055.008   1.400086E-7
     4055.417   1.399669E-7
     4055.827   1.399252E-7
     4056.237   1.398834E-7
     4056.649   1.398412E-7
     4057.059   1.397992E-7
     4057.471   1.397570E-7
     4057.881   1.397151E-7
     4058.291   1.396730E-7
     4058.703   1.396306E-7
     4059.113   1.395883E-7
     4059.523   1.395459E-7
     4059.933   1.395035E-7
     4060.343   1.394666E-7
     4060.753   1.394307E-7
     4061.168   1.393942E-7
     4061.578   1.393580E-7
     4061.988   1.393216E-7
     4062.399   1.392853E-7
     4062.809   1.392491E-7
     4063.222   1.392125E-7
     4063.632   1.391761E-7
     4064.042   1.391397E-7
     4064.453   1.391032E-7
     4064.866   1.390664E-7
     4065.277   1.390298E-7
     4065.689   1.389928E-7
       4066.1   1.389561E-7
     4066.511   1.389193E-7
     4066.922   1.388826E-7
     4067.333   1.388456E-7
     4067.743   1.388086E-7
     4068.156   1.387714E-7
      4068.57   1.387343E-7
     4068.981   1.386972E-7
     4069.392   1.386601E-7
     4069.803   1.386229E-7
     4070.216   1.385874E-7
     4070.627   1.385536E-7
     4071.039   1.385198E-7
      4071.45   1.384859E-7
     4071.861   1.384520E-7
     4072.275   1.384178E-7
     4072.688   1.383835E-7
       4073.1   1.383493E-7
     4073.511   1.383152E-7
     4073.923   1.382810E-7
     4074.334   1.382468E-7
     4074.746   1.382124E-7
     4075.159   1.381779E-7
     4075.571   1.381437E-7
     4075.985   1.381093E-7
     4076.397   1.380747E-7
     4076.809   1.380400E-7
      4077.22   1.380054E-7
     4077.635   1.379706E-7
     4078.047   1.379358E-7
     4078.458   1.379010E-7
      4078.87   1.378661E-7
     4079.282   1.378312E-7
     4079.699   1.377958E-7
     4080.111   1.377587E-7
     4080.523   1.377156E-7
     4080.936   1.376726E-7
     4081.348   1.376293E-7
      4081.76   1.375861E-7
     4082.175   1.375426E-7
     4082.587   1.374992E-7
        4083.   1.374558E-7
     4083.414   1.374121E-7
     4083.827   1.373685E-7
     4084.241   1.373247E-7
     4084.654   1.372811E-7
     4085.067   1.372375E-7
     4085.479   1.371938E-7
     4085.892   1.371501E-7
     4086.305   1.371063E-7
      4086.72   1.370623E-7
     4087.135   1.370183E-7
     4087.548   1.369744E-7
     4087.961   1.369305E-7
     4088.374   1.368865E-7
     4088.787   1.368423E-7
     4089.202   1.367980E-7
     4089.615   1.367539E-7
     4090.028   1.367099E-7
     4090.441   1.366662E-7
     4090.857   1.366221E-7
     4091.272   1.365782E-7
     4091.685   1.365345E-7
     4092.099   1.364906E-7
     4092.512   1.364466E-7
     4092.926   1.364026E-7
     4093.339   1.363587E-7
     4093.755   1.363146E-7
     4094.168   1.362705E-7
     4094.584   1.362261E-7
     4094.998   1.361819E-7
