WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$p1s1748gm_tmg.fits
CMPTABLE t mtab$p1s1748hm_tmc.fits
EXPR     t landolt,B
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 9.771246E-20
PIVWV    r 4433.508
BANDW    r 352.9421
TPEAK    r 1.
EQUVW    r 1010.301
RECTW    r 1010.301
EMFLX    r 1.029395E-16
        3600.            0.
     3600.156   1.877940E-5
     3600.311   3.729486E-5
     3600.467   5.601561E-5
     3600.625   7.499993E-5
     3600.781   9.372068E-5
     3600.937   1.124707E-4
     3601.092   1.309862E-4
     3601.248   1.497070E-4
     3601.404   1.684570E-4
     3601.558   1.869725E-4
     3601.714   2.057226E-4
      3601.87   2.244433E-4
     3602.027   2.431934E-4
     3602.185   2.621777E-4
     3602.339   2.806935E-4
     3602.495   2.994433E-4
     3602.652   3.181933E-4
     3602.806   3.367091E-4
     3602.962   3.554588E-4
     3603.118   3.742089E-4
     3603.275   3.929590E-4
     3603.431   4.117091E-4
     3603.587   4.304592E-4
     3603.743   4.492089E-4
       3603.9   4.679883E-4
     3604.054   4.865041E-4
      3604.21   5.052538E-4
     3604.367   5.240039E-4
     3604.521   5.425197E-4
     3604.679   5.615333E-4
     3604.834   5.800488E-4
     3604.992   5.990624E-4
     3605.148   6.178125E-4
     3605.303   6.363280E-4
     3605.459   6.551074E-4
     3605.615   6.738575E-4
      3605.77   6.924022E-4
     3605.928   7.113866E-4
     3606.083   7.299317E-4
     3606.239   7.486818E-4
     3606.397   7.676954E-4
     3606.552   7.862402E-4
     3606.708   8.049903E-4
     3606.865   8.237697E-4
     3607.019   8.423145E-4
     3607.176   8.610646E-4
     3607.332   8.798436E-4
     3607.489   8.986230E-4
     3607.645   9.174024E-4
     3607.802   9.361818E-4
     3607.958   9.549608E-4
     3608.115   9.737402E-4
     3608.269   9.922850E-4
     3608.426   0.001011064
     3608.584   0.001030078
     3608.739   0.001048623
     3608.895   0.001067402
      3609.05   0.001085947
     3609.208   0.001104961
     3609.365    0.00112374
     3609.519   0.001142285
     3609.676   0.001161065
     3609.832   0.001179873
     3609.989   0.001198652
     3610.145   0.001217432
       3610.3   0.001235977
     3610.457   0.001254785
     3610.615   0.001273799
      3610.77   0.001292344
     3610.926   0.001311152
     3611.083   0.001329932
      3611.24    0.00134874
     3611.396    0.00136752
     3611.551   0.001386094
     3611.707   0.001404873
     3611.864   0.001423682
     3612.021    0.00144249
     3612.177    0.00146127
     3612.334   0.001480078
     3612.489   0.001498653
     3612.647   0.001517666
     3612.802    0.00153624
     3612.959   0.001555049
     3613.115   0.001573857
      3613.27   0.001592402
     3613.429   0.001611445
     3613.585   0.001630254
      3613.74   0.001648828
     3613.899   0.001667871
     3614.054   0.001686445
      3614.21   0.001705254
     3614.367   0.001724062
     3614.522   0.001742637
     3614.679   0.001761445
     3614.837   0.001780488
     3614.992   0.001799062
     3615.149     0.0018179
     3615.306   0.001836709
     3615.463   0.001855518
     3615.619   0.001874326
     3615.774    0.00189293
     3615.931   0.001911738
     3616.088   0.001930547
     3616.245   0.001949385
     3616.402   0.001968194
     3616.561   0.001987265
     3616.715    0.00200584
     3616.872   0.002024648
     3617.027   0.002043252
     3617.184    0.00206206
     3617.341   0.002080898
     3617.496   0.002099473
     3617.653   0.002118311
     3617.813   0.002137617
     3617.968   0.002156191
     3618.125   0.002175029
      3618.28   0.002193633
     3618.437   0.002212471
     3618.594   0.002231279
     3618.749   0.002249883
     3618.906   0.002268721
     3619.065   0.002287793
     3619.222   0.002306631
     3619.379   0.002325469
     3619.534   0.002344072
     3619.691    0.00236291
     3619.848   0.002381748
     3620.003   0.002400322
      3620.16    0.00241919
     3620.317   0.002438027
     3620.474   0.002456865
     3620.633   0.002475938
     3620.788   0.002494541
     3620.945   0.002513379
     3621.102   0.002532246
     3621.257   0.002550849
     3621.414   0.002569688
     3621.571   0.002588526
     3621.728   0.002607393
     3621.885   0.002626231
     3622.042   0.002645068
     3622.199   0.002663936
     3622.356   0.002682773
     3622.512   0.002701406
     3622.669   0.002720244
     3622.826   0.002739111
     3622.981   0.002757715
      3623.14   0.002776816
     3623.295    0.00279542
     3623.454   0.002814521
     3623.612   0.002833389
     3623.767   0.002851992
     3623.924    0.00287086
     3624.081   0.002889727
     3624.236   0.002908359
     3624.396   0.002927461
     3624.551   0.002946064
     3624.708   0.002964932
     3624.867   0.002984033
     3625.022   0.003002666
     3625.179   0.003021533
     3625.337   0.003040401
     3625.492   0.003059033
     3625.651   0.003078134
     3625.808   0.003097002
     3625.964   0.003115635
     3626.121   0.003134502
     3626.278   0.003153369
     3626.436   0.003172266
     3626.593   0.003191133
     3626.748   0.003209766
     3626.905   0.003228633
     3627.065   0.003247764
      3627.22   0.003266396
     3627.377   0.003285264
     3627.532   0.003303896
     3627.692   0.003323027
     3627.849   0.003341894
     3628.005   0.003360557
     3628.162   0.003379424
     3628.321   0.003398555
     3628.477   0.003417188
     3628.634   0.003436084
     3628.789   0.003454717
     3628.947   0.003473613
     3629.106   0.003492744
     3629.261   0.003511377
     3629.419   0.003530273
     3629.576    0.00354917
     3629.734   0.003568067
     3629.891   0.003586934
     3630.047   0.003605596
     3630.204   0.003624492
     3630.362   0.003643389
     3630.519   0.003662285
     3630.677   0.003681182
     3630.834   0.003700078
     3630.991   0.003718974
     3631.149   0.003737871
     3631.304   0.003756533
     3631.462   0.003775429
     3631.619   0.003794326
     3631.775   0.003812988
     3631.934   0.003832119
     3632.092   0.003851016
     3632.247   0.003869678
     3632.407   0.003888838
     3632.563     0.0039075
      3632.72   0.003926396
     3632.877   0.003945293
     3633.033   0.003963985
     3633.191   0.003982881
      3633.35   0.004002041
     3633.506   0.004020703
     3633.666   0.004039863
     3633.823    0.00405876
     3633.979   0.004077422
     3634.136   0.004096348
     3634.292    0.00411501
     3634.449   0.004133936
     3634.607   0.004152861
     3634.765   0.004171758
     3634.922   0.004190683
     3635.082   0.004209843
     3635.238   0.004228506
     3635.395   0.004247432
     3635.551   0.004266123
     3635.709   0.004285049
     3635.866   0.004303975
     3636.022   0.004322637
     3636.182   0.004341797
     3636.341   0.004360957
     3636.497   0.004379648
     3636.655   0.004398574
     3636.811   0.004417266
     3636.968   0.004436191
     3637.126   0.004455117
     3637.282   0.004473809
     3637.439   0.004492735
     3637.599   0.004511924
     3637.757    0.00453085
     3637.915   0.004549775
     3638.071   0.004568467
     3638.229   0.004587422
     3638.386   0.004606348
     3638.542   0.004625039
       3638.7   0.004643965
      3638.86   0.004663154
     3639.017    0.00468208
     3639.175   0.004701035
     3639.331   0.004719727
     3639.489   0.004738681
     3639.647   0.004757607
     3639.803   0.004776328
      3639.96   0.004795254
     3640.118   0.004814209
     3640.276   0.004833135
     3640.436   0.004852324
     3640.592   0.004871045
      3640.75   0.004889971
     3640.908   0.004908926
     3641.064   0.004927646
     3641.222   0.004946602
