WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f160w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.208483E-20
PIVWV    r 16030.47
BANDW    r 1176.615
TPEAK    r 0.2493621
EQUVW    r 851.4484
RECTW    r 3414.506
EMFLX    r 1.342418E-16
       11985.   4.233140E-5
     11985.62   3.743132E-5
     11986.22   3.263939E-5
     11986.84   2.773925E-5
     11987.46   2.284679E-5
     11988.08   1.794655E-5
     11988.69   1.315451E-5
      11989.3   8.261935E-6
     11989.92   3.361603E-6
     11990.53   2.369346E-6
     11991.15   1.914593E-6
     11991.75   1.468459E-6
     11992.37   1.013700E-6
     11992.99   5.582197E-7
     11993.61   1.027357E-7
     11994.23            0.
     11994.83            0.
     11995.45            0.
     11996.06            0.
     11996.68            0.
      11997.3            0.
      11997.9   1.487191E-7
     11998.52   3.764693E-7
     11999.14   6.042210E-7
     11999.76   8.319744E-7
     12000.37   1.322484E-6
     12000.99   2.001789E-6
     12001.61   2.682194E-6
     12002.21   3.346549E-6
     12002.83   4.027005E-6
     12003.45   4.706416E-6
     12004.06   5.371921E-6
     12004.68   6.051384E-6
      12005.3   5.594479E-6
     12005.92   3.893447E-6
     12006.52   2.229853E-6
     12007.14   5.313695E-7
     12007.75            0.
     12008.37            0.
     12008.99            0.
     12009.59            0.
     12010.21            0.
     12010.83            0.
     12011.45            0.
     12012.06            0.
     12012.68   4.110733E-8
      12013.3   1.742643E-6
     12013.91   3.409406E-6
     12014.53   5.108393E-6
     12015.15   6.274336E-6
     12015.77   5.707903E-6
     12016.37   5.153046E-6
     12016.99   4.586570E-6
     12017.61   4.020071E-6
     12018.22   3.466039E-6
     12018.84   2.899498E-6
     12019.45   2.344533E-6
     12020.07   1.965338E-6
     12020.69   3.098660E-6
     12021.31   4.232026E-6
     12021.93   5.367220E-6
     12022.54   6.477469E-6
     12023.16   7.610966E-6
     12023.76   8.721304E-6
     12024.38   9.854884E-6
       12025.   1.097603E-5
     12025.61   1.053292E-5
     12026.23   1.007982E-5
     12026.85   9.627413E-6
     12027.47   9.174277E-6
     12028.08   8.731102E-6
      12028.7   8.277932E-6
     12029.32   7.825461E-6
     12029.93   7.382230E-6
     12030.55   6.823867E-6
     12031.17   6.252267E-6
     12031.78   5.693227E-6
      12032.4   5.121585E-6
     12033.02   4.549917E-6
     12033.64   3.978229E-6
     12034.25   3.419102E-6
     12034.87   2.847370E-6
     12035.48   1.152837E-6
      12036.1            0.
     12036.72            0.
     12037.33            0.
     12037.96            0.
     12038.57            0.
     12039.19            0.
      12039.8            0.
     12040.42            0.
     12041.04            0.
     12041.65            0.
     12042.27            0.
      12042.9            0.
     12043.52            0.
     12044.12            0.
     12044.75            0.
     12045.37            0.
     12045.98            0.
      12046.6            0.
     12047.22   2.036624E-7
     12047.83   1.760818E-6
     12048.45   3.353025E-6
     12049.07   4.945298E-6
     12049.69   6.535128E-6
      12050.3   6.575580E-6
     12050.92   5.048137E-6
     12051.53   3.549459E-6
     12052.16   2.019496E-6
     12052.78   4.918761E-7
     12053.39            0.
     12054.01            0.
     12054.63            0.
     12055.25            0.
     12055.86            0.
     12056.48            0.
      12057.1            0.
     12057.71   1.197880E-6
     12058.34   2.613608E-6
     12058.96   4.029389E-6
     12059.57   5.416331E-6
     12060.19   6.262624E-6
     12060.81   5.807524E-6
     12061.43   5.353118E-6
     12062.04   4.907972E-6
     12062.67   4.453532E-6
     12063.28   4.008350E-6
      12063.9   3.553162E-6
     12064.52   3.098671E-6
     12065.13   3.080953E-6
     12065.75   4.676549E-6
     12066.38   6.269708E-6
       12067.   7.865431E-6
     12067.61   9.426196E-6
     12068.23   1.102204E-5
     12068.85   1.261545E-5
     12069.46   1.417890E-5
     12070.08   1.529065E-5
     12070.71   1.335360E-5
     12071.32   1.145898E-5
     12071.94   9.521778E-6
     12072.56   7.584505E-6
     12073.19   5.647153E-6
      12073.8   3.749202E-6
     12074.42   1.811703E-6
     12075.04   5.480168E-8
     12075.65   7.220166E-7
     12076.28   1.404228E-6
     12076.89   2.072564E-6
     12077.52   2.769800E-6
     12078.13   3.437118E-6
     12078.76   4.120505E-6
     12079.37   4.787876E-6
     12079.99   5.471313E-6
     12080.61   3.694561E-6
     12081.22   1.911683E-6
     12081.85   9.164894E-8
     12082.47            0.
     12083.09            0.
      12083.7            0.
     12084.33            0.
     12084.95            0.
     12085.56            0.
     12086.18            0.
     12086.81            0.
     12087.42   2.373093E-6
     12088.04   5.334605E-6
     12088.67   8.300876E-6
     12089.29   1.126726E-5
      12089.9   1.416878E-5
     12090.52   1.214801E-5
     12091.15   9.179831E-6
     12091.76   6.276570E-6
     12092.38   3.308164E-6
     12092.99   4.000337E-7
     12093.62            0.
     12094.24            0.
     12094.87            0.
     12095.48            0.
      12096.1            0.
     12096.73            0.
     12097.34            0.
     12097.96            0.
     12098.58            0.
      12099.2            0.
     12099.82            0.
     12100.45            0.
     12101.07            0.
     12101.68            0.
      12102.3            0.
     12102.93            0.
     12103.54            0.
     12104.17            0.
     12104.78            0.
     12105.42            0.
     12106.03            0.
     12106.65            0.
     12107.28            0.
     12107.89            0.
     12108.51            0.
     12109.12            0.
     12109.75            0.
     12110.37            0.
       12111.            0.
     12111.61            0.
     12112.24   7.455431E-7
     12112.86   2.235266E-6
     12113.47   3.692471E-6
      12114.1   5.184665E-6
     12114.72   6.674602E-6
     12115.33   7.764237E-6
     12115.96   8.566048E-6
     12116.58   9.369150E-6
     12117.21   1.017104E-5
     12117.82   1.095667E-5
     12118.45   1.175864E-5
     12119.07   1.256064E-5
     12119.68   1.334639E-5
     12120.31   1.339121E-5
     12120.92   1.268141E-5
     12121.55   1.195686E-5
     12122.17   1.123114E-5
      12122.8   1.050652E-5
     12123.41   9.796587E-6
     12124.04   9.070767E-6
     12124.66   8.344911E-6
     12125.28   7.112891E-6
      12125.9   5.203416E-6
     12126.53   3.290864E-6
     12127.14   1.419995E-6
     12127.76            0.
     12128.39            0.
     12129.02            0.
     12129.63            0.
     12130.25            0.
     12130.88            0.
     12131.49            0.
     12132.12            0.
     12132.73   6.898153E-7
     12133.37   2.566022E-6
     12133.98   4.362111E-6
     12134.61   6.201259E-6
     12135.24   6.936943E-6
     12135.85   5.891485E-6
     12136.48   4.824337E-6
     12137.09   3.778782E-6
     12137.72   2.711531E-6
     12138.34   1.644229E-6
     12138.97   5.752095E-7
     12139.58            0.
     12140.21            0.
     12140.83   1.309762E-6
     12141.45   3.141019E-6
     12142.07   5.010272E-6
      12142.7   6.882532E-6
     12143.31   8.714055E-6
     12143.94   1.058649E-5
     12144.57   1.245611E-5
     12145.19   1.271557E-5
     12145.81   9.456490E-6
     12146.43   6.124608E-6
     12147.06   2.792558E-6
     12147.67            0.
      12148.3            0.
