WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f190n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.995194E-19
PIVWV    r 19003.38
BANDW    r 62.56868
TPEAK    r 0.2514151
EQUVW    r 46.25806
RECTW    r 183.9908
EMFLX    r 9.200486E-17
       18498.   5.042849E-4
     18498.18   4.516129E-4
     18498.36   3.972042E-4
     18498.54   3.433750E-4
     18498.71   2.953334E-4
     18498.91   2.351370E-4
     18499.09   1.807288E-4
     18499.25   1.326874E-4
     18499.44   7.827916E-5
     18499.62   2.444978E-5
      18499.8            0.
     18499.98            0.
     18500.17            0.
     18500.35            0.
     18500.53            0.
     18500.72            0.
      18500.9            0.
     18501.06            0.
     18501.27            0.
     18501.45            0.
     18501.61            0.
     18501.79            0.
     18501.98            0.
     18502.16            0.
     18502.34            0.
     18502.53            0.
     18502.71            0.
     18502.89            0.
     18503.07   1.238537E-6
     18503.26   6.745052E-5
     18503.42   1.259144E-4
     18503.62   1.991706E-4
      18503.8   2.653833E-4
     18503.97   3.238478E-4
     18504.15   3.043335E-4
     18504.33   2.663015E-4
     18504.52   2.278603E-4
      18504.7   1.894189E-4
     18504.88   1.513864E-4
     18505.06   1.129449E-4
     18505.25   7.491222E-5
     18505.43   3.647046E-5
     18505.61            0.
     18505.78            0.
     18505.98            0.
     18506.14            0.
     18506.32            0.
     18506.51            0.
     18506.69            0.
     18506.87            0.
     18507.05            0.
     18507.24            0.
     18507.42            0.
      18507.6            0.
     18507.79            0.
     18507.97            0.
     18508.13            0.
     18508.31            0.
      18508.5            0.
     18508.68            0.
     18508.86            0.
     18509.05            0.
     18509.23            0.
     18509.41   2.605056E-5
      18509.6   8.709904E-5
     18509.78   1.481477E-4
     18509.94   2.020525E-4
     18510.14   1.595109E-4
     18510.33   8.156014E-5
     18510.49   1.115275E-5
     18510.67            0.
     18510.86            0.
     18511.04            0.
     18511.22            0.
      18511.4            0.
     18511.59            0.
     18511.77            0.
     18511.95            0.
     18512.14            0.
      18512.3            0.
      18512.5            0.
     18512.66            0.
     18512.85            0.
     18513.03            0.
     18513.21            0.
      18513.4   2.070141E-5
     18513.58   1.071396E-4
     18513.76   1.926585E-4
     18513.95   2.790973E-4
     18514.13   3.013599E-4
     18514.31   2.964490E-4
     18514.49   2.914853E-4
     18514.66   2.871026E-4
     18514.86   2.816108E-4
     18515.02   2.772278E-4
     18515.21   2.722642E-4
     18515.39   2.673004E-4
     18515.57   2.623366E-4
     18515.75   2.574256E-4
     18515.94   2.524619E-4
     18516.12   2.369204E-4
      18516.3   2.161429E-4
     18516.49   1.951419E-4
     18516.67   1.741408E-4
     18516.85   1.533632E-4
     18517.02   1.345962E-4
     18517.22   1.113608E-4
     18517.38   9.281716E-5
     18517.56   7.181580E-5
     18517.75   5.103779E-5
     18517.93   3.003631E-5
     18518.11            0.
     18518.29            0.
     18518.48            0.
     18518.66            0.
     18518.84            0.
     18519.03            0.
     18519.19            0.
     18519.37            0.
     18519.58            0.
     18519.74            0.
     18519.92            0.
     18520.11            0.
     18520.29            0.
     18520.47            0.
     18520.65            0.
     18520.84            0.
     18521.02            0.
      18521.2            0.
     18521.39            0.
     18521.55   4.692466E-5
     18521.73   1.323952E-4
     18521.94   2.269587E-4
      18522.1   2.564389E-4
     18522.28   2.554509E-4
     18522.46   2.544629E-4
     18522.65   2.534853E-4
     18522.83   2.524972E-4
     18523.01   2.515092E-4
      18523.2   2.505211E-4
     18523.36   2.496486E-4
     18523.56   2.485555E-4
     18523.75   2.475674E-4
     18523.91   2.466950E-4
     18524.09   2.556434E-4
     18524.27   2.743274E-4
     18524.46   2.932125E-4
     18524.64   3.120976E-4
     18524.82   3.309826E-4
     18525.01   3.496669E-4
     18525.19   3.685521E-4
     18525.37   3.874376E-4
     18525.56   4.063229E-4
     18525.72   4.229984E-4
      18525.9   4.418838E-4
     18526.11   4.337075E-4
     18526.27   4.056999E-4
     18526.45   3.739805E-4
     18526.63   3.425983E-4
     18526.82   3.108786E-4
       18527.   2.791589E-4
     18527.18   2.474390E-4
     18527.37   2.160564E-4
     18527.55   1.843364E-4
     18527.73   1.526163E-4
     18527.92   1.208960E-4
     18528.08   1.290797E-4
     18528.26   1.824108E-4
     18528.46   2.414156E-4
     18528.63   2.885061E-4
     18528.81   3.418377E-4
     18528.99   3.951694E-4
     18529.18   4.479340E-4
     18529.36   5.012659E-4
     18529.54   5.545983E-4
     18529.73   6.079308E-4
     18529.89   6.550222E-4
     18530.09   6.756295E-4
     18530.28   6.521645E-4
     18530.44   6.314449E-4
     18530.62   6.079795E-4
     18530.82   5.820178E-4
     18530.99   5.610485E-4
     18531.17   5.378326E-4
     18531.35   5.143670E-4
     18531.54   4.909012E-4
     18531.72   4.674354E-4
      18531.9   4.442192E-4
     18532.09   3.924862E-4
     18532.25   3.184444E-4
     18532.45   2.247768E-4
     18532.63   1.418137E-4
      18532.8   6.687915E-5
     18532.98            0.
     18533.16            0.
     18533.35            0.
     18533.53            0.
     18533.71            0.
      18533.9            0.
     18534.08            0.
     18534.26            0.
     18534.45            0.
     18534.61            0.
     18534.81            0.
       18535.            0.
     18535.16            0.
     18535.34            0.
     18535.53            0.
     18535.71            0.
     18535.89            0.
     18536.07            0.
     18536.26            0.
     18536.44            0.
     18536.62            0.
     18536.81            0.
     18536.97            0.
     18537.17            0.
     18537.36            0.
     18537.52            0.
      18537.7            0.
     18537.89   1.292218E-5
     18538.07   4.097671E-5
     18538.25   2.424802E-5
     18538.44   7.519265E-6
     18538.62            0.
      18538.8            0.
     18538.98            0.
     18539.17            0.
     18539.33            0.
     18539.54            0.
      18539.7            0.
     18539.88            0.
     18540.06            0.
     18540.25            0.
     18540.43            0.
     18540.61            0.
      18540.8            0.
     18540.98   4.547440E-6
     18541.16   3.068430E-5
     18541.35   5.654318E-5
     18541.51   7.989967E-5
     18541.69   1.060367E-4
     18541.87   1.318958E-4
     18542.06   1.429045E-4
     18542.24   1.216387E-4
     18542.43   1.003729E-4
     18542.61   7.910709E-5
     18542.79   5.806737E-5
     18542.97   3.680137E-5
     18543.16   1.553532E-5
     18543.34            0.
      18543.5            0.
     18543.71            0.
     18543.87            0.
     18544.05            0.
     18544.24            0.
     18544.42            0.
      18544.6            0.
     18544.79            0.
     18544.97            0.
     18545.15            0.
     18545.34            0.
     18545.52            0.
      18545.7            0.
     18545.87            0.
     18546.07            0.
     18546.23            0.
     18546.42            0.
      18546.6            0.
     18546.78            0.
     18546.97            0.
     18547.15            0.
     18547.33            0.
     18547.52            0.
      18547.7            0.
     18547.88            0.
     18548.04            0.
     18548.23            0.
     18548.43            0.
      18548.6            0.
     18548.78            0.
     18548.96            0.
     18549.14            0.
     18549.33            0.
     18549.51            0.
      18549.7            0.
