WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t nicmos,2,f222m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.931192E-20
PIVWV    r 22175.11
BANDW    r 511.4591
TPEAK    r 0.2713668
EQUVW    r 401.4564
RECTW    r 1479.387
EMFLX    r 8.132304E-17
       20498.   0.003212009
     20498.31   0.002847202
     20498.64   0.002445144
     20498.96   0.002070901
     20499.28   0.001694262
     20499.61   0.001294299
     20499.93   9.175164E-4
     20500.27   8.873952E-4
     20500.58   9.536339E-4
     20500.89   0.001019884
     20501.23   0.001091085
     20501.55   0.001157771
     20501.86   0.001224055
      20502.2   0.001217518
     20502.52   0.001162237
     20502.85   0.001102825
     20503.17   0.001047523
     20503.48   9.918693E-4
     20503.82   9.324256E-4
     20504.14   9.426624E-4
     20504.45   0.001038147
     20504.79   0.001140766
     20505.11   0.001236878
     20505.44   0.001339533
     20505.76   0.001435086
     20506.07   0.001523209
     20506.41   0.001591098
     20506.73   0.001654682
     20507.04   0.001717884
     20507.38   0.001785809
     20507.69   0.001849033
     20508.01   0.001911378
     20508.35   0.001934913
     20508.66    0.00195682
       20509.   0.001980364
     20509.31   0.002002278
     20509.63   0.002024333
     20509.97   0.002047888
     20510.28   0.002047766
      20510.6   0.002045193
     20510.91   0.002042636
     20511.25   0.002039888
     20511.59   0.002037141
      20511.9   0.002034582
     20512.22   0.001975404
     20512.56   0.001885983
     20512.87    0.00180275
     20513.19   0.001718984
      20513.5   0.001635722
     20513.84   0.001546238
     20514.18   0.001546436
     20514.49   0.001620121
     20514.81   0.001694277
     20515.15   0.001773482
     20515.46   0.001847206
     20515.78   0.001921402
     20516.09   0.001978956
     20516.43   0.001999836
     20516.75   0.002019392
     20517.09   0.002040279
      20517.4   0.002059722
     20517.74   0.002080616
     20518.05   0.002095144
     20518.37     0.0020856
     20518.69   0.002075996
     20519.02   0.002065738
     20519.34    0.00205619
     20519.65    0.00204658
     20519.99   0.002036316
     20520.33   0.001889205
     20520.64   0.001749258
     20520.96   0.001608419
     20521.28   0.001468424
     20521.61   0.001317967
     20521.93   0.001177052
     20522.24   0.001185043
     20522.58   0.001239455
     20522.92   0.001293877
     20523.24   0.001344848
     20523.55   0.001395828
     20523.87   0.001446501
     20524.21   0.001472206
     20524.52   0.001478841
     20524.84   0.001485437
     20525.17   0.001492524
     20525.49   0.001499163
     20525.83   0.001506253
     20526.14   0.001510807
     20526.46   0.001512907
      20526.8    0.00151515
     20527.11   0.001517251
     20527.43   0.001519339
     20527.77   0.001521583
     20528.08   0.001517717
      20528.4   0.001496927
     20528.73   0.001474581
     20529.05   0.001453654
     20529.39   0.001431301
     20529.71   0.001410366
     20530.02    0.00140006
     20530.36   0.001559417
     20530.67   0.001708669
     20530.99   0.001857946
     20531.33   0.002017388
     20531.64   0.002165797
     20531.98   0.002325297
      20532.3   0.002149738
     20532.61    0.00195277
     20532.95    0.00174239
     20533.27   0.001546568
     20533.58   0.001349496
     20533.92   0.001139004
     20534.24   0.001083828
     20534.55   0.001076795
     20534.89   0.001069235
     20535.21   0.001062155
     20535.54   0.001054593
     20535.86   0.001047511
     20536.17   0.001085142
     20536.51   0.001164881
     20536.83   0.001238675
     20537.14    0.00131294
     20537.48   0.001392261
      20537.8   0.001466553
     20538.14   0.001519497
     20538.45   0.001532697
     20538.77   0.001545817
     20539.11   0.001559919
     20539.42   0.001573126
     20539.74   0.001586336
     20540.05   0.001598484
     20540.39   0.001606306
     20540.73   0.001614174
     20541.04   0.001621456
     20541.36   0.001628784
      20541.7   0.001636611
     20542.02   0.001642596
     20542.33   0.001622689
     20542.65   0.001602901
     20542.98   0.001581633
      20543.3   0.001561715
     20543.64   0.001540441
     20543.96   0.001520515
     20544.29   0.001720681
     20544.61   0.001939952
     20544.93    0.00215926
     20545.24   0.002377252
     20545.58   0.002612887
     20545.89   0.002830957
     20546.21   0.002777813
     20546.55   0.002575477
     20546.89   0.002371935
      20547.2   0.002183567
     20547.52   0.001993996
     20547.84   0.001804392
     20548.17   0.001778592
     20548.49   0.001910624
      20548.8   0.002041862
     20549.14   0.002183723
     20549.48   0.002324794
      20549.8    0.00245692
     20550.11   0.002469765
     20550.45   0.002256222
     20550.77   0.002058598
     20551.08   0.001859712
      20551.4   0.001660792
     20551.74   0.001448328
     20552.05   0.001287072
     20552.39   0.001307695
     20552.71   0.001327011
     20553.03    0.00134633
     20553.36   0.001366965
     20553.68   0.001386291
       20554.    0.00140562
     20554.33   0.001498648
     20554.65    0.00158657
     20554.96   0.001673964
      20555.3   0.001768431
     20555.62   0.001856399
     20555.96   0.001950356
     20556.28   0.002010292
     20556.59   0.002065715
     20556.93   0.002125623
     20557.25   0.002181409
     20557.56   0.002236861
      20557.9   0.002296801
     20558.21   0.002334994
     20558.55   0.002367619
     20558.87      0.002398
     20559.19   0.002428199
     20559.53   0.002460842
     20559.84    0.00249124
     20560.16   0.002491531
      20560.5   0.002459099
     20560.81     0.0024289
     20561.15   0.002396645
     20561.47   0.002366435
     20561.78   0.002336218
     20562.12    0.00230461
     20562.44   0.002276123
     20562.75    0.00224763
     20563.09   0.002217197
     20563.41   0.002188694
     20563.72   0.002160186
     20564.06   0.002136185
     20564.38   0.002140314
     20564.72   0.002144725
     20565.03   0.002148856
     20565.35   0.002152987
     20565.69   0.002157426
       20566.   0.002159426
     20566.32   0.001992872
     20566.66   0.001813949
     20566.98   0.001647336
     20567.31    0.00146938
     20567.63   0.001302708
     20567.95   0.001136008
     20568.29   0.001085914
      20568.6   0.001061158
     20568.92   0.001036397
     20569.26    0.00100995
     20569.57   9.851814E-4
     20569.91   9.585724E-4
     20570.23   0.001131111
     20570.54   0.001378043
     20570.88    0.00164496
      20571.2   0.001893513
     20571.52    0.00214211
     20571.85   0.002407633
     20572.17   0.002508501
     20572.49   0.002481946
     20572.82   0.002453583
     20573.14   0.002427018
     20573.48   0.002398481
      20573.8   0.002371908
     20574.11   0.002298359
     20574.45    0.00212985
     20574.77   0.001972027
     20575.08   0.001814177
      20575.4   0.001656302
     20575.74   0.001487676
     20576.08   0.001412137
     20576.39   0.001635294
     20576.71   0.001858488
     20577.05    0.00209688
     20577.37   0.002320153
     20577.68   0.002543465
       20578.   0.002766814
     20578.34   0.002689609
     20578.68   0.002611012
     20578.99   0.002537398
     20579.31   0.002463771
     20579.65   0.002384678
     20579.96   0.002311027
     20580.28   0.002265627
      20580.6   0.002223754
     20580.94    0.00217903
     20581.25   0.002137142
     20581.59   0.002092142
     20581.91   0.002050239
     20582.25   0.002089317
     20582.56   0.002155202
     20582.88     0.0022211
      20583.2   0.002287007
     20583.54   0.002357811
     20583.85   0.002423743
     20584.17   0.002276321
     20584.51   0.001917486
     20584.85    0.00155651
     20585.16    0.00122037
