WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,ccd,50ccd
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 9.985971E-20
PIVWV    r 5751.909
BANDW    r 1838.721
TPEAK    r 0.1475836
EQUVW    r 724.715
RECTW    r 4910.538
EMFLX    r 5.013340E-16
        1150.  7.715551E-21
     1150.259  7.885188E-21
     1150.519  8.056126E-21
     1150.779  8.228369E-21
     1151.038  8.401834E-21
     1151.299  8.577020E-21
     1151.558  8.753103E-21
     1151.818  8.929913E-21
     1152.078  9.108447E-21
     1152.338  9.288292E-21
     1152.598  9.469363E-21
     1152.858  9.651748E-21
     1153.118  9.835361E-21
     1153.378  1.002029E-20
     1153.639  1.020689E-20
     1153.899  1.039428E-20
      1154.16  1.058308E-20
      1154.42  1.077302E-20
     1154.681  1.096428E-20
     1154.941  1.115687E-20
     1155.202  1.135069E-20
     1155.462  1.154574E-20
     1155.723  1.174212E-20
     1155.984  1.193973E-20
     1156.245  1.213867E-20
     1156.506  1.233894E-20
     1156.767  1.254044E-20
     1157.028  1.274319E-20
     1157.289  1.294726E-20
      1157.55  1.315257E-20
     1157.811  1.335922E-20
     1158.072  1.356711E-20
     1158.334  1.377682E-20
     1158.596  1.398739E-20
     1158.857  1.419909E-20
     1159.119  1.441224E-20
      1159.38  1.462653E-20
     1159.642  1.484226E-20
     1159.903  1.505863E-20
     1160.165  1.524730E-20
     1160.427  1.541956E-20
     1160.689  1.559304E-20
     1160.951  1.576703E-20
     1161.213  1.594185E-20
     1161.475  1.611750E-20
     1161.737  1.629414E-20
     1161.999  1.647153E-20
     1162.261  1.664983E-20
     1162.524  1.682904E-20
     1162.786  1.700909E-20
     1163.049  1.719038E-20
     1163.311  1.737175E-20
     1163.573  1.755446E-20
     1163.836  1.773800E-20
     1164.099  1.792237E-20
     1164.361  1.810766E-20
     1164.624  1.829378E-20
     1164.887  1.848082E-20
      1165.15  1.866878E-20
     1165.413  1.885802E-20
     1165.676  1.904765E-20
     1165.939  1.923821E-20
     1166.202  1.942961E-20
     1166.465  1.962192E-20
     1166.729  1.981508E-20
     1166.992  2.000915E-20
     1167.255  2.020407E-20
     1167.519  2.039992E-20
     1167.782  2.059660E-20
     1168.046  2.079421E-20
     1168.309  2.099266E-20
     1168.573  2.119204E-20
     1168.837  2.139226E-20
       1169.1  2.159341E-20
     1169.364  2.179540E-20
     1169.628  2.199832E-20
     1169.892  2.220209E-20
     1170.157  2.242419E-20
     1170.421  2.265829E-20
     1170.685  2.289331E-20
     1170.949  2.312945E-20
     1171.213  2.336583E-20
     1171.477  2.360378E-20
     1171.741  2.384274E-20
     1172.006  2.408261E-20
      1172.27  2.432339E-20
     1172.535  2.456575E-20
       1172.8  2.480856E-20
     1173.064  2.505229E-20
     1173.329  2.529692E-20
     1173.594  2.554258E-20
     1173.859  2.578926E-20
     1174.124  2.603685E-20
     1174.389  2.628535E-20
     1174.654  2.653488E-20
     1174.919  2.678543E-20
     1175.184  2.703690E-20
     1175.449  2.728927E-20
     1175.714  2.754267E-20
     1175.979  2.779699E-20
     1176.245  2.805234E-20
      1176.51  2.830872E-20
     1176.776  2.856589E-20
     1177.041  2.882422E-20
     1177.308  2.908406E-20
     1177.573  2.934422E-20
     1177.839  2.960541E-20
     1178.105  2.986752E-20
     1178.371  3.013067E-20
     1178.637  3.039486E-20
     1178.902  3.065984E-20
     1179.169  3.092598E-20
     1179.434  3.119231E-20
       1179.7  3.146029E-20
     1179.967  3.172992E-20
     1180.233  3.199289E-20
       1180.5  3.225547E-20
     1180.766  3.251901E-20
     1181.032  3.278314E-20
     1181.299  3.304824E-20
     1181.565  3.331393E-20
     1181.832  3.358059E-20
     1182.099  3.384858E-20
     1182.366  3.411669E-20
     1182.633  3.438551E-20
     1182.899  3.465456E-20
     1183.166  3.492507E-20
     1183.433  3.519631E-20
       1183.7  3.546839E-20
     1183.967  3.574119E-20
     1184.234  3.601484E-20
     1184.502  3.628922E-20
      1184.77  3.656507E-20
     1185.037  3.684102E-20
     1185.304  3.711769E-20
     1185.572  3.739535E-20
     1185.839  3.767360E-20
     1186.107  3.795270E-20
     1186.375  3.823266E-20
     1186.642  3.851334E-20
      1186.91  3.879488E-20
     1187.178  3.907715E-20
     1187.446  3.936014E-20
     1187.714  3.964398E-20
     1187.982  3.992870E-20
      1188.25  4.021412E-20
     1188.518  4.050042E-20
     1188.786  4.078745E-20
     1189.054  4.107518E-20
     1189.323  4.136380E-20
     1189.592  4.165393E-20
      1189.86  4.194414E-20
     1190.129  4.224388E-20
     1190.397  4.255354E-20
     1190.666  4.286362E-20
     1190.935  4.317428E-20
     1191.203  4.348480E-20
     1191.472  4.379646E-20
      1191.74  4.410854E-20
      1192.01  4.442192E-20
     1192.279  4.473514E-20
     1192.548  4.504881E-20
     1192.817  4.536304E-20
     1193.086  4.567770E-20
     1193.355  4.599280E-20
     1193.625  4.630847E-20
     1193.894  4.662471E-20
     1194.164  4.694139E-20
     1194.433  4.725850E-20
     1194.703  4.757618E-20
     1194.972  4.789444E-20
     1195.242  4.821313E-20
     1195.511  4.853225E-20
     1195.781  4.885195E-20
     1196.051  4.917209E-20
     1196.321  4.949280E-20
     1196.591  4.981409E-20
     1196.862  5.013654E-20
     1197.132  5.045884E-20
     1197.402  5.078158E-20
     1197.672  5.110475E-20
     1197.942  5.142850E-20
     1198.213  5.175284E-20
     1198.483  5.207760E-20
     1198.753  5.240280E-20
     1199.024  5.272859E-20
     1199.295  5.305495E-20
     1199.565  5.338175E-20
     1199.836  5.370900E-20
     1200.107  5.405530E-20
     1200.377  5.443071E-20
     1200.648  5.480656E-20
     1200.919  5.518286E-20
      1201.19  5.555976E-20
     1201.461  5.593728E-20
     1201.733  5.631608E-20
     1202.004  5.669448E-20
     1202.275  5.707349E-20
     1202.547  5.745311E-20
     1202.818  5.783318E-20
     1203.089  5.821283E-20
      1203.36  5.859395E-20
     1203.632  5.897568E-20
     1203.904  5.935786E-20
     1204.176  5.974134E-20
     1204.448  6.012458E-20
     1204.719  6.050843E-20
     1204.991  6.089272E-20
     1205.263  6.127747E-20
     1205.535  6.166282E-20
     1205.807  6.204880E-20
     1206.079  6.243521E-20
     1206.351  6.282225E-20
     1206.624  6.320974E-20
     1206.896  6.359766E-20
     1207.168  6.398621E-20
     1207.441  6.437538E-20
     1207.713  6.476498E-20
     1207.986  6.515504E-20
     1208.258  6.554573E-20
     1208.531  6.593703E-20
     1208.804  6.632877E-20
     1209.077  6.672202E-20
      1209.35  6.711484E-20
     1209.623  6.750828E-20
     1209.896  6.790216E-20
     1210.169  6.834893E-20
     1210.442  6.882887E-20
     1210.715  6.930960E-20
     1210.988  6.979091E-20
     1211.261  7.027301E-20
     1211.535  7.075570E-20
     1211.808  7.123898E-20
