WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,ccd,f28x50lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.637050E-19
PIVWV    r 7218.918
BANDW    r 1140.357
TPEAK    r 0.1240126
EQUVW    r 366.392
RECTW    r 2954.473
EMFLX    r 6.195580E-16
     4993.146   6.222363E-6
     4993.538   6.282957E-6
     4993.933   6.343932E-6
     4994.325   6.404534E-6
      4994.72   6.465593E-6
     4995.115   6.526659E-6
     4995.509   6.587652E-6
     4995.902   6.648362E-6
     4996.296   6.709999E-6
     4996.689   6.771333E-6
     4997.081   6.832596E-6
     4997.476   6.894322E-6
     4997.869   6.955670E-6
     4998.264   7.017405E-6
     4998.659   7.079177E-6
     4999.054   7.141599E-6
     4999.446   7.203485E-6
     4999.842   7.265917E-6
     5000.234   7.327738E-6
     5000.627   7.389456E-6
     5001.022   7.451560E-6
     5001.415   7.513344E-6
      5001.81   7.576331E-6
     5002.206   7.639319E-6
     5002.601   7.702306E-6
     5002.994   7.764826E-6
     5003.389   7.827815E-6
     5003.782   7.890415E-6
     5004.175   7.953079E-6
      5004.57   8.017293E-6
     5004.963   8.081113E-6
     5005.359   8.145330E-6
     5005.755   8.209624E-6
      5006.15   8.273841E-6
     5006.543   8.337662E-6
     5006.939   8.402091E-6
     5007.333   8.466723E-6
     5007.726   8.531358E-6
     5008.122   8.596474E-6
     5008.515   8.661108E-6
     5008.911   8.726222E-6
     5009.307   8.791341E-6
     5009.703   8.856799E-6
     5010.096   8.923122E-6
     5010.492   8.990060E-6
     5010.885   9.056587E-6
     5011.279   9.123118E-6
     5011.675   9.190064E-6
     5012.068   9.256599E-6
     5012.464   9.323901E-6
     5012.861   9.392363E-6
     5013.257   9.460741E-6
      5013.65   9.528699E-6
     5014.047   9.597166E-6
      5014.44   9.665131E-6
     5014.834   9.733181E-6
     5015.231   9.802209E-6
     5015.625   9.872002E-6
     5016.021   9.942315E-6
     5016.417   1.001263E-5
     5016.814   1.008295E-5
     5017.208   1.015284E-5
     5017.604   1.022317E-5
     5017.999   1.029371E-5
     5018.393   1.036545E-5
     5018.789   1.043762E-5
     5019.183   1.050936E-5
      5019.58   1.058164E-5
     5019.977   1.065391E-5
     5020.374   1.072610E-5
     5020.768   1.079870E-5
     5021.165   1.087275E-5
     5021.559   1.094643E-5
     5021.953   1.102002E-5
      5022.35   1.109416E-5
     5022.745   1.116785E-5
     5023.142   1.124200E-5
     5023.539   1.131733E-5
     5023.936   1.139407E-5
      5024.33   1.147015E-5
     5024.728   1.154690E-5
     5025.122   1.162308E-5
     5025.517   1.169927E-5
     5025.914   1.177593E-5
     5026.308   1.185343E-5
     5026.706   1.193265E-5
     5027.103   1.201186E-5
       5027.5   1.209108E-5
     5027.895   1.216973E-5
     5028.292   1.224896E-5
     5028.687   1.232770E-5
     5029.082   1.240796E-5
      5029.48   1.248996E-5
     5029.875   1.257125E-5
     5030.272   1.265310E-5
      5030.67   1.273478E-5
     5031.068   1.281657E-5
     5031.462   1.289764E-5
      5031.86   1.298127E-5
     5032.255   1.306510E-5
      5032.65   1.314894E-5
     5033.048   1.323340E-5
     5033.443   1.331724E-5
     5033.841   1.340170E-5
     5034.239   1.348616E-5
     5034.637   1.357283E-5
     5035.033   1.365963E-5
     5035.431   1.374698E-5
     5035.826   1.383379E-5
     5036.221   1.392049E-5
      5036.62   1.400794E-5
     5037.015   1.409465E-5
     5037.413   1.418524E-5
     5037.809   1.427576E-5
     5038.209   1.436752E-5
     5038.605   1.445805E-5
     5039.003   1.454925E-5
     5039.399   1.463978E-5
     5039.795   1.473042E-5
     5040.193   1.482315E-5
     5040.589   1.491568E-5
     5040.987   1.500878E-5
     5041.386   1.510189E-5
     5041.784   1.519500E-5
      5042.18   1.528754E-5
     5042.579   1.538080E-5
     5042.975   1.547948E-5
     5043.371   1.557817E-5
     5043.769   1.567747E-5
     5044.165   1.577617E-5
     5044.564   1.587559E-5
      5044.96   1.597430E-5
     5045.362   1.607470E-5
     5045.758   1.617546E-5
     5046.157   1.627697E-5
     5046.553   1.637774E-5
     5046.949   1.647863E-5
     5047.348   1.658016E-5
     5047.744   1.668094E-5
     5048.144   1.678344E-5
      5048.54   1.688833E-5
     5048.941   1.699477E-5
     5049.338   1.709980E-5
     5049.737   1.720561E-5
     5050.133   1.731051E-5
      5050.53   1.741555E-5
     5050.929   1.752263E-5
     5051.326   1.763182E-5
     5051.725   1.774182E-5
     5052.122   1.785102E-5
     5052.524   1.796184E-5
      5052.92   1.807105E-5
      5053.32   1.818106E-5
     5053.717   1.829210E-5
     5054.113   1.840541E-5
     5054.513   1.851970E-5
      5054.91   1.863302E-5
      5055.31   1.874732E-5
     5055.707   1.886078E-5
     5056.109   1.897579E-5
     5056.506   1.909139E-5
     5056.906   1.920983E-5
     5057.303   1.932741E-5
       5057.7   1.944499E-5
       5058.1   1.956345E-5
     5058.497   1.968103E-5
     5058.896   1.979950E-5
     5059.293   1.991967E-5
     5059.696   2.004319E-5
     5060.094   2.016505E-5
     5060.494   2.028768E-5
     5060.891   2.040941E-5
     5061.288   2.053130E-5
     5061.688   2.065409E-5
     5062.085   2.078044E-5
     5062.486   2.090951E-5
     5062.883   2.103764E-5
     5063.286   2.116751E-5
     5063.684   2.129565E-5
     5064.084   2.142474E-5
     5064.482   2.155304E-5
     5064.879   2.168471E-5
      5065.28   2.181792E-5
     5065.677   2.195016E-5
     5066.078   2.208338E-5
     5066.476   2.221579E-5
     5066.879   2.234999E-5
     5067.277   2.248241E-5
     5067.677   2.261977E-5
     5068.075   2.275635E-5
     5068.473   2.289294E-5
     5068.874   2.303037E-5
     5069.271   2.316696E-5
     5069.672   2.330457E-5
      5070.07   2.344176E-5
     5070.474   2.358622E-5
     5070.872   2.372858E-5
     5071.273   2.387199E-5
     5071.671   2.401436E-5
     5072.069   2.415690E-5
      5072.47   2.430031E-5
     5072.869   2.444433E-5
      5073.27   2.459403E-5
     5073.668   2.474282E-5
     5074.072   2.489362E-5
      5074.47   2.504241E-5
     5074.871   2.519210E-5
      5075.27   2.534090E-5
     5075.668   2.549199E-5
     5076.069   2.564806E-5
     5076.468   2.580300E-5
     5076.869   2.595908E-5
     5077.268   2.611401E-5
     5077.672   2.627123E-5
      5078.07   2.642617E-5
     5078.472   2.658458E-5
     5078.871   2.674365E-5
      5079.27   2.690292E-5
     5079.671   2.706316E-5
      5080.07   2.722251E-5
     5080.471   2.738324E-5
      5080.87   2.754300E-5
     5081.275   2.770923E-5
     5081.674   2.787524E-5
     5082.075   2.804227E-5
     5082.474   2.820828E-5
     5082.874   2.837451E-5
     5083.275   2.854157E-5
     5083.674   2.870781E-5
     5084.076   2.888006E-5
     5084.475   2.905235E-5
      5084.88   2.922718E-5
