WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,fuvmama,25mama
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.341392E-17
PIVWV    r 1369.428
BANDW    r 135.2006
TPEAK    r 0.04285724
EQUVW    r 13.62213
RECTW    r 317.849
EMFLX    r 9.694944E-15
        1150.   0.005610738
     1150.249   0.005715437
     1150.497   0.005820958
     1150.746   0.005927307
     1150.995    0.00603443
     1151.244   0.006142383
     1151.493   0.006251113
     1151.742   0.006360677
     1151.992   0.006471021
     1152.241   0.006582147
      1152.49    0.00669411
     1152.739   0.006806857
     1152.989   0.006920446
     1153.238   0.007034822
     1153.488   0.007150325
     1153.738   0.007266337
     1153.987   0.007383198
     1154.237   0.007500851
     1154.487   0.007619295
     1154.736   0.007738302
     1154.985   0.007858396
     1155.235   0.007979345
     1155.485   0.008101093
     1155.736   0.008224001
     1155.986   0.008347413
     1156.236   0.008471687
     1156.486   0.008596767
     1156.736   0.008722651
     1156.986   0.008849403
     1157.237   0.008976964
     1157.487   0.009105396
     1157.737   0.009234641
     1157.988    0.00936476
     1158.238   0.009495691
     1158.489   0.009627436
      1158.74   0.009760065
      1158.99   0.009893574
     1159.241     0.0100279
     1159.492    0.01016305
     1159.743    0.01029909
     1159.993    0.01043594
     1160.245    0.01054397
     1160.496    0.01065147
     1160.746    0.01075926
     1160.997     0.0108679
     1161.249    0.01097709
       1161.5    0.01108688
     1161.751    0.01119722
     1162.002    0.01130816
     1162.254    0.01141965
     1162.506    0.01153202
     1162.757    0.01164467
     1163.009    0.01175792
      1163.26    0.01187173
     1163.512     0.0119861
     1163.764    0.01210107
     1164.015    0.01221632
     1164.267    0.01233246
     1164.518    0.01244915
     1164.771    0.01256675
     1165.023    0.01268463
     1165.275    0.01280312
     1165.527    0.01292217
     1165.779    0.01304178
     1166.031    0.01316202
     1166.284    0.01328282
     1166.536    0.01340424
     1166.788    0.01352622
     1167.041    0.01364884
     1167.293    0.01377202
     1167.546    0.01389582
     1167.798     0.0140202
     1168.051    0.01414515
     1168.303    0.01427073
     1168.556    0.01439687
     1168.809    0.01452366
     1169.062    0.01465101
     1169.315    0.01477931
     1169.568    0.01490794
     1169.821    0.01503709
     1170.074    0.01517008
     1170.327    0.01531254
      1170.58    0.01545568
     1170.833     0.0155995
     1171.087    0.01574393
      1171.34    0.01588897
     1171.594    0.01603504
     1171.847    0.01618137
     1172.101    0.01632839
     1172.354    0.01647603
     1172.608    0.01662427
     1172.862    0.01677321
     1173.115    0.01692284
     1173.369    0.01707308
     1173.622    0.01722358
     1173.877     0.0173755
     1174.131    0.01752767
     1174.385    0.01768055
     1174.639    0.01783404
     1174.893    0.01798816
     1175.147    0.01814297
     1175.401    0.01829849
     1175.656    0.01845464
      1175.91    0.01861141
     1176.164    0.01876888
     1176.419    0.01892699
     1176.673     0.0190858
     1176.928    0.01924524
     1177.182     0.0194054
     1177.437    0.01956618
     1177.692     0.0197276
     1177.946    0.01988973
     1178.201    0.02005258
     1178.456    0.02021607
     1178.712    0.02038058
     1178.967    0.02054542
     1179.222     0.0207109
     1179.476     0.0208767
     1179.731    0.02104354
     1179.986    0.02121111
     1180.242    0.02134554
     1180.497    0.02147848
     1180.753    0.02161221
     1181.008    0.02174608
     1181.264    0.02188037
     1181.519    0.02201506
     1181.775    0.02215023
     1182.031    0.02228579
     1182.286    0.02242184
     1182.542    0.02255829
     1182.798    0.02269516
     1183.054    0.02283249
      1183.31    0.02297031
     1183.566    0.02310853
     1183.822    0.02324717
     1184.078    0.02338628
     1184.334     0.0235258
      1184.59    0.02366581
     1184.846    0.02380623
     1185.103    0.02394713
     1185.359    0.02408845
     1185.615    0.02423025
     1185.872    0.02437247
     1186.128    0.02451511
     1186.385    0.02465823
     1186.642    0.02480183
     1186.898    0.02494586
     1187.155     0.0250903
     1187.412    0.02523523
     1187.669    0.02538058
     1187.926    0.02552677
     1188.183    0.02567303
      1188.44     0.0258198
     1188.698    0.02596697
     1188.955    0.02611458
     1189.211    0.02626232
     1189.468    0.02641084
     1189.726    0.02655986
     1189.983    0.02670931
     1190.241    0.02685297
     1190.499    0.02699618
     1190.756    0.02713961
     1191.014     0.0272834
     1191.271    0.02742753
     1191.529    0.02757196
     1191.787    0.02771673
     1192.045    0.02786179
     1192.302    0.02800714
      1192.56    0.02815284
     1192.818    0.02829883
     1193.076    0.02844518
     1193.334    0.02859181
     1193.593     0.0287388
     1193.851    0.02888607
     1194.109    0.02903371
     1194.367    0.02918164
     1194.626    0.02932985
     1194.885    0.02947884
     1195.143     0.0296277
     1195.401    0.02977657
      1195.66    0.02992609
     1195.918    0.03007596
     1196.177    0.03022613
     1196.436    0.03037665
     1196.695    0.03052747
     1196.954    0.03067866
     1197.213     0.0308305
     1197.472    0.03098234
     1197.731    0.03113446
      1197.99    0.03128697
      1198.25    0.03143977
     1198.509    0.03159285
     1198.767    0.03174588
     1199.027    0.03189969
     1199.286    0.03205381
     1199.546    0.03220859
     1199.806    0.03236338
     1200.065    0.03250702
     1200.325    0.03261674
     1200.584    0.03272658
     1200.844    0.03283654
     1201.104    0.03294667
     1201.364    0.03305697
     1201.624     0.0331674
     1201.883    0.03327795
     1202.143    0.03338868
     1202.403    0.03349952
     1202.664    0.03361055
     1202.924    0.03372168
     1203.184      0.033833
     1203.444    0.03394444
     1203.705    0.03405605
     1203.965    0.03416779
     1204.226    0.03427995
     1204.487    0.03439198
     1204.747    0.03450414
     1205.007     0.0346162
     1205.268    0.03472865
     1205.528    0.03484128
     1205.789    0.03495408
      1206.05    0.03506695
     1206.311    0.03518005
     1206.573    0.03529354
     1206.834    0.03540688
     1207.095    0.03552041
     1207.356    0.03563406
     1207.617    0.03574782
     1207.878    0.03586177
      1208.14    0.03597589
       1208.4    0.03608981
     1208.662    0.03620424
     1208.924    0.03631905
     1209.185    0.03643372
     1209.447    0.03654857
     1209.708    0.03666354
      1209.97    0.03677868
     1210.232    0.03690329
     1210.494     0.0370293
     1210.755    0.03715545
     1211.017     0.0372818
     1211.279     0.0374083
     1211.541    0.03753494
     1211.803    0.03766178
     1212.066    0.03778883
     1212.328    0.03791602
      1212.59    0.03804334
     1212.852    0.03817088
     1213.115    0.03829856
     1213.377    0.03842644
      1213.64    0.03855476
     1213.903    0.03868299
     1214.165    0.03881136
     1214.428    0.03893994
      1214.69    0.03906836
     1214.953    0.03919723
     1215.216     0.0393263
     1215.479    0.03945557
     1215.742    0.03958499
     1216.005    0.03971485
     1216.268    0.03984462
     1216.531    0.03997459
     1216.795    0.04010471
     1217.058    0.04023498
     1217.321    0.04036544
     1217.584    0.04049605
     1217.848    0.04062681
     1218.111    0.04075783
     1218.375    0.04088895
     1218.638    0.04102026
     1218.902    0.04115178
     1219.166    0.04128344
     1219.429    0.04141526
