WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,fuvmama,f25lya
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.129422E-15
PIVWV    r 1242.815
BANDW    r 60.47555
TPEAK    r 0.003188491
EQUVW    r 0.3124186
RECTW    r 97.98322
EMFLX    r 1.606197E-13
        1150.   1.958305E-4
     1150.259   2.021604E-4
     1150.519   2.086196E-4
     1150.779   2.152094E-4
     1151.038   2.219341E-4
     1151.299   2.288447E-4
     1151.558   2.358754E-4
     1151.818   2.430197E-4
     1152.078   2.503287E-4
     1152.338   2.578004E-4
     1152.598   2.654110E-4
     1152.858   2.731654E-4
     1153.118   2.810715E-4
     1153.378   2.891373E-4
     1153.639   2.973673E-4
     1153.899   3.057242E-4
      1154.16   3.142459E-4
      1154.42   3.229186E-4
     1154.681   3.317459E-4
     1154.941   3.407290E-4
     1155.202   3.498685E-4
     1155.462   3.591634E-4
     1155.723   3.686185E-4
     1155.984   3.782306E-4
     1156.245   3.879973E-4
     1156.506   3.979275E-4
     1156.767   4.080186E-4
     1157.028   4.182697E-4
     1157.289   4.286701E-4
      1157.55   4.392348E-4
     1157.811   4.499700E-4
     1158.072   4.608613E-4
     1158.334   4.719234E-4
     1158.596   4.831337E-4
     1158.857   4.945085E-4
     1159.119   5.060406E-4
      1159.38   5.177092E-4
     1159.642   5.295613E-4
     1159.903   5.415530E-4
     1160.165   5.526475E-4
     1160.427   5.632337E-4
     1160.689   5.739759E-4
     1160.951   5.848299E-4
     1161.213   5.957409E-4
     1161.475   6.067662E-4
     1161.737   6.179341E-4
     1161.999   6.292300E-4
     1162.261   6.405499E-4
     1162.524   6.520074E-4
     1162.786   6.635983E-4
     1163.049   6.753266E-4
     1163.311   6.870333E-4
     1163.573   6.989062E-4
     1163.836   7.109133E-4
     1164.099   7.229984E-4
     1164.361   7.351281E-4
     1164.624   7.473915E-4
     1164.887   7.597954E-4
      1165.15   7.722307E-4
     1165.413   7.847457E-4
     1165.676   7.973653E-4
     1165.939   8.101249E-4
     1166.202   8.228613E-4
     1166.465   8.356886E-4
     1166.729   8.486484E-4
     1166.992   8.617479E-4
     1167.255   8.747588E-4
     1167.519   8.878993E-4
     1167.782   9.011715E-4
     1168.046   9.145363E-4
     1168.309   9.278117E-4
     1168.573   9.412226E-4
     1168.837   9.547631E-4
       1169.1   9.683347E-4
     1169.364   9.818620E-4
     1169.628   9.955222E-4
     1169.892    0.00100931
     1170.157   0.001023618
     1170.421   0.001038269
     1170.685   0.001053055
     1170.949   0.001067991
     1171.213   0.001082823
     1171.477   0.001097783
     1171.741   0.001112882
     1172.006    0.00112811
      1172.27   0.001143225
     1172.535   0.001158512
       1172.8   0.001173902
     1173.064   0.001189372
     1173.329   0.001204809
     1173.594   0.001220381
     1173.859   0.001236091
     1174.124   0.001251836
     1174.389   0.001267603
     1174.654   0.001283505
     1174.919   0.001299542
     1175.184   0.001315575
     1175.449   0.001331674
     1175.714   0.001347907
     1175.979   0.001364267
     1176.245   0.001380603
      1176.51   0.001397059
     1176.776   0.001413633
     1177.041   0.001430326
     1177.308   0.001447061
     1177.573   0.001463883
     1177.839   0.001480839
     1178.105   0.001497871
     1178.371    0.00151496
     1178.637   0.001532182
     1178.902   0.001549522
     1179.169   0.001566934
     1179.434   0.001584382
       1179.7   0.001602004
     1179.967   0.001619801
     1180.233   0.001635127
       1180.5   0.001650175
     1180.766   0.001665329
     1181.032    0.00168056
     1181.299   0.001695852
     1181.565   0.001711228
     1181.832    0.00172671
     1182.099    0.00174231
     1182.366    0.00175795
     1182.633   0.001773683
     1182.899    0.00178948
     1183.166   0.001805416
     1183.433   0.001821447
       1183.7   0.001837579
     1183.967   0.001853805
     1184.234   0.001870132
     1184.502   0.001886553
      1184.77   0.001903116
     1185.037   0.001919731
     1185.304   0.001936416
     1185.572   0.001953211
     1185.839   0.001970096
     1186.107   0.001987055
     1186.375   0.002004075
     1186.642   0.002021191
      1186.91   0.002038412
     1187.178    0.00205566
     1187.446   0.002072969
     1187.714   0.002090382
     1187.982     0.0021079
      1188.25   0.002125381
     1188.518   0.002142957
     1188.786   0.002160629
     1189.054   0.002178359
     1189.323    0.00219604
     1189.592   0.002213864
      1189.86   0.002231744
     1190.129   0.002249319
     1190.397   0.002266533
     1190.666   0.002283826
     1190.935   0.002301204
     1191.203   0.002318427
     1191.472   0.002335698
      1191.74   0.002353046
      1192.01   0.002370505
     1192.279   0.002387707
     1192.548   0.002404981
     1192.817   0.002422336
     1193.086   0.002439641
     1193.355   0.002456753
     1193.625   0.002473943
     1193.894    0.00249121
     1194.164     0.0025083
     1194.433   0.002525297
     1194.703   0.002542369
     1194.972   0.002559514
     1195.242   0.002576318
     1195.511   0.002593137
     1195.781   0.002610026
     1196.051   0.002626876
     1196.321   0.002643357
     1196.591   0.002659902
     1196.862   0.002676542
     1197.132   0.002692928
     1197.402   0.002709071
     1197.672   0.002725265
     1197.942   0.002741518
     1198.213    0.00275735
     1198.483   0.002773096
     1198.753   0.002788889
     1199.024   0.002804675
     1199.295   0.002819894
     1199.565   0.002835152
     1199.836    0.00285045
     1200.107   0.002863836
     1200.377   0.002874233
     1200.648   0.002884644
     1200.919   0.002895069
      1201.19   0.002904968
     1201.461   0.002914649
     1201.733   0.002924361
     1202.004   0.002934047
     1202.275   0.002942968
     1202.547   0.002951896
     1202.818   0.002960827
     1203.089   0.002969471
      1203.36   0.002977586
     1203.632   0.002985702
     1203.904   0.002993816
     1204.176   0.003001457
     1204.448   0.003008809
     1204.719   0.003016158
     1204.991   0.003023498
     1205.263   0.003030144
     1205.535   0.003036758
     1205.807   0.003043362
     1206.079    0.00304975
     1206.351   0.003055631
     1206.624   0.003061495
     1206.896   0.003067341
     1207.168   0.003072743
     1207.441    0.00307786
     1207.713   0.003082955
     1207.986   0.003088026
     1208.258   0.003092495
     1208.531   0.003096906
     1208.804    0.00310129
     1209.077   0.003105494
      1209.35   0.003109241
     1209.623    0.00311296
     1209.896   0.003116647
     1210.169    0.00312051
     1210.442   0.003124466
     1210.715   0.003128386
     1210.988   0.003132269
     1211.261   0.003135612
     1211.535   0.003138891
     1211.808   0.003142128
     1212.082   0.003145181
     1212.355   0.003147854
     1212.629   0.003150481
     1212.902   0.003153064
     1213.176   0.003154922
      1213.45   0.003156354
     1213.724   0.003157731
     1213.998   0.003159058
     1214.272   0.003161759
     1214.546   0.003164426
     1214.819   0.003167042
     1215.094   0.003169494
     1215.368   0.003171653
     1215.642   0.003173767
     1215.916   0.003175833
     1216.191   0.003177603
     1216.466   0.003179219
      1216.74    0.00318078
     1217.015   0.003182273
      1217.29   0.003183385
     1217.564   0.003184446
     1217.839   0.003185454
     1218.114   0.003186292
     1218.389    0.00318691
     1218.664   0.003187473
     1218.939   0.003187981
