WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,fuvmama,f25qtz
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 1.221380E-16
PIVWV    r 1595.281
BANDW    r 97.19807
TPEAK    r 0.01081984
EQUVW    r 2.249232
RECTW    r 207.8804
EMFLX    r 3.969751E-14
        1451.            0.
     1451.294   9.356283E-5
     1451.587   1.866921E-4
     1451.881   2.798525E-4
     1452.174   4.244878E-4
     1452.469   6.050667E-4
     1452.763   7.842091E-4
     1453.057   9.660085E-4
     1453.352   0.001158431
     1453.645   0.001349795
      1453.94   0.001541056
     1454.234   0.001729663
     1454.528   0.001917731
     1454.823   0.002105302
     1455.118    0.00229132
     1455.412   0.002475177
     1455.706   0.002657938
     1456.001   0.002840729
     1456.295   0.003019346
      1456.59   0.003197927
     1456.886   0.003376028
      1457.18   0.003550805
     1457.475   0.003724112
      1457.77   0.003896948
     1458.066   0.004068375
      1458.36    0.00423551
     1458.656   0.004402603
     1458.951   0.004569235
     1459.246   0.004730998
     1459.542   0.004891937
     1459.837   0.005051964
     1460.132   0.005209482
     1460.428   0.005363666
     1460.724   0.005517344
      1461.02   0.005670131
     1461.315   0.005816717
     1461.611   0.005963244
     1461.907   0.006108984
     1462.203   0.006250339
     1462.499   0.006389321
     1462.794   0.006527438
     1463.092   0.006663813
     1463.387   0.006794424
     1463.684   0.006924971
     1463.979   0.007054701
     1464.276   0.007177718
     1464.573   0.007299813
     1464.869   0.007421191
     1465.165    0.00753831
     1465.461   0.007651333
     1465.759   0.007764566
     1466.055   0.007875393
     1466.352   0.007979823
     1466.649   0.008083843
     1466.946   0.008187283
     1467.243   0.008284481
     1467.539   0.008379768
     1467.837   0.008474948
     1468.134   0.008566724
     1468.431   0.008654316
     1468.729   0.008741623
     1469.026   0.008827819
     1469.323   0.008907859
      1469.62   0.008987403
     1469.918   0.009066883
     1470.216   0.009141709
     1470.513   0.009214385
     1470.811    0.00928703
     1471.109   0.009357186
     1471.407   0.009423218
     1471.704   0.009488865
     1472.002   0.009554384
       1472.3   0.009613924
     1472.598    0.00967309
     1472.896   0.009732193
     1473.194   0.009787345
     1473.492   0.009840518
     1473.791   0.009893476
     1474.089   0.009944679
     1474.388   0.009992029
     1474.686    0.01003905
     1474.985    0.01008603
     1475.283      0.010128
     1475.581    0.01016966
      1475.88    0.01021117
     1476.179     0.0102496
     1476.479     0.0102862
     1476.777    0.01032244
     1477.076     0.0103575
     1477.374    0.01038907
     1477.674    0.01042057
     1477.973    0.01045194
     1478.272    0.01047933
     1478.571    0.01050629
      1478.87    0.01053306
      1479.17    0.01055765
     1479.469    0.01058031
     1479.769    0.01060292
     1480.069    0.01062447
     1480.368    0.01064266
     1480.668    0.01066079
     1480.967    0.01067876
     1481.267    0.01069373
     1481.567    0.01070823
     1481.867    0.01072263
     1482.167    0.01073522
     1482.467    0.01074635
     1482.767    0.01075742
     1483.067    0.01076774
     1483.367    0.01077579
     1483.668    0.01078376
     1483.968    0.01079163
     1484.268    0.01079712
     1484.568    0.01080224
      1484.87    0.01080732
      1485.17    0.01081104
      1485.47    0.01081372
     1485.771    0.01081635
     1486.072    0.01081843
     1486.373    0.01081895
     1486.673    0.01081942
     1486.974    0.01081984
     1487.276    0.01081861
     1487.577    0.01081719
     1487.878    0.01081572
     1488.179    0.01081334
      1488.48    0.01081033
     1488.781    0.01080729
     1489.083    0.01080387
     1489.384    0.01079957
     1489.685    0.01079524
     1489.987    0.01079086
     1490.289    0.01078568
     1490.591    0.01078044
     1490.892    0.01077517
     1491.194    0.01076938
     1491.496    0.01076328
     1491.797    0.01075718
       1492.1    0.01075085
     1492.401    0.01074417
     1492.703    0.01073743
     1493.006    0.01073067
     1493.308    0.01072357
     1493.611    0.01071644
     1493.913    0.01070931
     1494.215      0.010702
     1494.517    0.01069462
      1494.82    0.01068721
     1495.123    0.01067968
     1495.425    0.01067205
     1495.729    0.01066435
     1496.031    0.01065665
     1496.334    0.01064875
     1496.636    0.01064085
      1496.94     0.0106329
     1497.243    0.01062479
     1497.545    0.01061664
     1497.849    0.01060845
     1498.151    0.01060017
     1498.456    0.01059174
     1498.759    0.01058332
     1499.062    0.01057482
     1499.366    0.01056618
     1499.669    0.01055753
     1499.973    0.01054884
     1500.276    0.01054185
      1500.58    0.01053499
     1500.884     0.0105281
     1501.188    0.01052109
     1501.492      0.010514
     1501.795     0.0105069
     1502.099    0.01049971
     1502.403    0.01049241
     1502.707    0.01048507
     1503.012    0.01047769
     1503.315    0.01047018
      1503.62    0.01046262
     1503.925    0.01045504
     1504.229    0.01044732
     1504.533    0.01043957
     1504.838    0.01043177
     1505.143    0.01042388
     1505.447    0.01041592
     1505.752    0.01040792
     1506.056    0.01039989
     1506.361     0.0103917
     1506.667    0.01038349
     1506.972    0.01037525
     1507.277    0.01036688
     1507.582    0.01035849
     1507.887    0.01035006
     1508.192    0.01034155
     1508.497    0.01033294
     1508.803    0.01032431
     1509.108    0.01031564
     1509.414    0.01030682
     1509.719    0.01029802
     1510.025     0.0102892
      1510.33    0.01028067
     1510.636    0.01027208
     1510.942    0.01026348
     1511.247    0.01025479
     1511.554    0.01024603
     1511.859    0.01023727
     1512.166    0.01022838
     1512.472    0.01021947
     1512.778    0.01021051
     1513.085     0.0102015
      1513.39    0.01019241
     1513.697    0.01018327
     1514.004    0.01017412
     1514.309    0.01016486
     1514.616    0.01015555
     1514.923    0.01014622
      1515.23    0.01013679
     1515.536    0.01012735
     1515.843    0.01011785
      1516.15    0.01010831
     1516.457    0.01009867
     1516.764    0.01008902
      1517.07    0.01007935
     1517.378    0.01006954
     1517.685    0.01005973
     1517.993     0.0100499
     1518.299    0.01003996
     1518.607    0.01002999
     1518.915    0.01001999
     1519.221    0.01000994
     1519.529     0.0099998
     1519.836   0.009989676
     1520.144   0.009979966
     1520.452    0.00997076
      1520.76   0.009961541
     1521.068   0.009952284
     1521.376   0.009942967
     1521.684   0.009933613
     1521.992    0.00992424
       1522.3   0.009914782
     1522.608   0.009905281
     1522.916   0.009895791
     1523.225   0.009886169
     1523.533   0.009876556
     1523.841   0.009866903
     1524.149    0.00985722
     1524.458   0.009847452
     1524.767   0.009837665
     1525.075   0.009827876
     1525.384   0.009817975
     1525.692   0.009808087
     1526.002   0.009798133
      1526.31   0.009788134
      1526.62   0.009778097
     1526.929   0.009768045
     1527.237   0.009757942
     1527.547   0.009747774
     1527.855   0.009737627
     1528.165   0.009727391
     1528.475   0.009717111
     1528.784   0.009706818
     1529.094   0.009696487
     1529.403   0.009686117
     1529.713    0.00967571
     1530.023   0.009665316
     1530.332   0.009655277
     1530.642   0.009645197
     1530.951   0.009635136
     1531.261   0.009624968
     1531.572   0.009614776
     1531.882   0.009604577
     1532.191   0.009594348
     1532.502   0.009584058
