WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,fuvmama,f25srf2
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.311402E-17
PIVWV    r 1453.116
BANDW    r 119.6688
TPEAK    r 0.02648978
EQUVW    r 6.983327
RECTW    r 263.6234
EMFLX    r 1.622220E-14
        1150.   7.950416E-8
     1150.259   8.293794E-8
     1150.519   8.645787E-8
     1150.779   9.006493E-8
     1151.038   9.375835E-8
     1151.299   9.754974E-8
     1151.558   1.014223E-7
     1151.818   1.053727E-7
     1152.078   1.094241E-7
     1152.338   1.135682E-7
     1152.598   1.178041E-7
     1152.858   1.221347E-7
     1153.118   1.265588E-7
     1153.378   1.310794E-7
     1153.639   1.357065E-7
     1153.899   1.404191E-7
      1154.16   1.452334E-7
      1154.42   1.501435E-7
     1154.681   1.551550E-7
     1154.941   1.602690E-7
     1155.202   1.654838E-7
     1155.462   1.708005E-7
     1155.723   1.762225E-7
     1155.984   1.817482E-7
     1156.245   1.873811E-7
     1156.506   1.931223E-7
     1156.767   1.989702E-7
     1157.028   2.049255E-7
     1157.289   2.109920E-7
      1157.55   2.171679E-7
     1157.811   2.234571E-7
     1158.072   2.298576E-7
     1158.334   2.363887E-7
     1158.596   2.430210E-7
     1158.857   2.497645E-7
     1159.119   2.566294E-7
      1159.38   2.636072E-7
     1159.642   2.707087E-7
     1159.903   2.779080E-7
     1160.165   2.866710E-7
     1160.427   2.964283E-7
     1160.689   3.063672E-7
     1160.951   3.164473E-7
     1161.213   3.266880E-7
     1161.475   3.370906E-7
     1161.737   3.476661E-7
     1161.999   3.584009E-7
     1162.261   3.693063E-7
     1162.524   3.803837E-7
     1162.786   3.916291E-7
     1163.049   4.030705E-7
     1163.311   4.146342E-7
     1163.573   4.264018E-7
     1163.836   4.383426E-7
     1164.099   4.504575E-7
     1164.361   4.627536E-7
     1164.624   4.752264E-7
     1164.887   4.878830E-7
      1165.15   5.007250E-7
     1165.413   5.137780E-7
     1165.676   5.269828E-7
     1165.939   5.403768E-7
     1166.202   5.539553E-7
     1166.465   5.677257E-7
     1166.729   5.816831E-7
     1166.992   5.958352E-7
     1167.255   6.101768E-7
     1167.519   6.247159E-7
     1167.782   6.394473E-7
     1168.046   6.543787E-7
     1168.309   6.695049E-7
     1168.573   6.848343E-7
     1168.837   7.003610E-7
       1169.1   7.160936E-7
     1169.364   7.320261E-7
     1169.628   7.481673E-7
     1169.892   7.645113E-7
     1170.157   7.866372E-7
     1170.421   8.128740E-7
     1170.685   8.395058E-7
     1170.949   8.665605E-7
     1171.213   8.939390E-7
     1171.477   9.217964E-7
     1171.741   9.500724E-7
     1172.006   9.787568E-7
      1172.27   1.007852E-6
     1172.535   1.037443E-6
       1172.8   1.067397E-6
     1173.064   1.097769E-6
     1173.329   1.128564E-6
     1173.594   1.159796E-6
     1173.859   1.191471E-6
     1174.124   1.223575E-6
     1174.389   1.256112E-6
     1174.654   1.289098E-6
     1174.919   1.322538E-6
     1175.184   1.356419E-6
     1175.449   1.390743E-6
     1175.714   1.425529E-6
     1175.979   1.460764E-6
     1176.245   1.496466E-6
      1176.51   1.532640E-6
     1176.776   1.569254E-6
     1177.041   1.606361E-6
     1177.308   1.644018E-6
     1177.573   1.682055E-6
     1177.839   1.720578E-6
     1178.105   1.759571E-6
     1178.371   1.799056E-6
     1178.637   1.839037E-6
     1178.902   1.879478E-6
     1179.169   1.920439E-6
     1179.434   1.961770E-6
       1179.7   2.003703E-6
     1179.967   2.046244E-6
     1180.233   2.106386E-6
       1180.5   2.169607E-6
     1180.766   2.233571E-6
     1181.032   2.298196E-6
     1181.299   2.363573E-6
     1181.565   2.429614E-6
     1181.832   2.496417E-6
     1182.099   2.564077E-6
     1182.366   2.632290E-6
     1182.633   2.701213E-6
     1182.899   2.770720E-6
     1183.166   2.841134E-6
     1183.433   2.912268E-6
       1183.7   2.984158E-6
     1183.967   3.056776E-6
     1184.234   3.130157E-6
     1184.502   3.204272E-6
      1184.77   3.279332E-6
     1185.037   3.354961E-6
     1185.304   3.431336E-6
     1185.572   3.508528E-6
     1185.839   3.586438E-6
     1186.107   3.665137E-6
     1186.375   3.744632E-6
     1186.642   3.824889E-6
      1186.91   3.905949E-6
     1187.178   3.987780E-6
     1187.446   4.070382E-6
     1187.714   4.153800E-6
     1187.982   4.238035E-6
      1188.25   4.323054E-6
     1188.518   4.408901E-6
     1188.786   4.495539E-6
     1189.054   4.582971E-6
     1189.323   4.671243E-6
     1189.592   4.760561E-6
      1189.86   4.850482E-6
     1190.129   4.967441E-6
     1190.397   5.114045E-6
     1190.666   5.262027E-6
     1190.935   5.411459E-6
     1191.203   5.562003E-6
     1191.472   5.714280E-6
      1191.74   5.867954E-6
      1192.01   6.023452E-6
     1192.279   6.180078E-6
     1192.548   6.338116E-6
     1192.817   6.497642E-6
     1193.086   6.658589E-6
     1193.355   6.820962E-6
     1193.625   6.984839E-6
     1193.894   7.150227E-6
     1194.164   7.317054E-6
     1194.433   7.485328E-6
     1194.703   7.655128E-6
     1194.972   7.826461E-6
     1195.242   7.999253E-6
     1195.511   8.173511E-6
     1195.781   8.349317E-6
     1196.051   8.526598E-6
     1196.321   8.705440E-6
     1196.591   8.885846E-6
     1196.862   9.068157E-6
     1197.132   9.251636E-6
     1197.402   9.436614E-6
     1197.672   9.623098E-6
     1197.942   9.811174E-6
     1198.213   1.000085E-5
     1198.483   1.019205E-5
     1198.753   1.038477E-5
     1199.024   1.057911E-5
     1199.295   1.077507E-5
     1199.565   1.097258E-5
     1199.836   1.117163E-5
     1200.107   1.141682E-5
     1200.377   1.173259E-5
     1200.648   1.205033E-5
     1200.919   1.237006E-5
      1201.19   1.269193E-5
     1201.461   1.301593E-5
     1201.733   1.334267E-5
     1202.004   1.367068E-5
     1202.275   1.400084E-5
     1202.547   1.433317E-5
     1202.818   1.466751E-5
     1203.089   1.500311E-5
      1203.36   1.534164E-5
     1203.632   1.568236E-5
     1203.904   1.602510E-5
     1204.176   1.637066E-5
     1204.448   1.671764E-5
     1204.719   1.706683E-5
     1204.991   1.741806E-5
     1205.263   1.777135E-5
     1205.535   1.812686E-5
     1205.807   1.848459E-5
     1206.079   1.884438E-5
     1206.351   1.920642E-5
     1206.624   1.957052E-5
     1206.896   1.993671E-5
     1207.168   2.030515E-5
     1207.441   2.067584E-5
     1207.713   2.104862E-5
     1207.986   2.142350E-5
     1208.258   2.180066E-5
     1208.531   2.218008E-5
     1208.804   2.256162E-5
     1209.077   2.294631E-5
      1209.35   2.333226E-5
     1209.623   2.372051E-5
     1209.896   2.411088E-5
     1210.169   2.468202E-5
     1210.442   2.536777E-5
     1210.715   2.605817E-5
     1210.988   2.675295E-5
     1211.261   2.745241E-5
     1211.535   2.815626E-5
