WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,nuvmama,25mama
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.229004E-18
PIVWV    r 2265.048
BANDW    r 511.7854
TPEAK    r 0.02941846
EQUVW    r 36.17458
RECTW    r 1229.656
EMFLX    r 6.443280E-15
        1150.   5.365598E-4
     1150.249   5.457792E-4
     1150.497   5.559599E-4
     1150.746   5.661420E-4
     1150.995   5.763216E-4
     1151.244   5.865069E-4
     1151.493   5.966930E-4
     1151.742   6.068848E-4
     1151.992   6.170775E-4
     1152.241   6.272708E-4
      1152.49   6.374699E-4
     1152.739   6.476697E-4
     1152.989   6.578751E-4
     1153.238   6.680790E-4
     1153.488   6.783085E-4
     1153.738   6.885137E-4
     1153.987   6.987247E-4
     1154.237   7.089364E-4
     1154.487   7.191488E-4
     1154.736   7.293420E-4
     1154.985   7.395608E-4
     1155.235   7.497852E-4
     1155.485   7.600102E-4
     1155.736   7.702657E-4
     1155.986   7.804902E-4
     1156.236   7.907204E-4
     1156.486   8.009512E-4
     1156.736   8.111828E-4
     1156.986   8.214199E-4
     1157.237   8.316578E-4
     1157.487   8.419014E-4
     1157.737   8.521455E-4
     1157.988   8.623951E-4
     1158.238   8.726452E-4
     1158.489   8.828915E-4
      1158.74   8.931416E-4
      1158.99   9.033974E-4
     1159.241   9.136540E-4
     1159.492   9.239111E-4
     1159.743   9.341735E-4
     1159.993   9.447225E-4
     1160.245   9.555132E-4
     1160.496   9.665845E-4
     1160.746   9.776296E-4
     1160.997   9.887049E-4
     1161.249   9.997770E-4
       1161.5   0.001010856
     1161.751   0.001021935
     1162.002    0.00103302
     1162.254   0.001044105
     1162.506   0.001055224
     1162.757   0.001066316
     1163.009   0.001077414
      1163.26   0.001088513
     1163.512   0.001099611
     1163.764    0.00111071
     1164.015   0.001121783
     1164.267   0.001132889
     1164.518   0.001143995
     1164.771   0.001155135
     1165.023   0.001166248
     1165.275   0.001177367
     1165.527   0.001188486
     1165.779   0.001199606
     1166.031   0.001210732
     1166.284   0.001221853
     1166.536    0.00123298
     1166.788   0.001244107
     1167.041   0.001255241
     1167.293   0.001266374
     1167.546   0.001277514
     1167.798   0.001288654
     1168.051   0.001299795
     1168.303   0.001310942
     1168.556   0.001322089
     1168.809   0.001333238
     1169.062   0.001344387
     1169.315   0.001355568
     1169.568   0.001366728
     1169.821   0.001377883
     1170.074   0.001390262
     1170.327   0.001403871
      1170.58     0.0014179
     1170.833   0.001431937
     1171.087   0.001445974
      1171.34    0.00146001
     1171.594   0.001474083
     1171.847   0.001488122
     1172.101   0.001502169
     1172.354   0.001516216
     1172.608   0.001530265
     1172.862    0.00154432
     1173.115   0.001558383
     1173.369   0.001572447
     1173.622   0.001586477
     1173.877   0.001600581
     1174.131   0.001614647
     1174.385   0.001628721
     1174.639   0.001642795
     1174.893   0.001656869
     1175.147   0.001670951
     1175.401    0.00168504
     1175.656    0.00169913
      1175.91    0.00171322
     1176.164   0.001727318
     1176.419   0.001741416
     1176.673   0.001755517
     1176.928   0.001769617
     1177.182   0.001783725
     1177.437   0.001797833
     1177.692   0.001811942
     1177.946   0.001826058
     1178.201   0.001840181
     1178.456   0.001854305
     1178.712   0.001868463
     1178.967   0.001882595
     1179.222   0.001896724
     1179.476   0.001910824
     1179.731   0.001924959
     1179.986   0.001939173
     1180.242   0.001952464
     1180.497   0.001965783
     1180.753   0.001979139
     1181.008   0.001992471
     1181.264   0.002005803
     1181.519   0.002019136
     1181.775   0.002032474
     1182.031    0.00204581
     1182.286   0.002059153
     1182.542   0.002072495
     1182.798   0.002085839
     1183.054   0.002099189
      1183.31   0.002112546
     1183.566   0.002125903
     1183.822   0.002139261
     1184.078   0.002152625
     1184.334    0.00216599
      1184.59   0.002179357
     1184.846   0.002192725
     1185.103     0.0022061
     1185.359   0.002219475
     1185.615   0.002232857
     1185.872   0.002246239
     1186.128   0.002259622
     1186.385   0.002273011
     1186.642   0.002286407
     1186.898   0.002299803
     1187.155   0.002313197
     1187.412   0.002326597
     1187.669   0.002339998
     1187.926   0.002353436
     1188.183   0.002366843
      1188.44   0.002380257
     1188.698   0.002393672
     1188.955   0.002407086
     1189.211   0.002420476
     1189.468   0.002433897
     1189.726   0.002447324
     1189.983   0.002460934
     1190.241   0.002474542
     1190.499   0.002488331
     1190.756   0.002502113
     1191.014   0.002515903
     1191.271   0.002529698
     1191.529   0.002543495
     1191.787   0.002557297
     1192.045     0.0025711
     1192.302   0.002584904
      1192.56   0.002598712
     1192.818    0.00261252
     1193.076   0.002626334
     1193.334    0.00264015
     1193.593   0.002653972
     1193.851   0.002667793
     1194.109   0.002681622
     1194.367   0.002695451
     1194.626   0.002709281
     1194.885   0.002723156
     1195.143    0.00273699
     1195.401   0.002750799
      1195.66   0.002764639
     1195.918   0.002778487
     1196.177   0.002792335
     1196.436   0.002806189
     1196.695   0.002820044
     1196.954   0.002833906
     1197.213     0.0028478
     1197.472   0.002861669
     1197.731   0.002875536
      1197.99    0.00288941
      1198.25   0.002903284
     1198.509   0.002917157
     1198.767   0.002930999
     1199.027   0.002944886
     1199.286   0.002958773
     1199.546   0.002972694
     1199.806   0.002986494
     1200.065   0.002999585
     1200.325   0.003009902
     1200.584   0.003020217
     1200.844   0.003030533
     1201.104   0.003040855
     1201.364    0.00305118
     1201.624   0.003061506
     1201.883   0.003071832
     1202.143   0.003082164
     1202.403   0.003092495
     1202.664   0.003102832
     1202.924   0.003113168
     1203.184   0.003123507
     1203.444   0.003133848
     1203.705   0.003144193
     1203.965   0.003154538
     1204.226   0.003164913
     1204.487   0.003175263
     1204.747   0.003185614
     1205.007   0.003195945
     1205.268   0.003206301
     1205.528   0.003216662
     1205.789   0.003227026
      1206.05   0.003237386
     1206.311   0.003247755
     1206.573   0.003258149
     1206.834   0.003268518
     1207.095   0.003278893
     1207.356   0.003289268
     1207.617   0.003299642
     1207.878   0.003310022
      1208.14   0.003320407
       1208.4   0.003330762
     1208.662   0.003341151
     1208.924   0.003351564
     1209.185   0.003361953
     1209.447   0.003372347
     1209.708   0.003382741
      1209.97   0.003393208
     1210.232   0.003403912
     1210.494   0.003414737
     1210.755   0.003425563
     1211.017   0.003436393
     1211.279   0.003447223
     1211.541   0.003458052
     1211.803   0.003468887
     1212.066   0.003479727
     1212.328   0.003490567
      1212.59   0.003501407
     1212.852   0.003512253
     1213.115   0.003523098
     1213.377   0.003533949
      1213.64   0.003544825
     1213.903    0.00355568
     1214.165   0.003566535
     1214.428   0.003577395
      1214.69    0.00358823
     1214.953    0.00359909
     1215.216   0.003609955
     1215.479   0.003620826
     1215.742   0.003631697
     1216.005   0.003642593
     1216.268   0.003653469
     1216.531   0.003664349
     1216.795    0.00367523
     1217.058   0.003686109
     1217.321   0.003696995
