WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,nuvmama,f25ciii
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.702968E-16
PIVWV    r 2011.582
BANDW    r 165.3093
TPEAK    r 0.002297113
EQUVW    r 0.4621071
RECTW    r 201.1686
EMFLX    r 1.141463E-13
        1259.            0.
     1259.272   1.455131E-6
     1259.545   2.920868E-6
     1259.818   4.389364E-6
     1260.091   5.383817E-6
     1260.364   5.412742E-6
     1260.638   5.441756E-6
      1260.91   5.470761E-6
     1261.183   5.499845E-6
     1261.457   5.529091E-6
     1261.729   5.558327E-6
     1262.003   5.587721E-6
     1262.276   5.617091E-6
      1262.55   5.646620E-6
     1262.824   5.676216E-6
     1263.097   5.705815E-6
     1263.371   5.735561E-6
     1263.644   5.765296E-6
     1263.918   5.795191E-6
     1264.191   5.825099E-6
     1264.466   5.855160E-6
     1264.739   5.885220E-6
     1265.013   5.915429E-6
     1265.288   5.945692E-6
     1265.561   5.975955E-6
     1265.836   6.006381E-6
      1266.11   6.036795E-6
     1266.384   6.067358E-6
     1266.658   6.097934E-6
     1266.933   6.128647E-6
     1267.207   6.159373E-6
     1267.482   6.190252E-6
     1267.757   6.221212E-6
     1268.031   6.252171E-6
     1268.306   6.283268E-6
      1268.58   6.314350E-6
     1268.855   6.345598E-6
      1269.13   6.376831E-6
     1269.405   6.408229E-6
      1269.68   6.439627E-6
     1269.955   6.471143E-6
     1270.231   6.502309E-6
     1270.505   6.533343E-6
     1270.781   6.564525E-6
     1271.056   6.595699E-6
     1271.331   6.627010E-6
     1271.606   6.658316E-6
     1271.882   6.689769E-6
     1272.157   6.721218E-6
     1272.432   6.752733E-6
     1272.709   6.784493E-6
     1272.984   6.816151E-6
     1273.261   6.847988E-6
     1273.536   6.879806E-6
     1273.812   6.911703E-6
     1274.088   6.943746E-6
     1274.363   6.975771E-6
      1274.64   7.007947E-6
     1274.915   7.040103E-6
     1275.193   7.072509E-6
     1275.469   7.104823E-6
     1275.744   7.137205E-6
     1276.021   7.169750E-6
     1276.297   7.202292E-6
     1276.574   7.234986E-6
      1276.85   7.267686E-6
     1277.127   7.300519E-6
     1277.403   7.333334E-6
      1277.68   7.366316E-6
     1277.957   7.399365E-6
     1278.234   7.432391E-6
     1278.511   7.465586E-6
     1278.788   7.498772E-6
     1279.065   7.532117E-6
     1279.342   7.565451E-6
     1279.619   7.598954E-6
     1279.896   7.632450E-6
     1280.173   7.665749E-6
     1280.451   7.698920E-6
     1280.728   7.732072E-6
     1281.006   7.765390E-6
     1281.283   7.798683E-6
     1281.561   7.832126E-6
     1281.838   7.865560E-6
     1282.116   7.899152E-6
     1282.393   7.932743E-6
     1282.672   7.966500E-6
      1282.95   8.000305E-6
     1283.227   8.034101E-6
     1283.505   8.068046E-6
     1283.783   8.101963E-6
     1284.062   8.136049E-6
     1284.339   8.170121E-6
     1284.618   8.204333E-6
     1284.896   8.238548E-6
     1285.174   8.272926E-6
     1285.453   8.307376E-6
     1285.731   8.341812E-6
      1286.01   8.376401E-6
     1286.288   8.410963E-6
     1286.567   8.445680E-6
     1286.845   8.480381E-6
     1287.124   8.515148E-6
     1287.403   8.550084E-6
     1287.682   8.585083E-6
     1287.961   8.620163E-6
      1288.24   8.655228E-6
     1288.519   8.690467E-6
     1288.798   8.725691E-6
     1289.077   8.760961E-6
     1289.357   8.796402E-6
     1289.635   8.831801E-6
     1289.915   8.867355E-6
     1290.194   8.902634E-6
     1290.475   8.937978E-6
     1290.754   8.973229E-6
     1291.033   9.008559E-6
     1291.313   9.044043E-6
     1291.592   9.079527E-6
     1291.872   9.115151E-6
     1292.152   9.150763E-6
     1292.432   9.186506E-6
     1292.712   9.222328E-6
     1292.992   9.258131E-6
     1293.272   9.294092E-6
     1293.552   9.330037E-6
     1293.833   9.366136E-6
     1294.113   9.402223E-6
     1294.393   9.438481E-6
     1294.673   9.474720E-6
     1294.954   9.511116E-6
     1295.234   9.547479E-6
     1295.515   9.583996E-6
     1295.796   9.620591E-6
     1296.076   9.657152E-6
     1296.358   9.693887E-6
     1296.638   9.730591E-6
     1296.919   9.767449E-6
       1297.2   9.804319E-6
     1297.481   9.841337E-6
     1297.762   9.878354E-6
     1298.043   9.915509E-6
     1298.325   9.952727E-6
     1298.605   9.989926E-6
     1298.887   1.002729E-5
     1299.168   1.006462E-5
      1299.45   1.010212E-5
     1299.731   1.013961E-5
     1300.012   1.017711E-5
     1300.294   1.021452E-5
     1300.576   1.025198E-5
     1300.858   1.028949E-5
      1301.14   1.032699E-5
     1301.422   1.036463E-5
     1301.703   1.040224E-5
     1301.985   1.044003E-5
     1302.267   1.047778E-5
     1302.549   1.051561E-5
     1302.831   1.055359E-5
     1303.114   1.059167E-5
     1303.396   1.062981E-5
     1303.678   1.066793E-5
      1303.96   1.070612E-5
     1304.243   1.074446E-5
     1304.525   1.078276E-5
     1304.808   1.082123E-5
     1305.091   1.085968E-5
     1305.374   1.089828E-5
     1305.657   1.093696E-5
     1305.939   1.097562E-5
     1306.222   1.101446E-5
     1306.505   1.105327E-5
     1306.788   1.109225E-5
     1307.071   1.113120E-5
     1307.354   1.117030E-5
     1307.637   1.120937E-5
     1307.921   1.124861E-5
     1308.204   1.128793E-5
     1308.487   1.132720E-5
     1308.771   1.136666E-5
     1309.054   1.140608E-5
     1309.338   1.144569E-5
     1309.621   1.148527E-5
     1309.906   1.152500E-5
     1310.189   1.156459E-5
     1310.473   1.160423E-5
     1310.757   1.164398E-5
     1311.041   1.168366E-5
     1311.325   1.172354E-5
     1311.609   1.176337E-5
     1311.893   1.180339E-5
     1312.177   1.184336E-5
     1312.462   1.188354E-5
     1312.745   1.192367E-5
      1313.03   1.196397E-5
     1313.315   1.200431E-5
     1313.599   1.204465E-5
     1313.884   1.208515E-5
     1314.168   1.212560E-5
     1314.453   1.216624E-5
     1314.737   1.220683E-5
     1315.023   1.224761E-5
     1315.307   1.228836E-5
     1315.592   1.232920E-5
     1315.878   1.237030E-5
     1316.162   1.241126E-5
     1316.448   1.245238E-5
     1316.732   1.249348E-5
     1317.018   1.253475E-5
     1317.303   1.257596E-5
     1317.588   1.261728E-5
     1317.874   1.265875E-5
     1318.159   1.270020E-5
     1318.445   1.274194E-5
      1318.73   1.278354E-5
     1319.016   1.282532E-5
     1319.302   1.286705E-5
     1319.587   1.290882E-5
     1319.873   1.295078E-5
     1320.159   1.299072E-5
     1320.445   1.302919E-5
     1320.731   1.306763E-5
     1321.018   1.310633E-5
     1321.304   1.314486E-5
      1321.59   1.318346E-5
     1321.876   1.322223E-5
     1322.162   1.326096E-5
     1322.449   1.329986E-5
     1322.735   1.333874E-5
     1323.022   1.337777E-5
     1323.308   1.341675E-5
     1323.595   1.345590E-5
     1323.882   1.349513E-5
