WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,nuvmama,f25cn270
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.067560E-17
PIVWV    r 2723.154
BANDW    r 122.2169
TPEAK    r 0.01936391
EQUVW    r 3.957886
RECTW    r 204.395
EMFLX    r 8.822664E-15
        2501.            0.
      2501.37   5.907121E-6
      2501.74   1.183248E-5
      2502.11   1.595291E-5
     2502.481   1.586718E-5
     2502.852   1.578141E-5
     2503.221   1.572244E-5
     2503.592   1.568104E-5
     2503.962   1.563976E-5
     2504.333   1.567603E-5
     2504.703   1.572097E-5
     2505.073   1.577860E-5
     2505.444   1.588835E-5
     2505.814   1.599772E-5
     2506.186   1.618273E-5
     2506.557   1.644307E-5
     2506.927   1.670233E-5
     2507.299   1.708326E-5
     2507.669   1.749141E-5
     2508.041   1.791393E-5
     2508.412   1.843498E-5
     2508.782   1.895592E-5
     2509.154   1.959537E-5
     2509.526   2.039860E-5
     2509.896   2.119902E-5
     2510.269   2.213341E-5
     2510.639   2.311484E-5
     2511.011   2.410441E-5
     2511.382   2.525067E-5
     2511.755   2.640122E-5
     2512.125   2.762826E-5
     2512.497   2.901484E-5
      2512.87   3.041114E-5
     2513.241   3.181931E-5
     2513.613   3.324001E-5
     2513.985   3.466508E-5
     2514.356   3.612026E-5
     2514.729   3.758331E-5
     2515.101   3.901255E-5
     2515.472   4.036766E-5
     2515.845   4.172693E-5
     2516.218   4.302086E-5
     2516.591   4.426683E-5
     2516.963   4.550927E-5
     2517.334   4.656981E-5
     2517.708   4.761468E-5
     2518.079   4.857515E-5
     2518.453   4.924285E-5
     2518.824   4.990778E-5
     2519.197   5.043687E-5
     2519.571   5.084723E-5
     2519.943   5.125454E-5
     2520.317   5.123274E-5
     2520.689   5.113429E-5
     2521.062   5.096794E-5
     2521.435   5.045691E-5
     2521.808   4.994733E-5
     2522.181   4.932453E-5
     2522.554   4.858589E-5
     2522.928   4.784499E-5
     2523.302   4.690859E-5
     2523.675   4.592884E-5
     2524.049   4.495091E-5
     2524.421   4.400860E-5
     2524.794   4.306649E-5
     2525.168   4.213915E-5
     2525.541   4.123784E-5
     2525.916   4.033262E-5
      2526.29   3.973193E-5
     2526.663   3.922093E-5
     2527.038   3.874514E-5
     2527.411   3.859728E-5
     2527.784   3.844935E-5
     2528.159   3.846421E-5
     2528.532   3.869993E-5
     2528.907   3.893669E-5
     2529.281   3.993795E-5
     2529.656   4.119791E-5
     2530.031   4.250164E-5
     2530.404   4.429621E-5
     2530.779   4.609626E-5
     2531.153   4.819372E-5
     2531.527   5.072848E-5
     2531.902   5.327265E-5
     2532.276   5.629305E-5
     2532.651   5.949520E-5
     2533.027   6.271329E-5
     2533.401   6.610625E-5
     2533.776   6.951179E-5
     2534.151   7.298119E-5
     2534.526   7.657622E-5
     2534.901   8.015647E-5
     2535.275   8.359845E-5
     2535.651   8.700549E-5
     2536.025   9.038402E-5
     2536.403   9.358539E-5
     2536.777   9.676534E-5
     2537.152   9.969060E-5
     2537.528   1.022575E-4
     2537.903   1.048138E-4
     2538.279   1.067618E-4
     2538.654   1.084876E-4
     2539.029   1.101667E-4
     2539.405   1.112793E-4
     2539.781   1.123924E-4
     2540.157   1.128731E-4
     2540.533   1.124763E-4
     2540.908   1.120808E-4
     2541.285   1.111916E-4
      2541.66   1.101471E-4
     2542.037   1.090461E-4
     2542.413   1.074634E-4
     2542.788   1.058810E-4
     2543.165   1.041184E-4
     2543.542   1.021324E-4
     2543.917   1.001545E-4
     2544.295   9.830529E-5
      2544.67   9.650192E-5
     2545.048   9.471934E-5
     2545.424   9.313214E-5
     2545.801   9.154012E-5
     2546.177   9.045377E-5
     2546.554   8.992932E-5
     2546.932   8.940497E-5
     2547.308   8.954631E-5
     2547.684   8.983502E-5
     2548.062   9.033508E-5
     2548.438   9.190435E-5
     2548.816   9.348039E-5
     2549.192   9.615532E-5
     2549.569   9.989194E-5
     2549.947   1.036437E-4
     2550.325   1.083917E-4
     2550.703   1.133013E-4
     2551.079   1.185825E-4
     2551.456   1.253198E-4
     2551.834   1.320859E-4
     2552.211   1.394002E-4
      2552.59   1.472026E-4
     2552.967   1.549727E-4
     2553.344   1.632012E-4
     2553.723   1.715365E-4
     2554.101   1.799125E-4
     2554.479   1.886004E-4
     2554.856   1.972522E-4
     2555.234   2.056946E-4
     2555.613   2.140310E-4
      2555.99   2.223382E-4
     2556.369   2.303685E-4
     2556.747   2.383624E-4
     2557.125   2.458821E-4
     2557.505   2.523988E-4
     2557.882   2.588886E-4
     2558.261   2.644899E-4
     2558.639   2.696593E-4
     2559.017   2.747728E-4
     2559.396   2.786821E-4
     2559.774   2.825751E-4
     2560.154   2.854914E-4
     2560.533   2.869550E-4
     2560.912   2.884126E-4
     2561.291   2.895705E-4
     2561.669   2.906315E-4
     2562.048   2.916397E-4
     2562.427   2.922824E-4
     2562.806   2.929228E-4
     2563.186   2.941088E-4
     2563.564   2.958564E-4
     2563.944   2.976092E-4
     2564.324   3.003921E-4
     2564.703   3.033394E-4
     2565.083   3.067970E-4
     2565.462   3.120002E-4
     2565.841   3.172052E-4
     2566.221   3.247818E-4
       2566.6   3.340090E-4
     2566.981   3.432752E-4
     2567.361   3.552090E-4
      2567.74   3.672418E-4
     2568.121   3.811437E-4
       2568.5   3.988980E-4
     2568.881   4.167043E-4
      2569.26   4.383762E-4
      2569.64   4.618493E-4
     2570.021   4.855986E-4
     2570.401   5.128038E-4
     2570.783   5.401939E-4
     2571.163   5.701989E-4
     2571.542   6.039525E-4
     2571.924   6.378486E-4
     2572.303   6.741735E-4
     2572.685   7.112537E-4
     2573.065   7.486589E-4
     2573.445   7.881256E-4
     2573.826   8.277591E-4
     2574.208   8.694848E-4
     2574.588   9.127914E-4
     2574.969   9.562526E-4
      2575.35   0.001000493
     2575.731   0.001044945
     2576.112   0.001089578
     2576.494   0.001135213
     2576.874   0.001180631
     2577.255   0.001226312
     2577.638   0.001272454
     2578.019   0.001318222
       2578.4   0.001363808
     2578.782   0.001409586
     2579.163   0.001455023
     2579.545   0.001500417
     2579.926   0.001545624
     2580.309   0.001594756
      2580.69   0.001644579
     2581.072   0.001695572
     2581.455   0.001750819
     2581.836   0.001805838
     2582.217   0.001867334
       2582.6   0.001933941
     2582.981   0.002000275
     2583.365   0.002084566
     2583.746   0.002169354
     2584.127   0.002258606
     2584.512   0.002357427
     2584.894    0.00245553
     2585.277   0.002575241
     2585.659   0.002702689
     2586.041   0.002833122
     2586.424   0.002989551
     2586.806   0.003145438
     2587.189   0.003312306
     2587.571   0.003489357
     2587.955   0.003667151
     2588.339   0.003889972
     2588.721   0.004117996
     2589.104   0.004354144
     2589.487   0.004609491
     2589.869   0.004864605
     2590.253   0.005137068
     2590.636   0.005416597
