WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,nuvmama,f25mgii
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 2.080680E-16
PIVWV    r 2874.169
BANDW    r 249.5852
TPEAK    r 0.01245324
EQUVW    r 0.7293755
RECTW    r 58.56913
EMFLX    r 3.753901E-10
        2693.            0.
     2693.378   3.765883E-6
     2693.757   7.532382E-6
     2694.135   1.011147E-5
     2694.514   1.056894E-5
     2694.895   1.102825E-5
     2695.272   1.156486E-5
      2695.65   1.213499E-5
     2696.029   1.272430E-5
     2696.408   1.354103E-5
     2696.787   1.435790E-5
     2697.166   1.533856E-5
     2697.545   1.653012E-5
     2697.925   1.772110E-5
     2698.305   1.918877E-5
     2698.684   2.071721E-5
     2699.064   2.232406E-5
     2699.443   2.431729E-5
     2699.823   2.630957E-5
     2700.202   2.850047E-5
      2700.58   3.085822E-5
     2700.959   3.322249E-5
     2701.339   3.567940E-5
      2701.72   3.815571E-5
       2702.1   4.059290E-5
      2702.48   4.294348E-5
      2702.86   4.529448E-5
      2703.24   4.741698E-5
     2703.619   4.940522E-5
        2704.   5.139382E-5
     2704.379   5.282596E-5
      2704.76   5.425766E-5
      2705.14   5.539282E-5
      2705.52   5.601850E-5
       2705.9   5.664348E-5
     2706.281   5.680770E-5
     2706.661   5.680785E-5
     2707.041   5.675358E-5
     2707.422   5.625225E-5
     2707.802   5.575081E-5
     2708.183   5.507990E-5
     2708.565   5.422254E-5
     2708.946   5.336886E-5
     2709.326   5.246844E-5
     2709.707   5.156067E-5
     2710.086   5.068691E-5
     2710.468   4.990945E-5
     2710.848   4.913286E-5
     2711.229   4.853588E-5
      2711.61   4.805820E-5
     2711.993   4.757828E-5
     2712.374   4.731201E-5
     2712.755   4.704972E-5
     2713.137   4.687095E-5
     2713.518   4.684177E-5
     2713.899   4.681259E-5
     2714.281   4.689623E-5
     2714.662   4.702029E-5
     2715.042   4.714886E-5
     2715.426   4.731884E-5
     2715.807   4.748808E-5
     2716.189   4.765977E-5
     2716.571   4.783407E-5
     2716.952   4.800828E-5
     2717.334   4.816345E-5
     2717.716   4.831595E-5
     2718.098   4.847813E-5
      2718.48   4.866886E-5
     2718.864   4.886021E-5
     2719.244   4.914091E-5
     2719.626   4.947340E-5
     2720.009   4.981099E-5
     2720.391   5.036178E-5
     2720.773   5.091233E-5
     2721.156   5.159017E-5
     2721.538   5.245374E-5
     2721.921   5.331689E-5
     2722.305   5.452531E-5
     2722.687   5.581702E-5
      2723.07   5.716369E-5
     2723.453   5.875851E-5
     2723.836   6.035260E-5
     2724.219   6.203254E-5
       2724.6   6.377019E-5
     2724.983   6.551480E-5
     2725.366   6.716424E-5
      2725.75   6.881589E-5
     2726.134   7.036175E-5
     2726.517   7.171941E-5
       2726.9   7.307730E-5
     2727.283   7.396562E-5
     2727.667   7.468782E-5
      2728.05   7.529832E-5
     2728.433   7.516287E-5
     2728.817   7.502744E-5
       2729.2   7.460234E-5
     2729.584   7.391215E-5
     2729.968   7.322181E-5
     2730.351   7.214311E-5
     2730.735   7.102816E-5
     2731.119   6.992193E-5
     2731.502   6.883449E-5
     2731.886   6.774686E-5
     2732.271   6.692985E-5
     2732.656   6.622386E-5
      2733.04   6.561401E-5
     2733.424   6.580455E-5
     2733.808   6.599511E-5
     2734.191   6.671834E-5
     2734.575   6.798239E-5
      2734.96   6.924663E-5
     2735.344   7.133312E-5
     2735.729   7.351644E-5
     2736.113   7.593787E-5
     2736.499   7.894375E-5
     2736.884   8.193682E-5
     2737.268   8.508366E-5
     2737.653   8.829556E-5
     2738.038   9.149034E-5
     2738.423   9.454080E-5
     2738.808   9.759177E-5
     2739.191   1.003252E-4
     2739.577   1.027724E-4
     2739.962   1.052093E-4
     2740.348   1.070299E-4
     2740.733   1.087818E-4
     2741.118   1.103600E-4
     2741.503   1.115431E-4
     2741.888   1.127256E-4
     2742.274   1.138010E-4
     2742.659   1.148320E-4
     2743.045   1.159087E-4
     2743.432   1.173476E-4
     2743.816   1.187741E-4
     2744.202   1.207734E-4
     2744.587   1.232878E-4
     2744.973   1.258026E-4
     2745.359   1.298372E-4
     2745.745   1.339820E-4
     2746.131   1.386044E-4
     2746.517   1.441570E-4
     2746.904   1.497281E-4
      2747.29   1.562806E-4
     2747.676   1.631669E-4
     2748.062   1.701161E-4
     2748.449   1.774045E-4
     2748.833   1.846619E-4
      2749.22   1.916997E-4
     2749.606   1.985538E-4
     2749.993   2.054048E-4
     2750.381   2.108367E-4
     2750.767   2.162215E-4
     2751.154   2.208517E-4
     2751.541   2.243497E-4
     2751.927   2.278461E-4
     2752.314   2.300461E-4
     2752.701   2.319463E-4
     2753.088   2.337529E-4
     2753.475   2.352471E-4
     2753.862   2.367407E-4
     2754.249   2.393296E-4
     2754.636   2.425244E-4
     2755.023   2.459753E-4
      2755.41   2.534794E-4
     2755.797   2.609800E-4
     2756.185   2.721032E-4
     2756.572   2.871910E-4
      2756.96   3.022717E-4
     2757.349   3.236416E-4
     2757.736   3.456389E-4
     2758.124   3.708739E-4
      2758.51   4.028498E-4
     2758.897   4.349520E-4
     2759.285   4.752578E-4
     2759.673   5.184623E-4
     2760.061   5.627879E-4
     2760.449   6.130579E-4
     2760.838   6.634944E-4
     2761.227   7.190763E-4
     2761.615   7.783940E-4
     2762.003   8.377808E-4
     2762.391   9.056832E-4
     2762.779   9.735537E-4
     2763.167   0.001044757
     2763.556   0.001120307
     2763.943    0.00119549
     2764.333   0.001287594
     2764.721   0.001382048
      2765.11   0.001484857
     2765.499    0.00160878
     2765.887   0.001732644
     2766.276   0.001886385
     2766.665   0.002052289
     2767.053   0.002227763
     2767.442   0.002463012
     2767.833   0.002699036
      2768.22    0.00297167
     2768.609   0.003274204
     2768.999   0.003576786
     2769.388   0.003958879
     2769.777   0.004341332
     2770.166   0.004756551
     2770.556   0.005216348
     2770.945   0.005675929
     2771.336   0.006157481
     2771.726   0.006640638
     2772.115   0.007120049
     2772.505   0.007591856
     2772.894   0.008063439
     2773.284   0.008490621
     2773.672   0.008899264
     2774.062   0.009297328
     2774.452   0.009631104
     2774.844   0.009965975
     2775.233     0.0102259
     2775.624    0.01043654
     2776.014    0.01064257
     2776.404    0.01072433
     2776.794    0.01080605
     2777.184    0.01085364
     2777.575    0.01086307
     2777.965    0.01087249
     2778.355    0.01082172
     2778.746    0.01076502
     2779.136    0.01069904
     2779.527    0.01061563
     2779.918    0.01053226
     2780.309    0.01045159
     2780.699    0.01037173
      2781.09    0.01029707
     2781.481    0.01023979
     2781.874    0.01018229
     2782.264    0.01014286
     2782.656    0.01011194
     2783.047    0.01008343
     2783.436    0.01007268
     2783.827     0.0100619
     2784.219    0.01005958
      2784.61    0.01006393
     2785.001    0.01006829
     2785.394     0.0100759
