WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,nuvmama,f25qtz
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 6.213953E-18
PIVWV    r 2361.421
BANDW    r 422.6842
TPEAK    r 0.0260163
EQUVW    r 29.4468
RECTW    r 1131.859
EMFLX    r 7.033336E-15
        1451.            0.
     1451.294   4.028652E-5
     1451.587   8.052260E-5
     1451.881   1.209093E-4
     1452.174   1.837100E-4
     1452.469   2.623085E-4
     1452.763   3.405488E-4
     1453.057   4.202132E-4
     1453.352   5.047788E-4
     1453.645   5.891686E-4
      1453.94   6.738037E-4
     1454.234   7.575629E-4
     1454.528   8.413751E-4
     1454.823   9.252565E-4
     1455.118   0.001008742
     1455.412    0.00109156
     1455.706   0.001174172
     1456.001   0.001257087
     1456.295    0.00133843
      1456.59   0.001420043
     1456.886   0.001501724
      1457.18   0.001582196
     1457.475   0.001662297
      1457.77   0.001742463
     1458.066   0.001822275
      1458.36   0.001900428
     1458.656   0.001978839
     1458.951   0.002057314
     1459.246   0.002133855
     1459.542   0.002210297
     1459.837   0.002286582
     1460.132      0.002362
     1460.428   0.002436175
     1460.724   0.002510374
      1461.02   0.002584424
     1461.315   0.002655888
     1461.611   0.002727584
     1461.907   0.002799159
     1462.203   0.002868981
     1462.499   0.002937956
     1462.794   0.003006757
     1463.092   0.003075022
     1463.387   0.003140834
     1463.684    0.00320686
     1463.979   0.003272719
     1464.276   0.003335707
     1464.573   0.003398485
     1464.869   0.003461131
     1465.165   0.003522024
     1465.461   0.003581194
     1465.759   0.003640702
     1466.055   0.003699256
     1466.352   0.003755023
     1466.649   0.003810789
     1466.946    0.00386646
     1467.243    0.00391939
     1467.539   0.003971582
     1467.837   0.004023922
     1468.134   0.004074832
     1468.431   0.004123922
     1468.729   0.004173048
     1469.026   0.004221796
     1469.323   0.004267786
      1469.62   0.004313678
     1469.918   0.004359708
     1470.216   0.004403468
     1470.513   0.004446219
     1470.811   0.004489122
     1471.109   0.004530964
     1471.407   0.004570947
     1471.704   0.004610858
     1472.002   0.004650861
       1472.3   0.004688084
     1472.598   0.004725229
     1472.896    0.00476249
     1473.194   0.004797918
     1473.492   0.004832516
     1473.791   0.004867123
     1474.089   0.004900984
     1474.388   0.004933059
     1474.686    0.00496505
     1474.985   0.004997157
     1475.283   0.005026861
     1475.581   0.005056533
      1475.88   0.005086226
     1476.179   0.005114462
     1476.479    0.00514193
     1476.777   0.005169259
     1477.076   0.005196107
     1477.374   0.005221266
     1477.674   0.005246507
     1477.973   0.005271763
     1478.272   0.005295064
     1478.571    0.00531825
      1478.87   0.005341395
      1479.17   0.005363556
     1479.469   0.005384761
     1479.769   0.005406034
     1480.069   0.005426833
     1480.368    0.00544597
     1480.668   0.005465163
     1480.967   0.005484305
     1481.267   0.005501995
     1481.567   0.005519507
     1481.867   0.005537022
     1482.167    0.00555366
     1482.467   0.005569562
     1482.767   0.005585519
     1483.067   0.005601105
     1483.367   0.005615587
     1483.668   0.005630078
     1483.968   0.005644535
     1484.268   0.005657817
     1484.568   0.005670915
      1484.87   0.005684096
      1485.17   0.005696545
      1485.47   0.005708511
     1485.771    0.00572049
     1486.072   0.005732186
     1486.373    0.00574312
     1486.673   0.005754029
     1486.974   0.005764975
     1487.276    0.00577508
     1487.577   0.005785107
     1487.878   0.005795138
     1488.179   0.005804691
      1488.48   0.005813951
     1488.781   0.005823197
     1489.083   0.005832298
     1489.384   0.005840947
     1489.685   0.005849577
     1489.987   0.005858225
     1490.289   0.005866042
     1490.591   0.005873813
     1490.892   0.005881564
     1491.194   0.005889077
     1491.496    0.00589645
     1491.797   0.005903805
       1492.1   0.005911089
     1492.401   0.005918165
     1492.703   0.005925265
     1493.006   0.005932365
     1493.308   0.005939303
     1493.611   0.005946241
     1493.913   0.005953164
     1494.215   0.005960035
     1494.517   0.005966865
      1494.82   0.005973713
     1495.123   0.005980526
     1495.425   0.005987262
     1495.729    0.00599404
     1496.031   0.006000774
     1496.334   0.006007449
     1496.636   0.006014104
      1496.94   0.006020782
     1497.243   0.006027391
     1497.545   0.006033965
     1497.849   0.006040557
     1498.151   0.006047089
     1498.456    0.00605361
     1498.759   0.006060101
     1499.062   0.006066591
     1499.366   0.006073013
     1499.669   0.006079423
     1499.973   0.006085851
     1500.276   0.006092324
      1500.58    0.00609882
     1500.884   0.006105321
     1501.188    0.00611177
     1501.492   0.006118187
     1501.795    0.00612459
     1502.099   0.006130985
     1502.403   0.006137301
     1502.707   0.006143637
     1503.012   0.006149972
     1503.315   0.006156217
      1503.62   0.006162478
     1503.925   0.006168743
     1504.229   0.006174943
     1504.533   0.006181111
     1504.838   0.006187295
     1505.143   0.006193445
     1505.447   0.006199539
     1505.752   0.006205651
     1506.056   0.006211736
     1506.361   0.006217768
     1506.667   0.006223803
     1506.972   0.006229843
     1507.277    0.00623581
     1507.582   0.006241759
     1507.887   0.006247724
     1508.192   0.006253627
     1508.497   0.006259519
     1508.803   0.006265414
     1509.108   0.006271267
     1509.414   0.006277104
     1509.719   0.006282911
     1510.025   0.006288688
      1510.33   0.006294194
     1510.636   0.006299698
     1510.942   0.006305201
     1511.247   0.006310629
     1511.554   0.006316063
     1511.859    0.00632148
     1512.166   0.006326891
     1512.472   0.006332242
     1512.778   0.006337608
     1513.085   0.006342955
      1513.39   0.006348239
     1513.697   0.006353533
     1514.004   0.006358829
     1514.309   0.006364043
     1514.616   0.006369273
     1514.923   0.006374502
      1515.23   0.006379683
     1515.536   0.006384829
     1515.843   0.006389992
      1516.15    0.00639511
     1516.457   0.006400207
     1516.764   0.006405307
      1517.07   0.006410377
     1517.378    0.00641541
     1517.685   0.006420444
     1517.993    0.00642548
     1518.299   0.006430439
     1518.607   0.006435407
     1518.915   0.006440379
     1519.221   0.006445291
     1519.529   0.006450194
     1519.836   0.006455088
     1520.144   0.006459607
     1520.452   0.006463872
      1520.76   0.006468074
     1521.068   0.006472265
     1521.376     0.0064764
     1521.684   0.006480545
     1521.992   0.006484692
       1522.3   0.006488762
     1522.608   0.006492846
     1522.916   0.006496916
     1523.225   0.006500963
     1523.533   0.006504971
     1523.841   0.006508993
     1524.149   0.006512973
     1524.458   0.006516935
     1524.767   0.006520898
     1525.075   0.006524834
     1525.384   0.006528738
     1525.692   0.006532631
     1526.002   0.006536547
      1526.31   0.006540385
      1526.62   0.006544234
     1526.929   0.006548084
     1527.237   0.006551878
     1527.547   0.006555668
     1527.855    0.00655945
     1528.165   0.006563212
     1528.475   0.006566952
     1528.784   0.006570691
     1529.094   0.006574414
     1529.403   0.006578092
     1529.713   0.006581779
     1530.023   0.006585417
     1530.332    0.00658887
     1530.642   0.006592299
     1530.951    0.00659572
     1531.261   0.006599106
     1531.572   0.006602484
     1531.882    0.00660586
