WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t stis,nuvmama,f25srf2
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 5.838036E-18
PIVWV    r 2306.378
BANDW    r 481.6373
TPEAK    r 0.02686201
EQUVW    r 31.92801
RECTW    r 1188.593
EMFLX    r 6.958812E-15
        1150.   7.603052E-9
     1150.259   7.919988E-9
     1150.519   8.257629E-9
     1150.779   8.602447E-9
     1151.038   8.954278E-9
     1151.299   9.314078E-9
     1151.558   9.680233E-9
     1151.818   1.005235E-8
     1152.078   1.043254E-8
     1152.338   1.081994E-8
     1152.598   1.121438E-8
     1152.858   1.161604E-8
     1153.118   1.202474E-8
     1153.378   1.244068E-8
     1153.639   1.286468E-8
     1153.899   1.329473E-8
      1154.16   1.373225E-8
      1154.42   1.417662E-8
     1154.681   1.462825E-8
     1154.941   1.508718E-8
     1155.202   1.555316E-8
     1155.462   1.602622E-8
     1155.723   1.650650E-8
     1155.984   1.699384E-8
     1156.245   1.748848E-8
     1156.506   1.799045E-8
     1156.767   1.849950E-8
     1157.028   1.901564E-8
     1157.289   1.953912E-8
      1157.55   2.006969E-8
     1157.811   2.060761E-8
     1158.072   2.115263E-8
     1158.334   2.170631E-8
     1158.596   2.226608E-8
     1158.857   2.283270E-8
     1159.119   2.340698E-8
      1159.38   2.398810E-8
     1159.642   2.457688E-8
     1159.903   2.517153E-8
     1160.165   2.596744E-8
     1160.427   2.688988E-8
     1160.689   2.782965E-8
     1160.951   2.878228E-8
     1161.213   2.974950E-8
     1161.475   3.073132E-8
     1161.737   3.172866E-8
     1161.999   3.274016E-8
     1162.261   3.376674E-8
     1162.524   3.480844E-8
     1162.786   3.586477E-8
     1163.049   3.693825E-8
     1163.311   3.802187E-8
     1163.573   3.912314E-8
     1163.836   4.023909E-8
     1164.099   4.136971E-8
     1164.361   4.251552E-8
     1164.624   4.367594E-8
     1164.887   4.485154E-8
      1165.15   4.604238E-8
     1165.413   4.725073E-8
     1165.676   4.847102E-8
     1165.939   4.970658E-8
     1166.202   5.095687E-8
     1166.465   5.222246E-8
     1166.729   5.350278E-8
     1166.992   5.479845E-8
     1167.255   5.610886E-8
     1167.519   5.743463E-8
     1167.782   5.877518E-8
     1168.046   6.013111E-8
     1168.309   6.150182E-8
     1168.573   6.288794E-8
     1168.837   6.428885E-8
       1169.1   6.570517E-8
     1169.364   6.713616E-8
     1169.628   6.858265E-8
     1169.892   7.004397E-8
     1170.157   7.209663E-8
     1170.421   7.454332E-8
     1170.685   7.703516E-8
     1170.949   7.956469E-8
     1171.213   8.212243E-8
     1171.477   8.472263E-8
     1171.741   8.735942E-8
     1172.006   9.003163E-8
      1172.27   9.273926E-8
     1172.535   9.548997E-8
       1172.8   9.827112E-8
     1173.064   1.010878E-7
     1173.329   1.039399E-7
     1173.594   1.068288E-7
     1173.859   1.097544E-7
     1174.124   1.127155E-7
     1174.389   1.157122E-7
     1174.654   1.187458E-7
     1174.919   1.218165E-7
     1175.184   1.249227E-7
     1175.449   1.280646E-7
     1175.714   1.312435E-7
     1175.979   1.344581E-7
     1176.245   1.377099E-7
      1176.51   1.409988E-7
     1176.776   1.443220E-7
     1177.041   1.476839E-7
     1177.308   1.510895E-7
     1177.573   1.545230E-7
     1177.839   1.579939E-7
     1178.105   1.615005E-7
     1178.371   1.650443E-7
     1178.637   1.686255E-7
     1178.902   1.722409E-7
     1179.169   1.758956E-7
     1179.434   1.795758E-7
       1179.7   1.833021E-7
     1179.967   1.870808E-7
     1180.233   1.926661E-7
       1180.5   1.985708E-7
     1180.766   2.045452E-7
     1181.032   2.105810E-7
     1181.299   2.166866E-7
     1181.565   2.228535E-7
     1181.832   2.290904E-7
     1182.099   2.354062E-7
     1182.366   2.417719E-7
     1182.633   2.482020E-7
     1182.899   2.546842E-7
     1183.166   2.612485E-7
     1183.433   2.678772E-7
       1183.7   2.745735E-7
     1183.967   2.813343E-7
     1184.234   2.881627E-7
     1184.502   2.950556E-7
      1184.77   3.020323E-7
     1185.037   3.090578E-7
     1185.304   3.161479E-7
     1185.572   3.233092E-7
     1185.839   3.305320E-7
     1186.107   3.378227E-7
     1186.375   3.451816E-7
     1186.642   3.526052E-7
      1186.91   3.600971E-7
     1187.178   3.676539E-7
     1187.446   3.752752E-7
     1187.714   3.829649E-7
     1187.982   3.907229E-7
      1188.25   3.985459E-7
     1188.518   4.064376E-7
     1188.786   4.143943E-7
     1189.054   4.224160E-7
     1189.323   4.305065E-7
     1189.592   4.386845E-7
      1189.86   4.469258E-7
     1190.129   4.577078E-7
     1190.397   4.713358E-7
     1190.666   4.850907E-7
     1190.935   4.989789E-7
     1191.203   5.129688E-7
     1191.472   5.271174E-7
      1191.74   5.413933E-7
      1192.01   5.558357E-7
     1192.279   5.703792E-7
     1192.548   5.850503E-7
     1192.817   5.998554E-7
     1193.086   6.147881E-7
     1193.355   6.298484E-7
     1193.625   6.450433E-7
     1193.894   6.603726E-7
     1194.164   6.758298E-7
     1194.433   6.914148E-7
     1194.703   7.071346E-7
     1194.972   7.229897E-7
     1195.242   7.389727E-7
     1195.511   7.550837E-7
     1195.781   7.713301E-7
     1196.051   7.877047E-7
     1196.321   8.042149E-7
     1196.591   8.208606E-7
     1196.862   8.376726E-7
     1197.132   8.545830E-7
     1197.402   8.716218E-7
     1197.672   8.887891E-7
     1197.942   9.060929E-7
     1198.213   9.235329E-7
     1198.483   9.411017E-7
     1198.753   9.587991E-7
     1199.024   9.766334E-7
     1199.295   9.946048E-7
     1199.565   1.012705E-6
     1199.836   1.030881E-6
     1200.107   1.053498E-6
     1200.377   1.082707E-6
     1200.648   1.112097E-6
     1200.919   1.141669E-6
      1201.19   1.171437E-6
     1201.461   1.201399E-6
     1201.733   1.231612E-6
     1202.004   1.261939E-6
     1202.275   1.292462E-6
     1202.547   1.323182E-6
     1202.818   1.354083E-6
     1203.089   1.385097E-6
      1203.36   1.416377E-6
     1203.632   1.447854E-6
     1203.904   1.479513E-6
     1204.176   1.511428E-6
     1204.448   1.543468E-6
     1204.719   1.575705E-6
     1204.991   1.608125E-6
     1205.263   1.640729E-6
     1205.535   1.673530E-6
     1205.807   1.706530E-6
     1206.079   1.739712E-6
     1206.351   1.773093E-6
     1206.624   1.806658E-6
     1206.896   1.840406E-6
     1207.168   1.874352E-6
     1207.441   1.908498E-6
     1207.713   1.942828E-6
     1207.986   1.977342E-6
     1208.258   2.012055E-6
     1208.531   2.046968E-6
     1208.804   2.082065E-6
     1209.077   2.117442E-6
      1209.35   2.152923E-6
     1209.623   2.188606E-6
     1209.896   2.224487E-6
     1210.169   2.276766E-6
     1210.442   2.339453E-6
     1210.715   2.402532E-6
     1210.988   2.465978E-6
     1211.261   2.529816E-6
     1211.535   2.594020E-6
