WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f300w
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 6.137463E-17
PIVWV    r 2992.787
BANDW    r 325.4557
TPEAK    r 0.002766136
EQUVW    r 2.374097
RECTW    r 858.2719
EMFLX    r 6.051428E-14
        2220.  2.369083E-12
     2220.355  7.891479E-11
     2220.711  1.558685E-10
     2221.066  2.328080E-10
     2221.422  3.101564E-10
     2221.778  3.877562E-10
     2222.134  4.655541E-10
     2222.489  5.432826E-10
     2222.844  6.212083E-10
     2223.201  6.996539E-10
     2223.556  7.780287E-10
     2223.912  8.568716E-10
     2224.268  9.356423E-10
     2224.624   1.014937E-9
     2224.981   1.094431E-9
     2225.338   1.174125E-9
     2225.693   1.253745E-9
     2226.049   1.333563E-9
     2226.406   1.413910E-9
     2226.761   1.494181E-9
     2227.118   1.574928E-9
     2227.474   1.655654E-9
     2227.831   1.736801E-9
     2228.188   1.818205E-9
     2228.544   1.899530E-9
     2228.902   1.981392E-9
     2229.258   2.063117E-9
     2229.615   2.145381E-9
     2229.971   2.227564E-9
     2230.329   2.648194E-9
     2230.685   3.097643E-9
     2231.043   3.550043E-9
       2231.4   4.003547E-9
     2231.757   4.456605E-9
     2232.115   4.912631E-9
     2232.471   5.367891E-9
     2232.829   5.826130E-9
     2233.186   6.283908E-9
     2233.544   6.744677E-9
     2233.901   7.204666E-9
     2234.259   7.667654E-9
     2234.617   8.131756E-9
     2234.974   8.595699E-9
     2235.332   9.062026E-9
     2235.689   9.528190E-9
     2236.048   9.997063E-9
     2236.405   1.046577E-8
     2236.764   1.093687E-8
     2237.121   1.140780E-8
      2237.48   1.188147E-8
     2237.838   1.235625E-8
     2238.196   1.283052E-8
     2238.555   1.330787E-8
     2238.912   1.378471E-8
     2239.271   1.426429E-8
     2239.629   1.474370E-8
     2239.988   1.522553E-8
     2240.346   1.587484E-8
     2240.705   1.653368E-8
     2241.064   1.719449E-8
     2241.422   1.785412E-8
     2241.782   1.851796E-8
      2242.14   1.918107E-8
     2242.499   1.984795E-8
     2242.858   2.051453E-8
     2243.217   2.118491E-8
     2243.576   2.185453E-8
     2243.934   2.252567E-8
     2244.295   2.320291E-8
     2244.654   2.387755E-8
     2245.013   2.455601E-8
     2245.372   2.523369E-8
     2245.732   2.591521E-8
     2246.091   2.659641E-8
     2246.451   2.728145E-8
      2246.81   2.796570E-8
     2247.169   2.865148E-8
      2247.53   2.934392E-8
     2247.889   3.003324E-8
      2248.25   3.072643E-8
     2248.609   3.141880E-8
     2248.969   3.211554E-8
     2249.329   3.281099E-8
     2249.688   3.350844E-8
     2250.049   3.450491E-8
     2250.408   3.737672E-8
      2250.77   4.027647E-8
      2251.13   4.316310E-8
     2251.491   4.606595E-8
      2251.85   4.896542E-8
     2252.211   5.188316E-8
     2252.571   5.479745E-8
     2252.931   5.771820E-8
     2253.292   6.065530E-8
     2253.652   6.359091E-8
     2254.015   6.655294E-8
     2254.375   6.950150E-8
     2254.736   7.246652E-8
     2255.097   7.543000E-8
     2255.457   7.839795E-8
     2255.818   8.138445E-8
     2256.179   8.436935E-8
     2256.541   8.736890E-8
     2256.901   9.036680E-8
     2257.264   9.339155E-8
     2257.625   9.640249E-8
     2257.987   9.943216E-8
     2258.347   1.024561E-7
     2258.708   1.054886E-7
      2259.07   1.085379E-7
     2259.431   1.115855E-7
     2259.793   1.146479E-7
     2260.155   1.191722E-7
     2260.517   1.256864E-7
     2260.879   1.322189E-7
      2261.24   1.387390E-7
     2261.603   1.452993E-7
     2261.964   1.518514E-7
     2262.327   1.584396E-7
     2262.688   1.650239E-7
     2263.051   1.716400E-7
     2263.413   1.782521E-7
     2263.777   1.849274E-7
     2264.138   1.915674E-7
       2264.5   1.982258E-7
     2264.863   2.049207E-7
     2265.225   2.116070E-7
     2265.588   2.183299E-7
      2265.95   2.250486E-7
     2266.313   2.318041E-7
     2266.676   2.385509E-7
     2267.039   2.453344E-7
     2267.402   2.521365E-7
     2267.765   2.589299E-7
     2268.128   2.657603E-7
      2268.49   2.725817E-7
     2268.854   2.794448E-7
     2269.217   2.862990E-7
     2269.581   2.931903E-7
     2269.943   3.000726E-7
     2270.307   3.162365E-7
     2270.671   3.341608E-7
     2271.034   3.520617E-7
     2271.398   3.700596E-7
     2271.761   3.880458E-7
     2272.125   4.061295E-7
     2272.488   4.241769E-7
     2272.852   4.423464E-7
     2273.215   4.604796E-7
      2273.58   4.787229E-7
     2273.944   4.970032E-7
     2274.308   5.152590E-7
     2274.672   5.336133E-7
     2275.036   5.519552E-7
       2275.4   5.703958E-7
     2275.764   5.888115E-7
     2276.129   6.073262E-7
     2276.492   6.258284E-7
     2276.857   6.444174E-7
     2277.222   6.630557E-7
     2277.586   6.816817E-7
     2277.951   7.003946E-7
     2278.315   7.190945E-7
      2278.68   7.378944E-7
     2279.044   7.566688E-7
      2279.41   7.755559E-7
     2279.774   7.944046E-7
     2280.138   8.185326E-7
     2280.505   8.515142E-7
     2280.869   8.843194E-7
     2281.235   9.173210E-7
       2281.6   9.502770E-7
     2281.965   9.834083E-7
      2282.33   1.016494E-6
     2282.695   1.049666E-6
     2283.061   1.083014E-6
     2283.425   1.116316E-6
     2283.792   1.149906E-6
     2284.157   1.183360E-6
     2284.524   1.216991E-6
     2284.889   1.250575E-6
     2285.255   1.284337E-6
      2285.62   1.318051E-6
     2285.985   1.351853E-6
     2286.352   1.385833E-6
     2286.717   1.419765E-6
     2287.085   1.454012E-6
      2287.45   1.488097E-6
     2287.817   1.522362E-6
     2288.182   1.556578E-6
     2288.548   1.590859E-6
     2288.915   1.625344E-6
     2289.281   1.659779E-6
     2289.647   1.694395E-6
     2290.013   1.730356E-6
     2290.382   1.802897E-6
     2290.748   1.875143E-6
     2291.115   1.947767E-6
     2291.481   2.020337E-6
     2291.847   2.092995E-6
     2292.214   2.166083E-6
     2292.581   2.239067E-6
     2292.948   2.312481E-6
     2293.314   2.385740E-6
     2293.683   2.459677E-6
      2294.05   2.533263E-6
     2294.417   2.607036E-6
     2294.784   2.681144E-6
     2295.151   2.755195E-6
     2295.519   2.829631E-6
     2295.885   2.903960E-6
     2296.254   2.978849E-6
      2296.62   3.053644E-6
      2296.99   3.129186E-6
     2297.357   3.204327E-6
     2297.724   3.279616E-6
     2298.092   3.355355E-6
     2298.459   3.430992E-6
     2298.828   3.507030E-6
     2299.195   3.582964E-6
     2299.564   3.659352E-6
     2299.931   3.735634E-6
       2300.3   3.844461E-6
     2300.669   3.960967E-6
     2301.036   4.077238E-6
     2301.405   4.194202E-6
     2301.773   4.311005E-6
     2302.142   4.428504E-6
      2302.51   4.545764E-6
     2302.879   4.663720E-6
     2303.247   4.781514E-6
     2303.616   4.900008E-6
