WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f502n
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 3.004924E-16
PIVWV    r 5013.257
BANDW    r 48.2887
TPEAK    r 0.008138288
EQUVW    r 0.2914694
RECTW    r 35.81459
EMFLX    r 1.092269E-14
        1850.   4.400298E-9
      1850.33   4.424735E-9
     1850.659   4.449182E-9
     1850.989   4.473740E-9
     1851.319   4.498346E-9
      1851.65   4.522990E-9
      1851.98   4.547672E-9
      1852.31   4.572401E-9
      1852.64   4.597105E-9
     1852.971   4.621920E-9
     1853.301   4.646773E-9
     1853.631   4.671600E-9
     1853.962   4.696549E-9
     1854.292   4.721535E-9
     1854.623   4.746562E-9
     1854.954   4.771634E-9
     1855.284   4.796672E-9
     1855.615   4.821831E-9
     1855.946   4.847031E-9
     1856.276   4.872202E-9
     1856.608   4.897487E-9
     1856.939   4.922820E-9
     1857.269   4.948117E-9
     1857.602   4.973611E-9
     1857.933   4.999079E-9
     1858.264   5.024503E-9
     1858.595   5.050048E-9
     1858.927   5.075642E-9
     1859.258   5.101200E-9
     1859.589   5.126882E-9
     1859.921   5.152603E-9
     1860.252   5.095847E-9
     1860.585   5.012608E-9
     1860.917   4.929458E-9
     1861.248   4.846428E-9
      1861.58   4.762937E-9
     1861.912   4.679291E-9
     1862.243   4.595735E-9
     1862.576   4.511716E-9
     1862.908   4.427573E-9
      1863.24   4.343490E-9
     1863.573   4.258723E-9
     1863.904   4.174330E-9
     1864.237   4.089468E-9
      1864.57   4.004450E-9
     1864.901   3.919525E-9
     1865.234   3.834162E-9
     1865.567   3.748612E-9
     1865.899   3.663186E-9
     1866.232   3.577290E-9
     1866.566   3.490983E-9
     1866.898   3.405024E-9
     1867.231   3.318622E-9
     1867.564   3.232063E-9
     1867.896   3.145568E-9
      1868.23   3.058661E-9
     1868.563   2.971563E-9
     1868.895   2.884564E-9
     1869.229   2.797117E-9
     1869.562   2.709512E-9
     1869.896   2.621716E-9
      1870.23   2.618157E-9
     1870.563   2.652864E-9
     1870.896   2.687528E-9
      1871.23   2.722354E-9
     1871.564   2.757264E-9
     1871.897   2.792119E-9
     1872.231   2.827147E-9
     1872.565   2.862249E-9
     1872.899   2.897410E-9
     1873.233   2.932644E-9
     1873.566   2.967834E-9
     1873.901   3.003186E-9
     1874.235   3.038612E-9
     1874.568   3.074006E-9
     1874.903   3.109564E-9
     1875.237   3.145182E-9
     1875.572   3.180873E-9
     1875.907   3.216638E-9
     1876.241   3.252462E-9
     1876.575   3.288242E-9
      1876.91   3.324200E-9
     1877.245   3.360231E-9
     1877.579   3.396204E-9
     1877.914   3.432370E-9
     1878.249   3.468595E-9
     1878.584   3.504882E-9
     1878.919   3.541242E-9
     1879.254   3.577182E-9
     1879.589   3.613175E-9
     1879.924   3.649230E-9
      1880.26   3.674809E-9
     1880.594   3.697288E-9
      1880.93   3.719870E-9
     1881.265   3.742484E-9
     1881.601   3.765138E-9
     1881.937   3.787821E-9
     1882.272   3.810478E-9
     1882.607   3.833232E-9
     1882.943   3.856024E-9
     1883.278   3.878781E-9
     1883.614   3.901643E-9
      1883.95   3.924537E-9
     1884.286   3.947394E-9
     1884.623   3.970433E-9
     1884.959   3.993436E-9
     1885.294   4.016403E-9
     1885.631   4.039475E-9
     1885.967   4.062580E-9
     1886.303   4.085648E-9
     1886.639   4.108822E-9
     1886.976   4.132036E-9
     1887.312   4.155214E-9
     1887.648   4.178498E-9
     1887.985   4.201813E-9
     1888.322   4.225168E-9
     1888.659   4.248554E-9
     1888.995   4.271903E-9
     1889.332   4.295360E-9
     1889.669   4.318856E-9
     1890.006   4.341360E-9
     1890.343   4.310547E-9
     1890.681   4.279481E-9
     1891.017   4.248552E-9
     1891.355   4.217470E-9
     1891.692   4.186325E-9
     1892.029   4.155218E-9
     1892.366   4.123967E-9
     1892.704   4.092640E-9
     1893.041   4.061365E-9
     1893.378   4.029933E-9
     1893.716   3.998449E-9
     1894.054   3.966901E-9
     1894.392   3.935289E-9
      1894.73   3.903624E-9
     1895.067   3.871998E-9
     1895.405   3.840215E-9
     1895.744   3.808369E-9
     1896.081   3.776573E-9
     1896.419   3.744609E-9
     1896.757   3.712592E-9
     1897.096   3.680510E-9
     1897.434   3.648375E-9
     1897.772   3.616280E-9
     1898.111   3.584028E-9
     1898.449   3.551722E-9
     1898.787   3.519445E-9
     1899.126   3.487022E-9
     1899.465   3.454533E-9
     1899.802   3.422085E-9
     1900.143   3.397187E-9
     1900.482   3.383127E-9
      1900.82   3.369075E-9
     1901.159   3.354958E-9
     1901.498   3.340810E-9
     1901.836   3.326677E-9
     1902.176   3.312473E-9
     1902.515   3.298238E-9
     1902.854   3.284023E-9
     1903.194   3.269691E-9
     1903.534   3.255374E-9
     1903.872   3.241071E-9
     1904.212   3.226698E-9
     1904.552   3.212298E-9
     1904.891   3.197909E-9
      1905.23   3.183452E-9
      1905.57   3.168965E-9
     1905.909   3.154494E-9
      1906.25   3.139908E-9
      1906.59   3.125380E-9
      1906.93   3.110779E-9
      1907.27   3.096147E-9
     1907.609   3.081536E-9
      1907.95   3.066852E-9
      1908.29   3.052136E-9
     1908.631   3.037390E-9
      1908.97   3.022666E-9
     1909.312   3.007820E-9
     1909.651   2.993038E-9
     1909.992   2.978178E-9
     1910.333   2.979903E-9
     1910.673   2.982005E-9
     1911.014   2.984115E-9
     1911.355   2.986225E-9
     1911.695   2.988328E-9
     1912.036   2.990438E-9
     1912.378   2.992556E-9
     1912.718   2.994661E-9
      1913.06   2.996772E-9
     1913.401   2.998884E-9
     1913.741   3.000989E-9
     1914.083   3.003102E-9
     1914.424   3.005215E-9
     1914.765   3.007322E-9
     1915.107   3.009435E-9
     1915.448   3.011549E-9
      1915.79   3.013664E-9
     1916.132   3.015779E-9
     1916.473   3.017887E-9
     1916.815   3.020002E-9
     1917.157   3.022118E-9
     1917.498   3.024228E-9
      1917.84   3.026344E-9
     1918.182   3.028460E-9
     1918.524   3.030578E-9
     1918.867   3.032695E-9
     1919.209   3.034813E-9
     1919.551   3.036925E-9
     1919.893   3.039043E-9
     1920.236   3.060596E-9
     1920.577   3.090922E-9
      1920.92   3.121399E-9
     1921.263   3.151921E-9
     1921.605   3.182486E-9
     1921.948   3.213107E-9
     1922.291   3.243772E-9
     1922.633   3.274394E-9
     1922.976   3.305168E-9
     1923.319   3.335987E-9
     1923.661   3.366752E-9
     1924.005   3.397671E-9
     1924.348   3.428645E-9
     1924.692   3.459663E-9
     1925.035   3.490726E-9
     1925.377   3.521744E-9
     1925.721   3.552918E-9
     1926.064   3.584124E-9
     1926.407   3.615298E-9
     1926.751   3.646615E-9
     1927.095   3.677989E-9
     1927.438   3.709306E-9
     1927.782   3.740869E-9
