WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f547m
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 7.691164E-18
PIVWV    r 5483.873
BANDW    r 205.5184
TPEAK    r 0.01630851
EQUVW    r 10.40373
RECTW    r 637.9322
EMFLX    r 4.990218E-15
        1850.  3.293559E-10
      1850.33  3.296481E-10
     1850.659  3.299402E-10
     1850.989  3.302333E-10
     1851.319  3.305266E-10
      1851.65  3.308200E-10
      1851.98  3.311136E-10
      1852.31  3.314073E-10
      1852.64  3.317004E-10
     1852.971  3.319945E-10
     1853.301  3.322887E-10
     1853.631  3.325823E-10
     1853.962  3.328769E-10
     1854.292  3.331717E-10
     1854.623  3.334666E-10
     1854.954  3.337617E-10
     1855.284  3.340561E-10
     1855.615  3.343515E-10
     1855.946  3.346471E-10
     1856.276  3.349421E-10
     1856.608  3.352379E-10
     1856.939  3.355341E-10
     1857.269  3.358294E-10
     1857.602  3.361267E-10
     1857.933  3.364234E-10
     1858.264  3.367193E-10
     1858.595  3.370163E-10
     1858.927  3.373134E-10
     1859.258  3.376098E-10
     1859.589  3.379073E-10
     1859.921  3.382050E-10
     1860.252  3.479760E-10
     1860.585  3.608167E-10
     1860.917  3.736423E-10
     1861.248  3.864478E-10
      1861.58  3.993232E-10
     1861.912  4.122211E-10
     1862.243  4.251035E-10
     1862.576  4.380560E-10
     1862.908  4.510263E-10
      1863.24  4.639859E-10
     1863.573  4.770493E-10
     1863.904  4.900541E-10
     1864.237  5.031294E-10
      1864.57  5.162274E-10
     1864.901  5.293098E-10
     1865.234  5.424580E-10
     1865.567  5.556341E-10
     1865.899  5.687891E-10
     1866.232  5.820155E-10
     1866.566  5.953038E-10
     1866.898  6.085371E-10
     1867.231  6.218367E-10
     1867.564  6.351596E-10
     1867.896  6.484712E-10
      1868.23  6.618447E-10
     1868.563  6.752460E-10
     1868.895  6.886313E-10
     1869.229  7.020834E-10
     1869.562  7.155588E-10
     1869.896  7.290622E-10
      1870.23  7.665205E-10
     1870.563  8.149127E-10
     1870.896  8.632490E-10
      1871.23  9.118135E-10
     1871.564  9.605001E-10
     1871.897   1.009113E-9
     1872.231   1.057972E-9
     1872.565   1.106936E-9
     1872.899   1.155987E-9
     1873.233   1.205143E-9
     1873.566   1.254241E-9
     1873.901   1.303570E-9
     1874.235   1.353005E-9
     1874.568   1.402400E-9
     1874.903   1.452026E-9
     1875.237   1.501741E-9
     1875.572   1.551560E-9
     1875.907   1.601486E-9
     1876.241   1.651499E-9
     1876.575   1.701453E-9
      1876.91   1.751660E-9
     1877.245   1.801972E-9
     1877.579   1.852207E-9
     1877.914   1.902714E-9
     1878.249   1.953309E-9
     1878.584   2.003992E-9
     1878.919   2.054782E-9
     1879.254   2.105292E-9
     1879.589   2.155974E-9
     1879.924   2.206749E-9
      1880.26   2.468343E-9
     1880.594   2.790844E-9
      1880.93   3.114899E-9
     1881.265   3.439448E-9
     1881.601   3.764612E-9
     1881.937   4.090271E-9
     1882.272   4.415595E-9
     1882.607   4.742364E-9
     1882.943   5.069749E-9
     1883.278   5.396676E-9
     1883.614   5.725172E-9
      1883.95   6.054165E-9
     1884.286   6.382699E-9
     1884.623   6.713885E-9
     1884.959   7.044614E-9
     1885.294   7.374878E-9
     1885.631   7.706721E-9
     1885.967   8.039064E-9
     1886.303   8.370939E-9
     1886.639   8.704400E-9
     1886.976   9.038485E-9
     1887.312   9.372096E-9
     1887.648   9.707298E-9
     1887.985   1.004300E-8
     1888.322   1.037933E-8
     1888.659   1.071616E-8
     1888.995   1.105251E-8
     1889.332   1.139046E-8
     1889.669   1.172904E-8
     1890.006   1.205558E-8
     1890.343   1.172915E-8
     1890.681   1.140007E-8
     1891.017   1.107249E-8
     1891.355   1.074331E-8
     1891.692   1.041350E-8
     1892.029   1.008413E-8
     1892.366   9.753282E-9
     1892.704   9.421671E-9
     1893.041   9.090623E-9
     1893.378   8.757973E-9
     1893.716   8.424800E-9
     1894.054   8.090986E-9
     1894.392   7.756529E-9
      1894.73   7.421548E-9
     1895.067   7.087015E-9
     1895.405   6.750869E-9
     1895.744   6.414076E-9
     1896.081   6.077858E-9
     1896.419   5.739899E-9
     1896.757   5.401416E-9
     1897.096   5.062284E-9
     1897.434   4.722628E-9
     1897.772   4.383429E-9
     1898.111   4.042601E-9
     1898.449   3.701247E-9
     1898.787   3.360230E-9
     1899.126   3.017702E-9
     1899.465   2.674524E-9
     1899.802   2.331811E-9
     1900.143   2.106864E-9
     1900.482   2.048845E-9
      1900.82   1.990880E-9
     1901.159   1.932657E-9
     1901.498   1.874318E-9
     1901.836   1.816056E-9
     1902.176   1.757512E-9
     1902.515   1.698854E-9
     1902.854   1.640294E-9
     1903.194   1.581260E-9
     1903.534   1.522302E-9
     1903.872   1.463421E-9
     1904.212   1.404256E-9
     1904.552   1.344999E-9
     1904.891   1.285798E-9
      1905.23   1.226332E-9
      1905.57   1.166753E-9
     1905.909   1.107251E-9
      1906.25   1.047292E-9
      1906.59  9.875832E-10
      1906.93  9.275875E-10
      1907.27  8.674766E-10
     1907.609  8.074666E-10
      1907.95  7.471688E-10
      1908.29  6.867557E-10
     1908.631  6.262273E-10
      1908.97  5.658008E-10
     1909.312  5.048891E-10
     1909.651  4.442538E-10
     1909.992  3.833067E-10
     1910.333  5.151404E-10
     1910.673  6.511953E-10
     1911.014  7.879508E-10
     1911.355  9.249677E-10
     1911.695   1.061755E-9
     1912.036   1.199197E-9
     1912.378   1.337344E-9
     1912.718   1.474866E-9
      1913.06   1.612996E-9
     1913.401   1.751437E-9
     1913.741   1.889645E-9
     1914.083   2.028513E-9
     1914.424   2.167644E-9
     1914.765   2.306589E-9
     1915.107   2.446196E-9
     1915.448   2.586017E-9
      1915.79   2.726102E-9
     1916.132   2.866450E-9
     1916.473   3.006563E-9
     1916.815   3.147339E-9
     1917.157   3.288380E-9
     1917.498   3.429234E-9
      1917.84   3.570754E-9
     1918.182   3.712489E-9
     1918.524   3.854491E-9
     1918.867   3.996707E-9
     1919.209   4.139188E-9
     1919.551   4.281478E-9
     1919.893   4.424441E-9
     1920.236   4.818488E-9
     1920.577   5.325650E-9
      1920.92   5.835413E-9
     1921.263   6.345964E-9
     1921.605   6.857305E-9
     1921.948   7.369619E-9
     1922.291   7.882722E-9
     1922.633   8.395152E-9
     1922.976   8.910201E-9
     1923.319   9.426040E-9
     1923.661   9.941020E-9
     1924.005   1.045863E-8
     1924.348   1.097721E-8
     1924.692   1.149659E-8
     1925.035   1.201677E-8
     1925.377   1.253625E-8
     1925.721   1.305838E-8
     1926.064   1.358111E-8
     1926.407   1.410335E-8
     1926.751   1.462805E-8
     1927.095   1.515373E-8
     1927.438   1.567853E-8
     1927.782   1.620749E-8
