WAVELENGTH       R          %15.7g  angstroms
THROUGHPUT       R          %15.7g  ""
GRFTABLE t mtab$o4g13576m_tmg.fits
CMPTABLE t mtab$o9k1612hm_tmc.fits
EXPR     t wfpc2,a2d7,1,f785lp
APERAREA r 45238.93
ZEROPT   r -21.1
URESP    r 4.727259E-18
PIVWV    r 8686.312
BANDW    r 578.1899
TPEAK    r 0.006783323
EQUVW    r 10.66919
RECTW    r 1572.855
EMFLX    r 8.155447E-15
        1870.            0.
     1870.331  3.221206E-11
     1870.662  6.441044E-11
     1870.994  9.678544E-11
     1871.325  1.292184E-10
     1871.657  1.617213E-10
     1871.989  1.942821E-10
     1872.321  2.269011E-10
     1872.653  2.595902E-10
     1872.984  2.922410E-10
     1873.316  3.250583E-10
     1873.649  3.579461E-10
      1873.98  3.907832E-10
     1874.312  4.237874E-10
     1874.646  4.569718E-10
     1874.977  4.900080E-10
      1875.31  5.232121E-10
     1875.642  5.564750E-10
     1875.975  5.898086E-10
     1876.306  6.231031E-10
     1876.639  6.565540E-10
     1876.972  6.900884E-10
     1877.304  7.235710E-10
     1877.638  7.573340E-10
     1877.971  7.910455E-10
     1878.303  8.247292E-10
     1878.636  8.585831E-10
     1878.969  8.924965E-10
     1879.301  9.262544E-10
     1879.634  9.601626E-10
     1879.968  9.941333E-10
     1880.301  9.981211E-10
     1880.635  9.988846E-10
     1880.968  9.996481E-10
     1881.302   1.000412E-9
     1881.634   1.001174E-9
     1881.968   1.001938E-9
     1882.302   1.002702E-9
     1882.634   1.003465E-9
     1882.968   1.004230E-9
     1883.302   1.004995E-9
     1883.636   1.005761E-9
      1883.97   1.006526E-9
     1884.304   1.007292E-9
     1884.638   1.008059E-9
     1884.972   1.008823E-9
     1885.306   1.009590E-9
      1885.64   1.010356E-9
     1885.974   1.011121E-9
     1886.308   1.011889E-9
     1886.643   1.012659E-9
     1886.977   1.013424E-9
     1887.312   1.014193E-9
     1887.646   1.014961E-9
     1887.981   1.015730E-9
     1888.315   1.016496E-9
      1888.65   1.017265E-9
     1888.985   1.018035E-9
     1889.319   1.018802E-9
     1889.655   1.019574E-9
      1889.99   1.020344E-9
     1890.324   1.021125E-9
     1890.659   1.021910E-9
     1890.994   1.022694E-9
     1891.329   1.023476E-9
     1891.664   1.024261E-9
        1892.   1.025046E-9
     1892.335   1.025831E-9
     1892.671   1.026617E-9
     1893.006   1.027403E-9
     1893.342   1.028189E-9
     1893.677   1.028973E-9
     1894.013   1.029759E-9
     1894.348   1.030546E-9
     1894.683   1.031331E-9
     1895.019   1.032118E-9
     1895.355   1.032906E-9
     1895.692   1.033694E-9
     1896.028   1.034482E-9
     1896.364   1.035270E-9
       1896.7   1.036059E-9
     1897.036   1.036845E-9
     1897.372   1.037634E-9
     1897.708   1.038424E-9
     1898.044   1.039211E-9
      1898.38   1.040000E-9
     1898.718   1.040793E-9
     1899.054   1.041581E-9
     1899.391   1.042371E-9
     1899.727   1.043162E-9
     1900.064   1.050672E-9
       1900.4   1.086579E-9
     1900.737   1.122645E-9
     1901.074   1.158791E-9
      1901.41   1.194874E-9
     1901.749   1.231247E-9
     1902.086   1.267557E-9
     1902.422   1.303830E-9
      1902.76   1.340275E-9
     1903.097   1.376776E-9
     1903.433   1.413225E-9
     1903.771   1.449848E-9
     1904.109   1.486538E-9
     1904.446   1.523284E-9
     1904.784   1.560098E-9
     1905.122   1.596967E-9
      1905.46   1.633903E-9
     1905.796   1.670775E-9
     1906.134   1.707835E-9
     1906.472   1.744950E-9
     1906.809   1.782013E-9
     1907.148   1.819251E-9
     1907.486   1.856558E-9
     1907.824   1.893921E-9
     1908.162   1.931338E-9
     1908.501   1.968824E-9
     1908.839   2.006379E-9
     1909.177   2.043866E-9
     1909.515   2.081545E-9
     1909.854   2.119279E-9
     1910.192   2.156975E-9
      1910.53   2.194863E-9
      1910.87   2.232930E-9
     1911.208   2.270820E-9
     1911.547   2.308904E-9
     1911.886   2.347044E-9
     1912.225   2.385240E-9
     1912.563   2.423397E-9
     1912.902   2.461721E-9
     1913.241   2.500115E-9
      1913.58   2.538454E-9
     1913.919   2.576975E-9
     1914.259   2.615677E-9
     1914.598   2.654200E-9
     1914.937   2.692904E-9
     1915.277   2.731680E-9
     1915.617   2.770526E-9
     1915.955   2.809303E-9
     1916.295   2.848262E-9
     1916.635   2.887294E-9
     1916.974   2.926268E-9
     1917.315   2.965539E-9
     1917.655   3.004769E-9
     1917.994   3.043928E-9
     1918.334   3.083271E-9
     1918.674   3.122686E-9
     1919.013   3.162044E-9
     1919.354   3.201587E-9
     1919.694   3.241186E-9
     1920.034   3.269620E-9
     1920.375   3.197720E-9
     1920.715   3.125678E-9
     1921.056   3.053521E-9
     1921.396   2.981456E-9
     1921.736   2.909017E-9
     1922.077   2.836489E-9
     1922.417   2.764028E-9
     1922.758   2.691216E-9
     1923.099   2.618289E-9
      1923.44   2.545220E-9
     1923.781   2.472036E-9
     1924.122   2.398709E-9
     1924.463   2.325267E-9
     1924.803   2.251920E-9
     1925.145   2.178219E-9
     1925.486   2.104377E-9
     1925.827   2.030630E-9
     1926.168   1.956555E-9
     1926.511   1.882098E-9
     1926.851   1.807977E-9
     1927.193   1.733474E-9
     1927.535   1.658881E-9
     1927.877   1.584144E-9
     1928.217   1.509506E-9
     1928.559   1.434483E-9
     1928.901   1.359370E-9
     1929.242   1.284329E-9
     1929.586   1.208714E-9
     1929.928   1.133197E-9
     1930.269   1.087853E-9
     1930.611   1.050391E-9
     1930.954   1.012883E-9
     1931.295  9.754092E-10
     1931.637  9.377691E-10
      1931.98  9.000424E-10
     1932.323  8.622698E-10
     1932.665  8.244244E-10
     1933.008  7.865055E-10
     1933.351  7.485271E-10
     1933.693  7.105976E-10
     1934.036  6.724865E-10
     1934.379  6.343021E-10
      1934.72  5.961803E-10
     1935.064  5.578628E-10
     1935.407  5.194856E-10
      1935.75  4.810347E-10
     1936.093  4.425239E-10
     1936.437  4.039532E-10
      1936.78  3.652952E-10
     1937.122  3.267010E-10
     1937.466  2.879230E-10
     1937.809  2.490850E-10
     1938.152  2.102837E-10
     1938.496  1.713119E-10
     1938.841  1.321411E-10
     1939.183  9.314605E-11
     1939.527  5.396588E-11
     1939.871  1.471152E-11
     1940.215            0.
     1940.558            0.
     1940.902            0.
     1941.247            0.
      1941.59            0.
     1941.935            0.
     1942.279            0.
     1942.623            0.
     1942.967            0.
     1943.312            0.
     1943.655            0.
        1944.            0.
     1944.345            0.
      1944.69            0.
     1945.035            0.
      1945.38            0.
     1945.724            0.
     1946.068            0.
     1946.414            0.
     1946.759            0.
     1947.103            0.
     1947.448            0.
     1947.793            0.
     1948.139            0.
     1948.484            0.
      1948.83            0.
     1949.176            0.
      1949.52            0.
     1949.866            0.
     1950.212  2.474513E-11
     1950.556  6.509549E-11
     1950.902  1.056515E-10
     1951.249  1.463994E-10
     1951.594  1.869520E-10
      1951.94  2.277254E-10
